BB,AB,Team,2B,GIDP
4,92,JUP,1,3
6,47,FTM,3,3
0,4,STL,0,1
28,180,JUP,9,4
16,136,PMB,7,1
22,224,TAM,7,7
39,239,CHA,17,4
2,11,PMB,1,1
34,370,FTM,6,9
34,430,DAY,8,2
0,21,BRE,1,1
31,222,STL,17,2
20,278,JUP,18,13
3,72,LAK,4,2
21,196,JUP,12,1
58,366,CHA,9,4
2,27,STL,0,0
26,371,CHA,19,9
35,396,DAY,10,11
65,397,TAM,24,6
39,472,STL,28,8
2,31,LAK,1,2
24,386,FTM,19,12
4,39,CHA,2,1
2,37,SAR,1,0
16,142,DAY,5,1
7,81,TAM,1,0
24,175,SAR,13,6
20,158,LAK,8,2
4,84,LAK,5,4
21,218,LAK,7,6
22,200,CHA,7,6
5,189,DAY,7,2
23,297,FTM,15,8
1,3,STL,0,0
2,20,DUN,1,0
34,314,PMB,7,6
0,5,DUN,0,1
30,301,FTM,17,19
1,41,SAR,2,1
0,8,DUN,0,0
18,186,PMB,10,4
14,317,CHA,22,7
3,49,TAM,2,3
51,375,CLR,20,13
29,442,TAM,28,13
40,193,DUN,13,4
3,35,BRE,2,1
7,43,BRE,2,1
58,445,BRE,15,8
21,285,PMB,11,5
64,475,JUP,20,4
0,28,STL,2,1
1,10,CHA,0,1
3,19,DAY,0,1
2,41,LAK,2,1
60,410,BRE,23,6
1,8,DUN,0,0
12,168,DAY,6,4
6,85,FTM,2,2
40,466,FTM,13,6
4,28,LAK,2,0
34,210,DUN,10,0
34,227,JUP,7,5
19,218,TAM,15,2
7,76,DUN,4,3
36,357,CHA,12,6
26,335,BRE,20,13
14,158,TAM,10,2
2,109,CLR,2,3
9,106,TAM,3,8
20,216,STL,10,3
53,482,STL,35,8
2,62,FTM,1,3
5,75,PMB,5,1
0,111,BRE,4,3
0,26,LAK,2,1
13,262,FTM,11,3
39,451,TAM,20,19
2,10,STL,0,0
2,11,CHA,0,0
37,231,DUN,11,1
4,131,CLR,7,0
0,3,JUP,1,0
35,227,DAY,13,4
23,334,SAR,18,6
1,21,DAY,0,0
0,27,BRE,0,3
12,197,STL,10,3
0,10,LAK,0,0
25,238,CHA,7,6
21,91,FTM,2,3
22,328,FTM,22,7
17,491,BRE,16,5
31,364,JUP,16,10
23,361,CLR,23,14
9,260,CHA,15,4
47,343,CHA,17,8
17,262,DUN,11,7
20,472,CLR,13,20
23,165,LAK,9,2
5,92,LAK,4,2
5,24,SAR,0,0
9,153,STL,6,3
50,356,STL,19,10
14,180,TAM,15,3
11,163,TAM,7,2
28,319,LAK,12,3
2,9,STL,1,0
1,8,DUN,0,0
11,151,CLR,12,5
65,422,FTM,27,4
9,79,CHA,4,0
26,279,CLR,11,4
20,91,PMB,4,0
39,368,CLR,9,2
1,71,SAR,4,0
5,96,TAM,4,3
14,70,JUP,4,1
29,473,BRE,18,10
11,302,JUP,10,5
31,326,DAY,7,9
5,74,LAK,3,3
35,191,TAM,7,4
20,292,LAK,19,7
4,12,LAK,1,0
7,100,DAY,8,1
13,256,PMB,12,4
0,8,LAK,0,0
0,16,FTM,1,0
8,79,DUN,4,1
26,313,JUP,14,7
19,295,LAK,13,4
0,8,CHA,2,0
0,18,LAK,0,1
5,27,TAM,0,1
3,19,CHA,1,1
4,124,SAR,5,8
16,266,LAK,19,4
50,335,DUN,22,5
10,116,JUP,1,1
26,231,TAM,17,9
17,212,DUN,12,6
1,37,LAK,0,0
11,116,DAY,5,2
16,159,FTM,9,4
19,358,DAY,17,4
13,112,DAY,5,8
8,89,PMB,2,3
28,337,JUP,9,8
1,13,FTM,2,0
25,266,CHA,6,7
16,107,SAR,4,1
