MP,G,ORtg,DRtg,ORB%,Opp,GmSc
9:00,47,103,73,0.0,SAC,6.2
20:00,57,137,123,0.0,BOS,12.6
15:00,1,121,97,14.5,SAS,7.0
7:00,18,201,107,26.4,DET,3.7
10:00,38,54,116,27.2,LAL,0.3
15:00,30,83,87,13.3,LAC,4.9
13:00,59,17,114,6.7,NYK,-2.8
7:00,51,0,109,0.0,LAC,-1.1
7:00,36,23,91,0.0,LAC,-1.4
10:00,21,117,99,20.0,DAL,4.6
16:00,49,136,110,14.0,POR,7.5
3:00,9,0,108,0.0,DEN,-2.1
7:00,6,149,98,18.5,PHO,2.3
17:00,45,43,103,0.0,GSW,-1.9
15:00,58,82,95,12.8,IND,3.3
1:00,16,0,110,0.0,ATL,-1.1
4:00,11,200,103,0.0,SAC,3.3
18:00,13,117,104,6.2,CHI,8.2
1:00,20,219,106,100.0,WSB,4.0
15:00,25,87,92,7.8,POR,3.4
22:00,56,141,111,14.5,PHI,12.3
1:00,17, ,116,0.0,DAL,-0.4
22:00,27,111,130,9.1,LAL,6.5
