GIDP,H,OPS,R,SB,OBP,BB
4,15,0.752,8,0,0.352,4
19,136,0.852,71,15,0.388,67
2,20,0.707,12,0,0.318,7
4,34,0.852,16,1,0.366,10
2,20,0.441,14,7,0.254,14
9,96,0.794,52,7,0.345,30
6,70,0.747,40,15,0.367,19
4,68,0.751,26,3,0.341,20
9,20,0.442,12,1,0.219,4
1,59,0.993,35,3,0.448,38
12,112,0.735,48,2,0.352,49
0,3,0.606,0,0,0.333,1
16,93,0.659,47,2,0.326,31
13,117,0.77,60,3,0.349,38
8,68,0.838,34,1,0.368,37
2,101,0.895,51,19,0.366,21
1,26,0.623,17,6,0.325,11
2,48,0.692,27,3,0.333,35
8,91,0.761,50,16,0.364,40
4,107,0.764,52,3,0.289,23
0,5,0.628,2,0,0.35,1
1,17,0.742,6,0,0.304,4
10,86,0.771,58,1,0.383,64
2,88,0.672,41,13,0.347,31
0,1,1.0,0,0,0.333,0
0,0,0.0,0,0,0.0,0
2,61,0.89,39,8,0.355,14
1,24,0.875,18,3,0.451,16
3,48,0.898,32,7,0.391,15
3,6,0.562,4,1,0.229,2
2,4,0.667,0,0,0.333,0
8,124,0.914,94,7,0.415,59
1,12,0.558,5,0,0.317,8
4,55,0.842,34,4,0.323,8
6,29,0.584,13,1,0.271,9
2,111,0.735,49,17,0.348,27
4,76,1.042,68,4,0.397,29
4,72,1.001,42,3,0.37,11
2,10,0.638,8,2,0.333,8
5,22,0.538,7,0,0.252,5
17,148,0.816,50,2,0.373,18
2,52,0.854,28,9,0.356,18
4,14,0.733,7,0,0.321,4
0,3,0.423,5,0,0.235,1
3,55,0.743,32,9,0.386,40
5,26,0.756,14,1,0.379,12
4,56,0.579,19,5,0.272,17
7,90,0.942,51,1,0.45,31
0,2,0.795,1,0,0.25,1
0,1,0.4,0,0,0.2,0
10,128,0.75,59,23,0.329,19
2,23,0.629,9,0,0.333,16
0,6,0.368,7,0,0.241,7
10,111,0.725,59,1,0.355,33
1,11,0.833,5,0,0.367,0
9,62,0.841,42,2,0.373,31
16,85,0.663,30,9,0.327,15
3,24,0.843,10,0,0.392,12
