Q,O,C,A,I,S,E,R
346,341,Roberton,1213,Auckland- Whau,350,174.698538,332
181,172,Seacliffe,1221,Auckland- Devonport-Takapuna,175,174.787647,172
1006,1038,Hingaia,441,Auckland- Papakura,882,174.903703,967
339,328,Beachhaven North,1223,Auckland- Kaipatiki,335,174.691075,333
341,318,Herne Bay,1220,Auckland- Waitemata,354,174.731367,340
84,55,Northcross,481,Auckland- Upper Harbour,100,174.722963,94
1507,1329,Kohuora,96,Auckland- Otara-Papatoetoe,1475,174.833081,1492
771,748,Balmoral,1219,Auckland- Albert-Eden,808,174.745822,779
334,318,Bombay,1234,Auckland- Franklin,338,174.995081,345
306,374,Henderson South,1238,Auckland- Henderson-Massey,261,174.627079,284
271,277,Three Kings,1261,Auckland- Puketapapa,280,174.743731,276
436,442,Mangere South,544,Auckland- Mangere-Otahuhu,494,174.792438,465
324,323,Blockhouse Bay,473,Auckland- Whau,324,174.697869,331
985,944,Orakei South,61,Auckland- Orakei,1020,174.800324,1009
54,52,Royal Oak,523,Auckland- Puketapapa,51,174.760602,55
387,485,Auckland Central East,1605,Auckland- Waitemata,294,174.765196,355
536,578,Crum Park,1206,Auckland- Whau,570,174.674452,594
36,52,Panmure Basin,460,Auckland- Maungakiekie-Tamaki,26,174.854481,33
479,457,Birkdale North,1228,Auckland- Kaipatiki,464,174.700666,432
414,417,Drury,1263,Auckland- Papakura,419,174.950403,416
460,462,Wattle Farm,1247,Auckland- Manurewa,475,174.896892,470
318,340,Royal Heights,1254,Auckland- Henderson-Massey,242,174.632881,288
763,759,Bucklands Beach South,1240,Auckland- Howick,811,174.910452,803
101,112,Clevedon,1236,Auckland- Franklin,107,174.993987,105
2467,2358,Mt Eden North,54,Auckland- Albert-Eden,2509,174.768851,2456
87,111,Maungawhau,4100,Auckland- Albert-Eden,88,174.745772,88
24,9,Drury,506,Auckland- Papakura,33,174.949579,30
528,514,Mt St John,66,Auckland- Albert-Eden,573,174.781062,532
518,462,Papakura North East,1257,Auckland- Papakura,568,174.957852,528
238,241,Birdwood,1262,Auckland- Henderson-Massey,202,174.609884,223
623,640,Mt St John,1256,Auckland- Albert-Eden,633,174.789077,632
487,419,Beachlands-Maraetai,1224,Auckland- Franklin,519,174.999507,521
416,418,Hamlin,1216,Auckland- Maungakiekie-Tamaki,443,174.827157,427
458,464,Botany Downs,1235,Auckland- Howick,463,174.922774,467
23,26,Mt Eden East,2760,Auckland- Albert-Eden,24,174.759781,22
249,170,Fairdene,571,Auckland- Henderson-Massey,254,174.633795,262
449,447,Glendowie,1246,Auckland- Orakei,435,174.873571,449
925,905,Edgewater,79,Auckland- Howick,878,174.874746,904
119,142,Birkdale North,1229,Auckland- Kaipatiki,102,174.701508,119
563,644,Donegal Park,1581,Auckland- Howick,533,174.902023,564
334,320,Glendhu,1222,Auckland- Kaipatiki,312,174.706554,342
604,567,Sandringham West,1265,Auckland- Albert-Eden,577,174.737208,588
541,530,Botany Downs,1190,Auckland- Howick,813,174.915749,595
234,250,Edmonton,1266,Auckland- Henderson-Massey,226,174.642282,221
