Date,Opponent,Score,g,a,pts,up,dn,gb,to,ct,fo,sh,sh%,sog,sog%
Feb 23,Muhlenberg,"W, 15-10",-,-,-,-,-,-,-,-,-,-,-,-,-
Feb 27,Scranton,"W, 17-4",0,0,0,0,0,1,0,1,0-0,0,-,0,-
Mar 2,at McDaniel,"W, 9-7",-,-,-,-,-,-,-,-,-,-,-,-,-
Mar 7,at Haverford,"L, 14-8",-,-,-,-,-,-,-,-,-,-,-,-,-
Mar 9,at Randolph-Macon,"W, 15-13",-,-,-,-,-,-,-,-,-,-,-,-,-
Mar 13,at Salisbury,"L, 9-3",0,0,0,0,0,0,0,0,0-0,0,-,0,-
Mar 16,Frank. & Marsh.,"W, 9-7",-,-,-,-,-,-,-,-,-,-,-,-,-
Mar 20,Marywood,"W, 15-7",0,0,0,0,0,0,0,0,0-0,0,-,0,-
Mar 23,Wesley,"W, 17-1",0,0,0,0,0,0,0,0,0-0,0,-,0,-
Mar 26,at Misericordia,"W, 18-6",-,-,-,-,-,-,-,-,-,-,-,-,-
Mar 30,Chris. Newport,"W, 17-5",0,0,0,0,0,0,0,0,0-0,0,-,0,-
Apr 3,at Ursinus,"L, 10-9",-,-,-,-,-,-,-,-,-,-,-,-,-
Apr 6,Marymount (Va.),"W, 17-9",0,0,0,0,0,0,0,0,0-0,0,-,0,-
Apr 10,Frostburg St.,"W, 11-4",-,-,-,-,-,-,-,-,-,-,-,-,-
Apr 13,at Mary Washington,"W, 11-9",-,-,-,-,-,-,-,-,-,-,-,-,-
Apr 20,at St. Mary's (Md.),"W, 9-8",-,-,-,-,-,-,-,-,-,-,-,-,-
Apr 27,St. Mary's (Md.),"L, 10-9",-,-,-,-,-,-,-,-,-,-,-,-,-
