3B,SH,Result,SB,CS,AB,Team
0,0,L 2-3 vs CAL,0,0,4,OAK
0,0,L 4-6 @NYN,0,0,4,CHN
0,0,W 3-2 @SLN,0,0,4,CHN
0,0,W 9-6 vs MON,0,0,4,NYN
0,0,L 1-4 vs LAN,0,0,4,NYN
0,0,L 3-7 @CHA,0,0,4,OAK
0,0,W 10-9 vs HOU,0,0,5,NYN
0,0,W 4-3 @PIT,0,0,5,CHN
0,0,W 2-0 vs CHA,0,0,4,CAL
0,0,W 9-8 vs NYN,0,0,3,CHN
0,0,L 2-6 vs SFN,0,0,4,NYN
0,0,W 8-2 vs MON,0,0,4,SFN
0,0,W 6-2 vs SDN,0,0,4,NYN
0,0,L 7-10 @NYN,0,0,3,CHN
0,0,L 7-12 vs HOU,0,0,2,SDN
0,0,W 7-3 vs NYN,0,0,2,SFN
0,0,W 17-3 @TOR,0,0,5,OAK
0,0,W 3-1 @ATL,0,0,5,NYN
0,0,W 9-4 vs HOU,0,0,5,CHN
0,0,L 3-4 vs LAN,0,0,5,SDN
1,0,W 10-6 @HOU,0,0,5,SFN
0,0,L 2-5 @PIT,0,0,4,NYN
0,0,W 8-6 vs PHI,0,0,4,SFN
0,0,W 2-0 @HOU,0,0,5,CHN
0,0,L 4-5 @SFN,0,0,4,NYN
0,0,L 22-23 vs PHI,0,0,6,CHN
0,0,W 9-4 @MON,0,0,5,NYN
0,0,W 6-3 @ATL,0,0,5,NYN
0,0,W 11-9 vs CHN,0,0,6,SFN
0,0,W 6-5 vs NYN,1,0,5,SFN
0,0,W 8-2 vs SFN,0,0,4,CHN
0,0,W 7-2 @SEA,0,0,5,OAK
0,0,L 4-5 @CIN,0,0,5,SFN
0,0,W 9-4 @SDN,0,0,3,SFN
0,0,W 7-5 @NYN,0,0,4,CHN
0,0,W 7-6 vs PIT,0,0,3,NYN
0,0,L 9-10 @PHI,0,0,6,NYN
0,0,L 5-6 @LAN,0,0,4,NYN
