TRB%,TS%,BLK%,Opp
0.0,.717,0.0,SAC
4.2,.254,0.0,LAC
2.5,.429,0.0,CHI
2.7,1.028,0.0,SAS
7.7,.508,0.0,HOU
0.0, ,0.0,PHI
3.5,1.025,0.0,LAC
7.9,.316,3.8,SAS
0.0,.347,0.0,POR
0.0,.000,0.0,IND
0.0, ,0.0,PHO
3.7,.399,0.0,SEA
0.0,.000,0.0,LAL
3.6,1.000,0.0,POR
0.0,.667,0.0,ATL
7.2,.717,0.0,CLE
0.0,.000,0.0,DAL
4.1,.333,0.0,HOU
0.0,.694,0.0,NJN
4.0,.167,4.3,DAL
5.7,.210,0.0,DEN
11.2,.333,0.0,PHO
0.0,.000,0.0,IND
0.0,.500,0.0,HOU
3.4,.509,0.0,PHO
3.9,.000,0.0,UTA
0.0,.643,0.0,ATL
3.5, ,0.0,MIL
4.3,1.064,0.0,CLE
0.0,.788,0.0,DET
4.2, ,0.0,POR
0.0,.592,0.0,PHO
0.0,.800,0.0,SAC
2.5,.709,0.0,SEA
0.0,.266,0.0,LAL
6.5,1.000,0.0,DEN
3.2,.798,0.0,WSB
0.0,.500,0.0,PHO
3.4,1.000,0.0,UTA
0.0, ,0.0,SAC
0.0,.210,0.0,DEN
3.5,.000,3.6,SEA
0.0, ,0.0,LAL
3.0,.333,0.0,DEN
0.0,.515,0.0,MIL
0.0,.709,0.0,UTA
5.1,.500,5.5,PHI
9.7,.486,0.0,SEA
5.0,.545,0.0,DAL
0.0,.769,0.0,BOS
