POS,NO.,Player,AGE,GS,SB,G,SH,SG,A,FC,FS,YC,RC
D,--,Benoît Assou-Ekotto,31,--,--,--,--,--,--,--,--,--,--
D,23,Paul Baysse,27,--,--,--,--,--,--,--,--,--,--
D,20,Jonathan Brison,31,--,--,--,--,--,--,--,--,--,--
D,--,Maxence Chapuis,21,--,--,--,--,--,--,--,--,--,--
D,29,Francois Clerc,32,--,--,--,--,--,--,--,--,--,--
D,--,Benjamin Karamoko,20,--,--,--,--,--,--,--,--,--,--
D,--,Jerrold Nyemeck,21,--,--,--,--,--,--,--,--,--,--
D,24,Loic Perrin,29,--,--,--,--,--,--,--,--,--,--
D,19,Florentin Pogba,24,--,--,--,--,--,--,--,--,--,--
D,3,Pierre Yves Polomat,21,--,--,--,--,--,--,--,--,--,--
D,26,Moustapha Bayal Sall,29,--,--,--,--,--,--,--,--,--,--
D,2,Kevin Theopile-Catherine,25,--,--,--,--,--,--,--,--,--,--
M,6,Jeremy Clement,30,--,--,--,--,--,--,--,--,--,--
M,10,Renaud Cohade,30,--,--,--,--,--,--,--,--,--,--
M,8,Benjamin Corgnet,28,--,--,--,--,--,--,--,--,--,--
M,28,Ismaël Diomandé,22,--,--,--,--,--,--,--,--,--,--
M,21,Romain Hamouma,28,--,--,--,--,--,--,--,--,--,--
M,18,Fabian Lemoine,28,--,--,--,--,--,--,--,--,--,--
M,--,Mayindou Madianga,21,--,--,--,--,--,--,--,--,--,--
M,11,Yohan Mollo,26,--,--,--,--,--,--,--,--,--,--
M,5,Vincent Pajot,24,--,--,--,--,--,--,--,--,--,--
M,--,Dylan Saint-Louis,20,--,--,--,--,--,--,--,--,--,--
M,--,Cazim Suljic,18,--,--,--,--,--,--,--,--,--,--
F,--,Jonathan Bamba,19,--,--,--,--,--,--,--,--,--,--
F,7,Max Gradel,27,--,--,--,--,--,--,--,--,--,--
F,22,Kevin Monnet-Paquet,26,--,--,--,--,--,--,--,--,--,--
F,9,Nolan Roux,27,--,--,--,--,--,--,--,--,--,--
