Pitcher,Team,AB,H,2B,3B,HR,RBI,BB,K,SB,CS,AVG,OBP,SLG,OPS
Danny Salazar,CLE,13,2,0,0,0,0,1,4,0,0,0.154,0.214,0.154,0.368
David Price,TOR,12,3,1,0,0,2,0,3,0,0,0.25,0.25,0.333,0.583
Anibal Sanchez,DET,11,2,1,0,0,0,0,4,1,0,0.182,0.182,0.273,0.455
J.A. Happ,PIT,10,7,0,0,1,4,1,0,0,0,0.7,0.727,1.0,1.727
Matt Shoemaker,ANA,10,4,2,0,1,1,0,3,1,0,0.4,0.4,0.9,1.3
Justin Verlander,DET,10,3,0,0,0,0,0,3,0,0,0.3,0.3,0.3,0.6
Colby Lewis,TEX,10,0,0,0,0,0,0,4,0,0,0.0,0.0,0.0,0.0
Jered Weaver,ANA,9,4,1,0,0,0,0,1,1,0,0.444,0.444,0.556,1.0
Yovani Gallardo,TEX,9,3,0,0,0,1,0,1,0,0,0.333,0.333,0.333,0.667
Jeremy Guthrie,KC,9,3,2,0,0,0,1,1,0,0,0.333,0.4,0.556,0.956
Corey Kluber,CLE,9,2,1,0,1,1,0,1,0,0,0.222,0.222,0.667,0.889
James Shields,SD,9,2,0,1,0,0,1,4,0,1,0.222,0.3,0.444,0.744
Phil Hughes,MIN,9,1,0,0,0,0,0,3,0,0,0.111,0.111,0.111,0.222
Felix Hernandez,SEA,8,4,0,0,2,2,0,2,0,0,0.5,0.5,1.25,1.75
Wade Miley,BOS,8,3,0,1,0,0,1,1,0,0,0.375,0.444,0.625,1.069
Wade Davis,KC,8,2,1,0,0,0,0,5,0,0,0.25,0.25,0.375,0.625
Dallas Keuchel,HOU,8,2,0,0,0,0,0,1,0,0,0.25,0.25,0.25,0.5
CC Sabathia,NY-A,8,1,0,0,0,0,0,3,0,0,0.125,0.125,0.125,0.25
Jeff Samardzija,CHI-A,7,3,0,0,0,0,0,2,1,0,0.429,0.429,0.429,0.857
Bryan Shaw,CLE,7,2,0,0,0,0,0,1,1,0,0.286,0.286,0.286,0.571
Jon Lester,CHI-N,7,1,0,0,0,0,0,2,0,0,0.143,0.143,0.143,0.286
Carlos Carrasco,CLE,7,0,0,0,0,0,1,3,0,1,0.0,0.125,0.0,0.125
Yordano Ventura,KC,6,3,1,0,2,4,1,1,0,0,0.5,0.625,1.667,2.292
Clay Buchholz,BOS,6,1,0,0,0,0,0,2,0,0,0.167,0.167,0.167,0.333
Nick Martinez,TEX,6,1,1,0,0,0,1,3,0,0,0.167,0.286,0.333,0.619
Justin Masterson,BOS,6,1,0,1,0,0,0,4,0,1,0.167,0.167,0.5,0.667
Glen Perkins,MIN,6,1,0,0,0,0,0,4,0,0,0.167,0.167,0.167,0.333
Rick Porcello,BOS,6,0,0,0,0,0,0,2,1,0,0.0,0.0,0.0,0.0
Nathan Eovaldi,NY-A,5,3,0,0,0,1,0,1,0,0,0.6,0.6,0.6,1.2
Scott Feldman,HOU,5,2,0,0,1,1,0,1,0,0,0.4,0.4,1.0,1.4
Nate Karns,TB,5,2,0,0,1,3,0,0,1,0,0.4,0.4,1.0,1.4
Franklin Morales,KC,5,2,0,0,0,0,1,1,0,0,0.4,0.5,0.4,0.9
Chris Capuano,NY-A,5,1,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.4
Max Scherzer,WAS,5,1,0,0,0,0,0,2,0,0,0.2,0.2,0.2,0.4
Bruce Chen, ,5,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Kelvin Herrera,KC,5,0,0,0,0,0,1,2,0,0,0.0,0.167,0.0,0.167
Garrett Richards,ANA,5,0,0,0,0,0,1,2,0,0,0.0,0.167,0.0,0.167
Fernando Salas,ANA,5,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0
Alex Colome,TB,4,1,0,0,0,0,0,1,0,0,0.25,0.25,0.25,0.5
Samuel Deduno,HOU,4,1,0,0,0,1,0,1,0,0,0.25,0.25,0.25,0.5
T.J. House,CLE,4,1,0,0,0,0,1,2,0,0,0.25,0.4,0.25,0.65
Ian Kennedy,SD,4,1,1,0,0,0,1,1,0,1,0.25,0.4,0.5,0.9
Trevor May,MIN,4,1,0,0,0,0,1,0,1,0,0.25,0.4,0.25,0.65
Juan Nicasio,LA,4,1,0,0,0,0,0,1,0,0,0.25,0.25,0.25,0.5
Josh Tomlin,CLE,4,1,0,0,0,0,0,1,0,0,0.25,0.25,0.25,0.5
Taijuan Walker,SEA,4,1,1,0,0,0,0,1,0,0,0.25,0.25,0.5,0.75
Al Alburquerque,DET,4,0,0,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0
Anthony Bass,TEX,4,0,0,0,0,0,0,2,0,0,0.0,0.0,0.0,0.0
Chad Bettis,COL,4,0,0,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0
Madison Bumgarner,SF,4,0,0,0,0,0,0,2,0,0,0.0,0.0,0.0,0.0
Louis Coleman,KC,4,0,0,0,0,0,0,2,0,0,0.0,0.0,0.0,0.0
Martin Perez,TEX,4,0,0,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0
Cesar Ramos,ANA,4,0,0,0,0,0,1,0,0,0,0.0,0.2,0.0,0.2
Evan Reed, ,4,0,0,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0
Joe Smith,ANA,4,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Adam Warren,NY-A,4,0,0,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0
Asher Wojciechowski,HOU,4,0,0,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0
Zach McAllister,CLE,3,2,0,0,0,0,0,1,0,0,0.667,0.667,0.667,1.333
Vidal Nuno,SEA,3,2,0,0,0,0,0,0,0,0,0.667,0.667,0.667,1.333
Ryan Pressly,MIN,3,2,0,0,0,0,0,1,0,0,0.667,0.667,0.667,1.333
Steven Wright,BOS,3,2,0,0,1,1,1,1,0,0,0.667,0.75,1.667,2.417
Mark Buehrle,TOR,3,1,0,0,0,0,0,0,0,0,0.333,0.333,0.333,0.667
John Danks,CHI-A,3,1,0,0,0,0,0,1,0,0,0.333,0.333,0.333,0.667
Logan Darnell,MIN,3,1,1,0,0,0,0,0,0,0,0.333,0.333,0.667,1.0
Jorge De La Rosa,COL,3,1,1,0,0,0,0,1,0,0,0.333,0.333,0.667,1.0
Odrisamer Despaigne,SD,3,1,0,0,0,0,0,0,0,0,0.333,0.333,0.333,0.667
Scott Diamond,TB,3,1,1,0,0,0,0,0,0,0,0.333,0.333,0.667,1.0
R.A. Dickey,TOR,3,1,1,0,0,0,0,2,0,0,0.333,0.333,0.667,1.0
Shane Greene,DET,3,1,0,0,0,0,0,1,0,0,0.333,0.333,0.333,0.667
David Hale,COL,3,1,0,0,0,0,0,0,0,0,0.333,0.333,0.333,0.667
Roberto Hernandez,HOU,3,1,0,0,0,0,0,1,2,0,0.333,0.333,0.333,0.667
Ubaldo Jimenez,BAL,3,1,0,0,0,0,0,0,0,0,0.333,0.333,0.333,0.667
Scott Kazmir,HOU,3,1,0,0,1,1,0,1,0,0,0.333,0.333,1.333,1.667
Jordan Lyles,COL,3,1,0,0,0,0,0,0,0,0,0.333,0.333,0.333,0.667
Jake McGee,TB,3,1,0,0,0,1,1,1,0,0,0.333,0.5,0.333,0.833
Andrew Miller,NY-A,3,1,0,0,1,2,0,2,0,0,0.333,0.333,1.333,1.667
Tommy Milone,MIN,3,1,0,0,0,0,0,0,0,0,0.333,0.333,0.333,0.667
Carlos Rodon,CHI-A,3,1,0,0,0,0,0,2,0,0,0.333,0.333,0.333,0.667
Wandy Rodriguez,TEX,3,1,0,0,0,0,0,0,0,0,0.333,0.333,0.333,0.667
Robbie Ross,BOS,3,1,0,0,0,0,0,1,0,0,0.333,0.333,0.333,0.667
Ervin Santana,MIN,3,1,0,0,0,0,0,1,0,0,0.333,0.333,0.333,0.667
Alfredo Simon,DET,3,1,0,0,0,0,0,1,0,0,0.333,0.333,0.333,0.667
Tom Wilhelmsen,SEA,3,1,0,0,0,2,0,1,0,0,0.333,0.333,0.333,0.667
Chris Archer,TB,3,0,0,0,0,0,1,2,1,0,0.0,0.25,0.0,0.25
Kevin Correia,PHI,3,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Josh Fields,HOU,3,0,0,0,0,0,0,3,0,0,0.0,0.0,0.0,0.0
Casey Fien,MIN,3,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Greg Holland,KC,3,0,0,0,0,0,1,2,0,0,0.0,0.25,0.0,0.25
Edwin Jackson, ,3,0,0,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0
Kyle Lobstein,DET,3,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Ricky Nolasco,MIN,3,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Jake Peavy,SF,3,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Drew Pomeranz,OAK,3,0,0,0,0,0,0,3,0,0,0.0,0.0,0.0,0.0
