G,H,HR,S,BB,W,IP
17,32,3,0,8,0,20.0
36,28,1,0,15,1,24.2
13,54,6,0,31,4,60.2
25,34,2,0,13,1,32.2
10,6,1,0,2,0,8.0
7,6,1,0,3,0,6.2
45,45,7,1,25,1,41.1
75,64,5,0,50,8,88.0
43,34,6,0,20,2,41.0
32,187,35,0,56,14,200.1
34,28,3,1,13,1,27.2
3,7,2,0,0,0,1.2
5,14,3,0,3,0,13.1
70,40,1,1,35,4,66.2
5,6,1,0,1,0,8.1
7,3,0,0,4,1,10.1
31,192,23,0,62,11,198.0
6,8,1,0,2,0,6.1
14,14,0,0,6,0,11.2
15,87,17,0,31,4,82.2
33,207,26,0,72,11,228.2
9,15,1,0,5,0,12.2
10,12,1,0,7,0,9.2
18,104,8,0,38,5,99.2
28,203,20,0,56,12,160.0
62,60,3,3,21,2,59.2
5,20,4,0,13,0,21.0
3,21,5,0,3,0,10.2
8,10,1,0,0,1,7.1
3,6,0,0,3,0,4.1
48,44,9,1,26,1,59.2
4,21,3,0,10,0,16.2
34,211,23,0,82,10,202.1
32,193,21,0,52,9,161.2
26,116,18,0,29,6,97.2
2,12,3,0,3,0,10.1
44,50,6,4,15,4,47.0
8,48,6,0,18,4,40.0
32,201,22,0,67,16,198.0
12,8,0,0,11,1,14.0
8,45,3,0,16,0,29.0
1,5,1,0,2,0,1.2
19,117,10,0,24,7,111.2
27,175,24,0,39,12,154.0
10,7,0,0,3,0,12.2
31,177,24,0,70,6,186.0
31,26,3,0,9,0,16.1
5,6,2,0,10,0,9.1
31,176,24,0,78,9,171.0
33,163,25,0,47,7,154.2
4,9,2,0,3,0,8.1
33,202,18,0,54,8,208.2
26,34,4,0,13,1,24.2
19,102,10,0,46,3,84.1
8,1,0,0,5,1,5.0
3,9,1,0,3,1,9.1
29,172,21,0,40,8,164.1
18,17,0,0,12,1,18.1
12,17,2,0,7,0,14.0
4,6,1,0,1,0,4.0
79,48,3,46,32,4,77.0
3,5,0,0,0,0,4.0
66,54,3,4,26,3,68.2
48,38,7,14,14,2,44.2
59,36,4,0,25,0,43.2
68,57,8,36,21,1,64.1
3,13,2,0,3,0,11.0
39,37,5,0,26,0,33.2
72,34,3,1,19,2,37.2
33,172,28,0,51,12,192.2
25,16,0,1,13,0,19.1
29,33,2,0,12,3,32.2
25,168,11,0,25,9,170.2
11,25,3,0,10,2,32.0
78,59,2,0,21,2,73.2
70,46,5,1,24,2,73.0
62,28,1,1,15,0,34.0
29,187,23,0,49,5,165.2
33,202,12,0,46,13,204.2
14,84,7,0,28,5,79.2
16,8,2,0,1,0,7.0
9,15,3,0,5,0,14.2
58,67,9,0,28,3,62.1
60,60,4,6,27,4,59.1
43,83,11,0,29,4,92.2
47,27,1,2,14,0,33.1
8,12,1,0,7,0,9.0
13,84,7,0,26,1,61.1
33,176,15,0,86,13,217.0
28,161,19,0,45,16,171.2
16,21,2,0,9,1,13.0
58,52,6,8,27,2,71.0
7,11,4,0,5,0,7.0
10,28,2,0,20,1,34.2
1,6,0,0,5,0,3.0
70,59,4,1,25,4,66.1
20,117,10,0,36,3,120.0
11,12,0,0,0,0,10.1
33,190,31,0,83,11,190.1
11,52,5,0,9,1,41.1
34,119,16,0,32,2,101.0
54,13,3,0,13,1,24.2
5,5,0,0,4,0,3.1
61,57,2,0,19,3,55.2
20,119,15,0,51,4,105.1
23,26,4,0,12,1,19.2
33,208,16,0,73,12,183.1
33,174,15,0,54,21,233.1
19,80,9,0,66,4,101.1
79,54,6,1,34,2,71.0
8,32,4,0,23,3,37.1
33,175,22,0,57,13,200.2
3,3,1,0,2,0,3.0
55,66,5,1,32,5,69.2
5,6,1,0,4,0,5.0
34,174,24,0,57,24,251.0
32,187,20,0,64,8,196.1
10,13,2,0,5,0,13.2
49,33,1,6,25,2,51.2
64,46,5,36,26,4,59.2
31,43,5,0,18,3,37.2
28,157,21,0,83,6,156.1
55,84,8,2,42,10,114.0
15,19,4,0,8,1,12.2
72,48,11,0,26,3,88.1
4,11,1,0,5,0,6.0
32,189,14,0,84,11,188.0
5,21,4,0,8,1,19.2
66,47,5,2,17,4,61.0
4,12,3,0,5,0,7.2
63,58,7,22,40,0,59.2
28,163,13,0,57,16,165.1
2,7,0,0,5,0,5.0
24,123,8,0,47,9,156.0
23,24,2,0,10,1,23.0
6,10,1,0,1,0,7.1
23,126,15,0,32,8,134.2
64,28,6,8,26,6,58.0
32,14,3,0,7,2,16.1
2,5,2,0,6,0,6.2
2,11,0,0,5,2,14.2
64,51,4,43,21,3,62.2
34,220,21,0,65,7,193.2
15,106,13,0,15,5,97.0
31,168,16,0,62,9,194.1
30,102,15,0,33,4,105.0
10,12,1,0,8,1,8.1
17,25,3,0,11,0,24.0
11,73,6,0,15,5,58.1
57,55,8,0,31,4,62.0
48,25,2,1,12,0,21.1
40,33,5,0,8,6,39.2
19,12,2,0,5,2,18.1
8,12,1,0,4,0,10.1
5,3,1,0,3,0,5.0
77,73,7,0,20,6,74.1
60,60,7,28,17,5,60.1
14,28,2,0,11,0,29.0
13,23,1,0,7,0,17.2
63,50,3,31,10,4,64.1
2,5,0,0,3,0,3.0
3,3,1,0,1,0,3.0
4,4,1,0,3,0,3.1
4,5,1,0,5,0,5.1
14,19,3,0,11,0,20.0
60,59,5,0,27,2,67.0
33,210,29,0,67,12,212.0
34,191,16,0,74,16,223.1
65,29,2,1,5,3,48.0
56,86,12,0,26,2,68.1
25,16,2,0,11,0,17.1
32,207,15,0,50,13,194.2
39,146,13,0,55,4,139.1
32,225,16,0,62,12,199.2
26,152,16,0,45,12,146.2
3,4,0,0,2,0,2.0
30,160,17,0,65,11,161.2
4,18,1,0,9,1,18.2
18,8,1,0,7,0,10.0
32,197,18,0,42,17,232.2
60,39,3,1,15,6,53.2
64,47,3,44,8,1,61.1
61,44,8,2,19,5,61.1
70,56,1,40,16,1,68.2
19,22,1,0,13,2,15.2
33,186,19,0,55,21,222.0
18,38,5,0,4,0,22.2
6,3,0,0,4,0,7.0
29,28,5,0,9,1,19.2
9,12,2,0,3,0,7.1
4,2,0,0,3,1,4.1
8,5,1,0,7,0,7.2
32,175,17,0,91,16,202.0
3,7,2,0,4,0,4.1
33,218,19,0,67,14,233.2
14,78,10,0,5,0,59.1
32,169,19,0,44,14,216.0
12,9,1,0,4,0,11.0
65,38,11,0,9,2,65.0
7,8,1,0,2,0,6.0
47,47,7,0,8,2,49.1
61,58,7,2,25,4,68.0
11,55,6,0,17,2,50.2
17,84,9,0,27,5,74.2
26,36,8,1,14,2,44.0
34,27,4,0,17,3,33.1
32,196,24,0,49,13,202.0
4,29,3,0,6,0,23.1
8,47,13,0,22,3,42.2
17,16,1,0,9,1,17.1
13,40,6,0,10,3,32.0
34,31,4,0,13,2,25.2
5,28,2,0,4,1,26.0
22,106,17,0,46,11,130.0
21,6,1,0,5,0,12.0
9,4,0,0,6,1,11.0
13,86,8,0,25,3,83.1
32,176,26,0,80,15,225.0
12,54,4,0,16,2,47.2
73,57,8,43,20,6,75.1
10,45,6,0,15,4,44.0
3,17,3,0,4,0,12.2
34,213,26,0,66,9,208.0
12,11,0,0,8,0,7.2
23,153,10,0,33,9,139.0
31,221,21,0,45,13,205.1
5,7,2,0,1,0,4.1
25,19,4,0,22,1,24.2
31,29,0,0,16,1,27.1
1,0,0,0,0,0,1.0
30,162,21,0,69,11,179.1
20,22,3,0,9,0,18.1
5,1,0,0,3,1,4.0
5,6,0,0,3,1,6.1
10,13,1,0,6,0,10.2
12,78,7,0,18,2,63.1
