AB,Player,RBI,POS,AVG,GIDP,HR,SLG,CS,R
61,J Herrera,3,2B,0.23,0,0,0.279,1,5
16,R Martinez,3,2B,0.25,1,0,0.438,0,0
370,R Durham,45,2B,0.289,7,6,0.432,4,64
36,D Richar,3,2B,0.222,1,0,0.278,0,4
505,M DeRosa,87,2B,0.285,9,21,0.481,0,103
34,C Crabbe,2,2B,0.176,0,0,0.206,0,4
266,O Vizquel,23,SS,0.222,4,0,0.267,4,24
205,L Rivas,20,SS,0.22,7,3,0.312,2,25
407,O Hudson,41,2B,0.305,18,8,0.45,1,54
540,S Schumaker,46,2B,0.302,19,8,0.406,2,87
79,L Maza,4,SS,0.228,5,1,0.278,0,7
165,C Burke,12,2B,0.194,2,2,0.273,0,20
393,C Barmes,44,2B,0.29,9,11,0.468,4,47
414,C Izturis,24,SS,0.263,6,1,0.309,6,50
607,C Utley,104,2B,0.292,9,33,0.535,2,113
169,E Bonifacio,14,2B,0.243,2,0,0.337,4,29
216,R Cedeno,28,2B,0.269,6,2,0.352,1,36
547,K Johnson,69,2B,0.287,3,12,0.446,6,86
10,T Perez,0,SS,0.2,0,0,0.2,0,0
579,C Guzman,55,SS,0.316,10,9,0.44,5,77
611,S Drew,67,SS,0.291,5,21,0.502,3,91
569,J Hardy,74,SS,0.283,18,24,0.478,1,78
10,J Castro,0,SS,0.0,0,0,0.0,0,1
440,J Kent,59,2B,0.28,13,12,0.418,1,42
556,J Rollins,59,SS,0.277,11,11,0.437,3,76
7,E Maysonet,0,SS,0.143,0,0,0.143,0,0
197,B Ryan,10,SS,0.244,4,0,0.289,2,30
240,E Burriss,18,2B,0.283,7,1,0.329,5,37
514,Y Escobar,60,SS,0.288,24,10,0.401,5,71
64,D Eckstein,4,SS,0.219,1,1,0.313,0,5
4,D Bernier,0,2B,0.0,0,0,0.0,0,0
4,A Escobar,0,SS,0.5,0,0,0.5,0,2
75,J Dillon,6,2B,0.213,1,1,0.293,0,13
296,R Belliard,46,2B,0.287,6,11,0.473,2,37
298,L Castillo,28,2B,0.245,13,3,0.305,2,46
81,A Hernandez,17,SS,0.333,1,0,0.383,0,11
310,T Iguchi,24,2B,0.232,11,2,0.306,1,29
226,A Berroa,16,SS,0.23,13,1,0.31,0,26
377,T Tulowitzki,46,SS,0.263,16,8,0.401,6,48
299,J Baker,48,2B,0.268,5,12,0.468,0,55
559,B Phillips,78,2B,0.261,13,21,0.442,10,80
248,C Counsell,14,SS,0.226,5,1,0.302,1,31
14,H Iribarren,1,2B,0.143,0,0,0.214,0,1
56,J Nix,2,2B,0.125,1,0,0.161,0,2
10,B Harman,1,2B,0.1,1,0,0.2,0,1
475,R Weeks,46,2B,0.234,5,14,0.398,5,89
325,E Gonzalez,33,2B,0.274,11,7,0.385,3,38
80,B Lillibridge,8,SS,0.2,0,1,0.338,0,9
688,J Reyes,68,SS,0.297,9,16,0.475,15,113
108,B Bixler,2,SS,0.157,1,0,0.194,0,16
275,E Velez,30,2B,0.262,11,1,0.382,6,32
210,O Quintanilla,15,2B,0.238,3,2,0.348,0,28
