DRB%,AST%,Tm,ORB%,G,BLK%,Age,ORtg
25.2,0.0,LAC,12.8,67,0.0,30-230,99
31.4,0.0,LAC,0.0,39,0.0,30-149,0
8.1,0.0,LAC,0.0,8,0.0,30-078,31
20.3,0.0,LAC,25.2,3,5.8,30-068,84
22.7,41.2,LAC,6.5,69,6.5,30-234,175
7.5,12.6,LAC,0.0,38,4.1,30-148,57
14.2,10.0,LAC,0.0,68,0.0,30-233,37
0.0,0.0,LAC,0.0,45,0.0,30-180,0
0.0,0.0,LAC,0.0,60,0.0,30-212,0
23.3,3.9,LAC,7.3,57,1.7,30-202,77
11.5,0.0,LAC,0.0,35,7.5,30-139,0
26.5,28.4,LAC,0.0,33,0.0,30-135,84
45.7,5.8,LAC,0.0,13,6.5,30-092,68
22.0,4.9,LAC,11.3,27,2.1,30-125,141
18.5,25.8,LAC,0.0,66,4.7,30-229,40
25.4,0.0,LAC,8.9,40,0.0,30-154,97
0.0,0.0,LAC,7.9,34,0.0,30-137,14
50.0,0.0,LAC,0.0,42,0.0,30-166,98
29.1,0.0,LAC,8.2,15,4.9,30-096,98
20.0,0.0,LAC,0.0,50,0.0,30-190,130
13.8,0.0,LAC,12.3,37,0.0,30-145,92
39.1,44.4,LAC,11.5,48,6.9,30-184,73
0.0,0.0,LAC,0.0,51,0.0,30-192,123
12.3,10.5,LAC,14.8,55,1.9,30-199,132
28.6,0.0,LAC,0.0,12,0.0,30-090,0
23.7,8.7,LAC,4.2,52,0.0,30-194,77
27.4,27.4,LAC,4.0,63,6.5,30-222,67
17.6,0.0,LAC,9.8,22,0.0,30-114,74
8.7,0.0,LAC,18.7,21,1.9,30-111,137
22.3,19.8,LAC,0.0,31,0.0,30-132,100
15.4,5.1,LAC,10.0,49,0.0,30-188,75
