Batter,Team,AB,H,AVG,2B,3B,HR,RBI,BB,K,SB,CS,SLG,OBP,OPS
Juan Lagares,NY-N,6,1,0.167,0,0,0,0,0,1,0,0,0.167,0.167,0.333
Wilmer Flores,NY-N,5,0,0.0,0,0,0,0,0,3,0,0,0.0,0.0,0.0
Cody Asche,PHI,4,2,0.5,2,0,0,1,0,0,0,0,1.0,0.5,1.5
Eric Campbell,NY-N,4,1,0.25,0,0,0,2,0,2,1,0,0.25,0.25,0.5
Adeiny Hechavarria,MIA,4,1,0.25,0,0,0,0,0,1,0,0,0.25,0.25,0.5
Casey McGehee,MIA,4,1,0.25,0,0,0,1,0,1,0,0,0.25,0.25,0.5
Andrelton Simmons,ATL,4,1,0.25,0,0,0,1,1,1,1,0,0.25,0.333,0.583
Giancarlo Stanton,MIA,4,1,0.25,0,0,0,1,0,3,0,0,0.25,0.25,0.5
Juan Uribe,NY-N,4,0,0.0,0,0,0,0,0,3,1,0,0.0,0.0,0.0
Chris Johnson,ATL,3,2,0.667,0,0,0,2,0,0,0,0,0.667,0.667,1.333
Marlon Byrd,CIN,3,1,0.333,0,0,0,0,0,1,0,0,0.333,0.333,0.667
Travis d'Arnaud,NY-N,3,1,0.333,0,0,0,0,0,1,0,0,0.333,0.333,0.667
Phil Gosselin,AZ,3,1,0.333,0,0,0,0,0,1,0,0,0.333,0.333,0.667
Paul Goldschmidt,AZ,3,0,0.0,0,0,0,0,0,2,0,0,0.0,0.0,0.0
Kelly Johnson,NY-N,3,0,0.0,0,0,0,0,0,2,0,0,0.0,0.0,0.0
Starling Marte,PIT,3,0,0.0,0,0,0,0,0,2,0,0,0.0,0.0,0.0
Aramis Ramirez,PIT,3,0,0.0,0,0,0,0,0,2,0,0,0.0,0.0,0.0
Darin Ruf,PHI,3,0,0.0,0,0,0,0,0,2,0,0,0.0,0.0,0.0
Carlos Ruiz,PHI,3,0,0.0,0,0,0,0,1,0,0,0,0.0,0.25,0.25
Cameron Rupp,PHI,3,0,0.0,0,0,0,1,0,1,0,0,0.0,0.0,0.0
Zack Cozart,CIN,2,2,1.0,0,0,0,1,0,0,1,0,1.0,1.0,2.0
Todd Frazier,CIN,2,2,1.0,0,0,0,0,0,0,0,0,1.0,1.0,2.0
Martin Prado,MIA,2,2,1.0,0,0,0,1,0,0,1,0,1.0,1.0,2.0
Emilio Bonifacio,CHI-A,2,1,0.5,1,0,0,0,0,0,0,0,1.0,0.5,1.5
Tyler Colvin,CHI-A,2,1,0.5,0,0,0,0,0,1,0,0,0.5,0.5,1.0
Brandon Crawford,SF,2,1,0.5,1,0,0,0,0,1,0,0,1.0,0.5,1.5
Ike Davis,OAK,2,1,0.5,0,0,0,1,0,0,0,0,0.5,0.5,1.0
Freddie Freeman,ATL,2,1,0.5,0,0,0,0,0,0,0,0,0.5,0.5,1.0
Dee Gordon,MIA,2,1,0.5,0,1,0,0,0,1,0,0,1.5,0.5,2.0
Ryan Howard,PHI,2,1,0.5,0,0,0,0,1,1,0,0,0.5,0.667,1.167
Reed Johnson,WAS,2,1,0.5,1,0,0,2,0,0,0,0,1.0,0.5,1.5
Manny Machado,BAL,2,1,0.5,0,0,1,2,0,0,0,0,2.0,0.5,2.5
Andrew McCutchen,PIT,2,1,0.5,0,0,0,0,1,1,0,0,0.5,0.667,1.167
Mark Reynolds,STL,2,1,0.5,1,0,0,1,0,1,0,0,1.0,0.5,1.5
Ruben Tejada,NY-N,2,1,0.5,0,0,0,0,0,1,0,0,0.5,0.5,1.0
Reid Brignac,MIA,2,0,0.0,0,0,0,0,0,2,0,0,0.0,0.0,0.0
Domonic Brown,PHI,2,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Michael Cuddyer,NY-N,2,0,0.0,0,0,0,0,0,2,0,0,0.0,0.0,0.0
Josh Donaldson,TOR,2,0,0.0,0,0,0,0,0,1,0,0,0.0,0.0,0.0
Maikel Franco,PHI,2,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Jeff Francoeur,PHI,2,0,0.0,0,0,0,0,0,2,0,0,0.0,0.0,0.0
Billy Hamilton,CIN,2,0,0.0,0,0,0,0,0,1,0,0,0.0,0.0,0.0
Adam Jones,BAL,2,0,0.0,0,0,0,0,0,1,0,0,0.0,0.0,0.0
Howie Kendrick,LA,2,0,0.0,0,0,0,0,0,1,0,0,0.0,0.0,0.0
Mike Morse,PIT,2,0,0.0,0,0,0,0,0,0,0,0,0.0,0.333,0.333
Marcell Ozuna,MIA,2,0,0.0,0,0,0,0,0,1,0,0,0.0,0.0,0.0
A.J. Pierzynski,ATL,2,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Buster Posey,SF,2,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
J.T. Realmuto,MIA,2,0,0.0,0,0,0,0,0,1,0,0,0.0,0.0,0.0
Jimmy Rollins,LA,2,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Jean Segura,MIL,2,0,0.0,0,0,0,0,0,1,0,0,0.0,0.0,0.0
J.B. Shuck,CHI-A,2,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Grady Sizemore,TB,2,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Ian Stewart,WAS,2,0,0.0,0,0,0,0,0,2,0,0,0.0,0.0,0.0
Drew Stubbs,COL,2,0,0.0,0,0,0,0,0,1,0,0,0.0,0.0,0.0
Mike Trout,ANA,2,0,0.0,0,0,0,0,0,1,0,0,0.0,0.0,0.0
Dan Uggla,WAS,2,0,0.0,0,0,0,0,0,1,0,0,0.0,0.0,0.0
Kolten Wong,STL,2,0,0.0,0,0,0,0,0,1,0,0,0.0,0.0,0.0
Alexi Amarista,SD,1,1,1.0,0,0,0,1,0,0,0,0,1.0,1.0,2.0
Nolan Arenado,COL,1,1,1.0,1,0,0,1,0,0,0,0,2.0,1.0,3.0
Erick Aybar,ANA,1,1,1.0,0,0,0,1,0,0,0,0,1.0,1.0,2.0
Jay Bruce,CIN,1,1,1.0,0,0,0,0,0,0,0,0,1.0,1.0,2.0
Kris Bryant,CHI-N,1,1,1.0,0,0,1,1,0,0,0,0,4.0,1.0,5.0
Francisco Cervelli,PIT,1,1,1.0,0,0,0,1,0,0,0,0,1.0,1.0,2.0
Carl Crawford,LA,1,1,1.0,0,0,0,0,0,0,0,0,1.0,1.0,2.0
David Freese,ANA,1,1,1.0,1,0,0,0,0,0,0,0,2.0,1.0,3.0
Scooter Gennett,MIL,1,1,1.0,0,0,0,1,0,0,0,0,1.0,1.0,2.0
Nick Hundley,COL,1,1,1.0,0,0,0,0,0,0,0,0,1.0,1.0,2.0
Pete Kozma,STL,1,1,1.0,0,0,0,0,0,0,0,0,1.0,1.0,2.0
Nick Markakis,ATL,1,1,1.0,1,0,0,0,0,0,0,0,2.0,1.0,3.0
Brian McCann,NY-A,1,1,1.0,0,0,0,1,0,0,0,0,1.0,1.0,2.0
Justin Morneau,COL,1,1,1.0,0,0,0,0,0,0,0,0,1.0,1.0,2.0
Hunter Pence,SF,1,1,1.0,0,0,0,0,1,0,0,0,1.0,1.0,2.0
Jhonny Peralta,STL,1,1,1.0,1,0,0,0,0,0,0,0,2.0,1.0,3.0
Brandon Phillips,CIN,1,1,1.0,0,0,0,1,0,0,1,0,1.0,1.0,2.0
A.J. Pollock,AZ,1,1,1.0,0,0,0,0,0,0,0,0,1.0,1.0,2.0
Hanley Ramirez,BOS,1,1,1.0,0,0,0,0,0,0,0,0,1.0,1.0,2.0
Alex Rodriguez,NY-A,1,1,1.0,1,0,0,1,0,0,0,0,2.0,1.0,3.0
