oppOPS,NAME,oppRPA+,TEAM,oppAVG,G,AB,LG,LVL
0.738,Josh Johnson,108,TOR,0.262,16,344,AL,MLB
0.725,Todd Redmond,105,TOR,0.254,17,293,AL,MLB
0.688,Jhoulys Chacin,94,COL,0.25,31,742,NL,MLB
0.737,Esmil Rogers,109,TOR,0.26,44,544,AL,MLB
0.704,Ryan Pressly,101,MIN,0.252,49,283,AL,MLB
0.706,Jason Marquis,98,SDN,0.253,20,432,NL,MLB
0.715,Drew Smyly,104,DET,0.253,63,283,AL,MLB
0.729,Jered Weaver,107,ANA,0.256,24,586,AL,MLB
0.728,Bruce Chen,108,KCA,0.258,34,452,AL,MLB
0.717,Corey Kluber,102,CLE,0.258,26,564,AL,MLB
0.71,Jose Fernandez,98,MIA,0.252,28,611,NL,MLB
0.725,Brad Peacock,109,HOU,0.257,18,323,AL,MLB
0.731,Cc Sabathia,108,NYA,0.259,32,823,AL,MLB
0.738,Luis Mendoza,111,KCA,0.26,22,367,AL,MLB
0.721,Joe Saunders,106,SEA,0.255,32,746,AL,MLB
0.695,Stephen Strasburg,95,WAS,0.247,30,657,NL,MLB
0.719,Tommy Milone,106,OAK,0.256,28,620,AL,MLB
0.721,Jason Hammel,105,BAL,0.254,26,545,AL,MLB
0.702,Dillon Gee,95,NYN,0.253,32,775,NL,MLB
0.687,Mike Minor,92,ATL,0.248,32,762,NL,MLB
0.725,A.j. Griffin,106,OAK,0.256,32,757,AL,MLB
0.71,Chad Gaudin,99,SFN,0.252,30,357,NL,MLB
0.736,Dallas Keuchel,111,HOU,0.26,31,620,AL,MLB
0.719,Matt Moore,103,TBA,0.255,27,551,AL,MLB
0.72,Kevin Correia,104,MIN,0.258,31,734,AL,MLB
0.722,David Phelps,106,NYA,0.253,22,332,AL,MLB
0.713,Francisco Liriano,98,PIT,0.255,26,599,NL,MLB
0.678,Cole Hamels,90,PHI,0.244,33,832,NL,MLB
0.7,Barry Zito,95,SFN,0.251,30,544,NL,MLB
0.696,Patrick Corbin,94,ARI,0.251,32,788,NL,MLB
0.7,Yovani Gallardo,97,MIL,0.25,31,689,NL,MLB
0.7,Dan Haren,95,WAS,0.253,31,667,NL,MLB
0.704,Homer Bailey,97,CIN,0.252,32,773,NL,MLB
0.705,Adam Ottavino,98,COL,0.252,51,292,NL,MLB
0.736,Scott Feldman,108,BAL,0.261,15,341,AL,MLB
0.708,Rick Porcello,101,DET,0.25,32,684,AL,MLB
0.696,Lance Lynn,94,SLN,0.248,33,750,NL,MLB
0.707,Brandon Kintzler,98,MIL,0.252,71,282,NL,MLB
0.699,Wilton Lopez,96,COL,0.252,75,300,NL,MLB
0.691,Tom Koehler,93,MIA,0.248,29,537,NL,MLB
0.695,Mike Leake,94,CIN,0.248,31,734,NL,MLB
0.707,Jake Peavy,101,CHA,0.249,13,303,AL,MLB
0.703,Ryan Webb,96,MIA,0.252,66,287,NL,MLB
0.716,Yu Darvish,105,TEX,0.252,32,748,AL,MLB
0.694,Madison Bumgarner,93,SFN,0.249,31,720,NL,MLB
0.706,Bryan Shaw,100,CLE,0.254,70,278,AL,MLB
0.692,Jeremy Hefner,92,NYN,0.249,24,507,NL,MLB
0.697,Matt Cain,94,SFN,0.251,30,692,NL,MLB
0.699,Scott Feldman,97,CHN,0.248,15,338,NL,MLB
0.711,Travis Wood,100,CHN,0.255,32,735,NL,MLB
0.729,Jeremy Hellickson,107,TBA,0.26,32,676,AL,MLB
0.703,Tyler Chatwood,98,COL,0.251,20,425,NL,MLB
0.725,Mark Buehrle,106,TOR,0.256,33,807,AL,MLB
0.714,A.j. Ramos,100,MIA,0.252,68,289,NL,MLB
0.719,Wade Davis,105,KCA,0.256,31,550,AL,MLB
0.689,Julio Teheran,93,ATL,0.246,30,703,NL,MLB
0.718,Matt Garza,104,TEX,0.26,13,328,AL,MLB
0.684,Tony Cingrani,91,CIN,0.244,23,367,NL,MLB
0.714,Max Scherzer,103,DET,0.254,32,766,AL,MLB
0.702,Kyle Lohse,98,MIL,0.248,32,757,NL,MLB
0.706,Anibal Sanchez,101,DET,0.25,29,682,AL,MLB
0.716,Ubaldo Jimenez,104,CLE,0.256,32,682,AL,MLB
0.711,Justin Verlander,103,DET,0.251,34,838,AL,MLB
0.686,Jeanmar Gomez,94,PIT,0.246,34,292,NL,MLB
0.728,Felix Hernandez,107,SEA,0.258,31,764,AL,MLB
0.708,Nathan Eovaldi,97,MIA,0.256,18,402,NL,MLB
0.727,Scott Diamond,107,MIN,0.257,24,533,AL,MLB
0.728,Lucas Harrell,107,HOU,0.258,36,602,AL,MLB
0.713,Joe Blanton,103,ANA,0.252,28,567,AL,MLB
0.716,Trevor Rosenthal,100,SLN,0.253,74,282,NL,MLB
0.711,Gerrit Cole,100,PIT,0.255,19,431,NL,MLB
0.724,Roberto Hernandez,106,TBA,0.257,32,584,AL,MLB
0.699,A.j. Burnett,94,PIT,0.251,30,714,NL,MLB
0.683,Paul Maholm,91,ATL,0.248,26,603,NL,MLB
0.698,Andrew Cashner,94,SDN,0.25,31,647,NL,MLB
0.701,Joe Kelly,97,SLN,0.247,37,479,NL,MLB
0.721,Carlos Villanueva,101,CHN,0.258,47,471,NL,MLB
0.688,Jake Westbrook,93,SLN,0.244,21,451,NL,MLB
0.685,Gio Gonzalez,93,WAS,0.247,32,732,NL,MLB
0.709,Jason Vargas,103,ANA,0.252,24,587,AL,MLB
0.737,Alexi Ogando,111,TEX,0.259,23,377,AL,MLB
0.722,Tanner Scheppers,107,TEX,0.256,76,271,AL,MLB
0.733,Aaron Harang,110,SEA,0.255,22,486,AL,MLB
0.706,Randall Delgado,99,ARI,0.253,20,439,NL,MLB
0.706,Nate Jones,102,CHA,0.249,70,279,AL,MLB
0.673,Shaun Marcum,89,NYN,0.239,14,299,NL,MLB
0.731,Hisashi Iwakuma,108,SEA,0.257,33,813,AL,MLB
0.709,Doug Fister,102,DET,0.253,33,814,AL,MLB
0.709,Edinson Volquez,96,SDN,0.255,27,577,NL,MLB
0.727,R.a. Dickey,107,TOR,0.258,34,854,AL,MLB
0.708,Cliff Lee,99,PHI,0.252,31,832,NL,MLB
0.686,Jonathan Pettibone,94,PHI,0.248,18,384,NL,MLB
0.724,Erik Bedard,106,HOU,0.257,32,574,AL,MLB
