Batter,Team,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,K,AVG,OBP,SLG,OPS
David Bacani,Por,4,13,3,4,2,0,1,2,0,0,3,2,0.308,0.471,0.692,1.163
Jacoby Ellsbury,Por,17,73,16,33,10,2,0,13,8,1,6,7,0.452,0.518,0.644,1.162
Jed Lowrie,Por,93,337,61,100,31,7,8,49,5,3,65,58,0.297,0.41,0.501,0.911
Salvador Paniagua,Por,14,42,6,11,3,1,2,6,0,0,4,14,0.262,0.326,0.524,0.85
Tony Granadillo,Por,9,27,4,9,3,0,0,4,0,1,3,3,0.333,0.4,0.444,0.844
Jeff Natale,Por,119,404,66,109,28,1,5,64,5,3,88,36,0.27,0.417,0.381,0.798
Dusty Brown,Por,69,254,43,68,16,2,9,43,0,0,28,64,0.268,0.344,0.453,0.797
Bryan Pritz,Por,101,356,50,104,22,3,7,47,4,1,39,53,0.292,0.359,0.43,0.789
Aaron Bates,Por,27,91,16,18,9,0,4,13,0,0,17,29,0.198,0.348,0.429,0.777
Andrew Pinckney,Por,125,458,72,121,28,4,14,64,4,7,41,100,0.264,0.327,0.434,0.761
Chad Spann,Por,24,96,13,24,8,0,4,26,0,1,8,32,0.25,0.303,0.458,0.761
Eric Crozier,Por,63,220,37,52,11,1,9,44,1,0,35,81,0.236,0.34,0.418,0.758
Jeff Corsaletti,Por,123,462,93,123,21,3,6,58,20,7,83,87,0.266,0.385,0.364,0.749
Bubba Bell,Por,34,147,23,39,5,2,4,22,4,0,14,17,0.265,0.337,0.408,0.746
Jay Johnson,Por,109,411,47,109,27,4,5,64,5,3,44,79,0.265,0.339,0.387,0.726
Cory Keylor,Por,111,398,53,98,24,6,9,47,7,3,41,109,0.246,0.32,0.405,0.725
Iggy Suarez,Por,105,352,53,89,17,2,4,33,7,1,36,89,0.253,0.325,0.347,0.671
Zach Borowiak,Por,79,254,41,59,6,0,3,31,3,0,22,42,0.232,0.3,0.291,0.592
John Otness,Por,71,251,17,57,10,2,0,24,1,1,8,31,0.227,0.26,0.283,0.543
Scott Youngbauer,Por,13,48,4,8,2,1,0,3,1,0,5,12,0.167,0.245,0.25,0.495
Josh Reddick,Por,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
