BATTING,Team,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,AVG,OBP,SLG,OPS
2001,SF,3,4,4,0,2,0,1,0,2,0,0,0,0,0.5,0.5,1.0,1.5
2002,SF,53,155,136,17,38,10,0,2,14,0,0,14,20,0.279,0.355,0.397,0.752
2003,SF,66,221,200,22,52,10,2,4,29,1,0,14,39,0.26,0.312,0.39,0.702
2004,SF,64,196,172,19,39,7,3,6,23,2,0,17,31,0.227,0.302,0.407,0.709
2005,SF,34,105,93,18,21,8,0,1,7,1,0,9,25,0.226,0.301,0.344,0.645
2005,SEA,42,119,108,14,26,4,0,2,8,0,0,7,25,0.241,0.293,0.333,0.626
2005,Total,76,224,201,32,47,12,0,3,15,1,0,16,50,0.234,0.297,0.338,0.635
2006,COL,65,241,223,23,55,16,3,7,43,4,3,11,49,0.247,0.293,0.439,0.732
2007,COL,113,443,396,47,101,22,1,8,47,2,1,34,73,0.255,0.323,0.376,0.699
2008,COL,70,261,236,19,58,17,0,6,31,0,4,12,44,0.246,0.293,0.394,0.687
2009,COL,64,242,213,27,62,11,1,2,31,1,1,21,42,0.291,0.351,0.38,0.731
2010,SD,95,363,325,31,88,14,0,7,37,7,5,33,67,0.271,0.343,0.378,0.721
2011,TEX,113,419,396,40,108,27,1,7,37,0,2,20,65,0.273,0.306,0.399,0.705
2012,TEX,49,182,161,16,38,8,0,3,12,1,1,14,31,0.236,0.302,0.342,0.644
2012,TOR,10,30,28,3,6,0,0,1,2,0,0,2,7,0.214,0.267,0.321,0.588
2012,MIL,5,6,5,0,0,0,0,0,0,0,0,1,2,0.0,0.167,0.0,0.167
2012,Total,64,218,194,19,44,8,0,4,14,1,1,17,40,0.227,0.293,0.33,0.623
2013,COL,61,196,179,10,43,8,0,0,16,0,0,13,24,0.24,0.295,0.285,0.58
Career, ,907,3183,2875,306,737,162,12,56,339,19,17,222,544,0.256,0.315,0.379,0.694
