Catalog Number,Kingdom,Phylum,Class,Order,Family,Genus,Specific Epithet,Locality,Continent,Country,State/Province
9999,Invertebrates,Cnidaria, , , , , ,72139,North America,USA,MT
9998,Invertebrates,Cnidaria,Anthozoa,Tabulata,Auloporidae,Syringopora,surcularia,72139,North America,USA,MT
9997,Invertebrates,Mollusca,Bivalvia,Unionoida,Unionidae,Unio,sp.,72138,North America,USA,MT
9994,Invertebrates,Mollusca,Bivalvia,Unionoida,Unionidae,Unio,sp.,72138,North America,USA,MT
9993,Invertebrates,Mollusca,Bivalvia,Unionoida,Unionidae,Unio,sp.,72138,North America,USA,MT
9992,Invertebrates,Mollusca,Bivalvia,Unionoida,Unionidae,Unio,couesi,72138,North America,USA,MT
9991,Invertebrates,Mollusca,Bivalvia,Unionoida,Unionidae,Unio,sp.,72138,North America,USA,MT
9990,Invertebrates,Mollusca,Bivalvia,Unionoida,Unionidae,Unio,sp.,72138,North America,USA,MT
999,Invertebrates,Mollusca,Bivalvia,Veneroida,Capulidae,Capulus,obliguus,75949,North America,USA, 
9989,Invertebrates,Mollusca,Bivalvia,Unionoida,Unionidae,Unio,sp.,72138,North America,USA,MT
9988,Invertebrates,Mollusca,Gastropoda,Neotaenioglossa,Pleuroceridae,Goniobasis,nebrascensis,72138,North America,USA,MT
9987,Invertebrates,Mollusca,Gastropoda,Basommatophora,Planorbidae,Planorbis,sp.,72138,North America,USA,MT
9986,Invertebrates,Mollusca,Gastropoda,Basommatophora,Lymnaeidae,Lymnaea,compactilis,72138,North America,USA,MT
9985, , , , , , , ,72138,North America,USA,MT
9984,Invertebrates,Mollusca,Gastropoda,Architaenioglossa,Viviparidae,Viviparus,retusus,72138,North America,USA,MT
9983,Invertebrates,Mollusca,Gastropoda,Architaenioglossa,Viviparidae,Campeloma,nebrascensis,72138,North America,USA,MT
9982,Invertebrates,Mollusca,Gastropoda,Architaenioglossa,Viviparidae,Viviparus,companiformes,72138,North America,USA,MT
9981,Invertebrates,Mollusca,Gastropoda,Architaenioglossa,Viviparidae,Viviparus,leidyi,72138,North America,USA,MT
9980,Invertebrates,Mollusca,Gastropoda,Neotaenioglossa, , , ,72137,North America,USA,CA
998,Invertebrates,Mollusca,Bivalvia,Veneroida,Capulidae,Capulus,latus,75949,North America,USA, 
