3+HepB‡‡,1+Var§§,4:3:1:4-FS§§§,4:3:1:0:3:1€€,4:3:1:3†††,3+Hib¶,4:3:1***,4:3:1:3:3-PS****
91.3±3.5,80.5±5.2,25.1±5.5,66.0±6.5,72.6±6.3,90.1±5.1,75.3±5.4,71.6±6.4
85.4±5.1,84.7±5.4,30.8±6.4,68.9±6.7,53.0±7.0,63.8±6.8,79.2±5.8,67.4±6.7
91.5±0.7,88.3±0.9,42.9±1.4,72.8±1.2,68.8±1.3,82.9±1.0,77.1±1.1,72.7±1.2
87.3±4.7,85.8±5.0,48.1±7.5,66.6±7.1,67.1±7.1,81.5±5.8,75.6±6.7,67.9±7.1
97.1±1.8,89.2±4.6,33.7±7.3,78.2±6.2,54.1±7.9,65.6±7.5,84.6±5.2,77.1±6.6
95.1±2.9,89.0±4.1,41.4±6.6,73.5±5.9,74.1±5.9,91.1±3.8,76.2±5.8,74.5±5.9
91.3±3.7,91.8±3.4,55.9±7.0,74.5±6.0,73.5±6.2,89.1±4.3,77.3±5.8,74.3±6.1
93.0±3.6,88.3±4.6,48.8±7.5,75.0±6.3,66.8±6.8,80.1±5.8,77.7±6.0,74.5±6.4
88.8±2.8,87.4±3.4,39.9±4.8,70.8±4.5,69.5±4.7,85.0±3.8,74.5±4.3,68.9±4.7
93.9±2.9,85.6±4.5,36.3±6.8,73.0±6.1,55.3±7.0,65.7±6.7,78.0±5.6,72.6±6.1
92.8±2.9,90.0±3.6,40.4±6.0,72.0±5.7,61.8±6.0,76.1±5.3,75.7±5.6,69.2±5.9
87.2±4.8,90.9±3.6,33.3±6.1,73.6±5.9,67.2±6.3,77.6±5.6,82.2±4.9,69.8±6.0
87.3±4.0,83.2±4.2,30.9±5.4,62.2±5.8,69.7±5.5,88.6±3.7,70.2±5.5,65.8±5.7
88.6±4.4,84.1±5.5,31.3±5.7,66.2±6.4,62.1±6.5,77.5±6.1,67.6±6.4,65.1±6.5
94.2±3.1,86.8±4.9,46.6±6.6,72.3±6.1,69.9±6.1,84.9±4.7,76.4±5.8,73.1±6.0
91.9±4.0,94.0±3.4,53.6±7.3,74.2±6.4,74.8±6.8,86.7±5.8,79.7±6.0,75.0±6.3
88.2±5.1,85.4±5.5,39.4±6.4,61.7±6.9,64.2±6.7,89.4±4.4,69.2±6.6,63.6±6.9
96.0±2.5,94.3±2.6,58.2±6.2,82.5±4.6,73.7±5.6,83.2±4.9,83.2±4.5,79.8±4.9
90.0±4.1,87.2±4.5,40.0±6.9,74.0±6.3,66.1±6.7,79.5±5.8,77.6±5.8,73.4±6.4
86.3±5.0,82.9±5.2,29.5±6.5,60.9±7.2,69.4±6.8,88.3±4.5,69.7±6.8,64.8±7.1
91.1±6.4,89.8±6.4,39.4±8.5,67.8±8.9,70.0±8.9,85.6±7.7,70.5±8.9,69.4±8.9
90.3±3.8,91.6±3.7,42.5±7.3,75.8±6.1,73.3±6.7,85.3±5.6,80.9±5.7,75.4±6.1
91.2±4.3,82.5±5.6,34.5±6.7,68.3±6.6,68.5±6.6,86.0±4.9,73.7±6.3,70.0±6.5
84.7±5.4,84.9±5.4,40.0±7.4,64.8±7.5,68.0±7.4,82.4±5.9,68.6±7.4,65.4±7.5
90.8±4.0,93.5±3.2,42.7±6.7,71.0±6.5,74.4±5.4,90.3±4.0,77.4±5.2,71.6±6.5
93.7±3.4,91.6±3.9,54.6±7.0,73.9±6.1,71.5±6.3,91.0±3.8,76.2±6.0,73.2±6.2
91.4±3.5,86.7±4.5,39.6±6.3,68.2±6.3,69.4±6.1,85.7±4.7,73.8±6.0,70.4±6.1
89.4±4.7,87.9±4.7,37.6±7.1,71.2±6.6,73.6±6.5,89.7±4.5,75.0±6.4,72.4±6.5
89.1±4.0,87.4±5.0,40.4±7.0,71.6±6.5,69.4±6.9,85.4±5.5,75.4±6.3,68.8±6.8
90.3±4.4,84.2±4.9,43.1±6.9,66.3±6.7,61.5±6.8,77.2±5.9,72.1±6.3,69.2±6.5
87.4±4.6,78.9±6.3,39.8±7.3,68.9±6.9,60.0±7.3,71.4±6.6,73.3±6.7,69.6±6.9
92.7±3.3,90.0±4.5,46.5±6.4,71.3±6.0,67.4±6.2,82.9±5.6,74.5±5.9,70.5±6.1
88.4±4.5,90.4±4.0,49.1±6.7,76.9±5.6,70.2±6.1,80.8±5.4,79.4±5.4,74.4±5.9
90.5±4.2,89.7±4.4,41.0±6.8,73.5±6.5,70.2±6.8,81.8±5.8,76.6±6.4,71.8±6.8
90.9±4.5,81.2±5.9,40.6±7.3,68.5±6.8,63.4±7.2,79.7±6.3,73.9±6.5,70.8±6.7
90.2±3.8,85.7±4.7,30.3±5.8,64.9±6.1,65.7±6.1,87.5±4.3,67.2±6.0,65.5±6.1
96.6±1.7,93.3±2.7,40.0±6.1,79.8±5.5,73.2±5.9,86.8±4.1,82.3±5.4,79.7±5.6
97.6±2.5,93.8±3.6,40.7±7.4,81.9±5.9,58.1±7.4,68.4±6.9,82.7±5.8,77.0±6.5
85.1±6.2,85.3±5.4,48.2±7.6,73.4±7.0,71.8±7.0,82.7±5.9,79.4±6.4,73.1±7.0
