TS%,DRB%,G,ORtg,MP,AST%,ORB%,Date
.250,0.0,29,43,11:00,0.0,0.0,1986-01-17
.667,0.0,61,97,18:00,0.0,6.3,1986-03-26
.167,12.0,44,57,19:00,27.0,5.6,1986-02-21
.000,0.0,40,0,4:00,0.0,0.0,1986-02-13
.735,5.7,47,173,22:00,38.9,0.0,1986-02-27
.333,0.0,64,88,14:00,0.0,8.6,1986-03-30
.732,0.0,42,104,13:00,0.0,0.0,1986-02-17
.509,26.4,69,75,33:00,11.6,0.0,1986-04-10
1.000,0.0,12,118,4:00,0.0,0.0,1985-11-26
.511,0.0,54,113,24:00,7.1,0.0,1986-03-13
.699,10.4,55,121,28:00,4.4,4.9,1986-03-16
.515,9.1,43,90,11:00,0.0,0.0,1986-02-19
.250,24.2,9,74,11:00,12.2,0.0,1985-11-20
.500,0.0,59,78,10:00,0.0,13.3,1986-03-23
.658,0.0,56,87,17:00,0.0,0.0,1986-03-18
.931,0.0,62,192,16:00,0.0,0.0,1986-03-27
.000,0.0,3,0,4:00,0.0,0.0,1985-10-31
1.167,0.0,41,224,17:00,29.7,0.0,1986-02-15
.465,6.1,28,115,23:00,12.7,5.4,1986-01-15
.600,0.0,58,84,12:00,12.5,0.0,1986-03-21
.000,12.0,57,10,8:00,12.8,0.0,1986-03-20
.000,0.0,36,0,8:00,0.0,0.0,1986-01-31
.000,8.1,63,42,16:00,28.1,15.0,1986-03-29
.000,8.1,66,0,19:00,0.0,0.0,1986-04-02
1.000,15.8,52,200,8:00,0.0,0.0,1986-03-10
.535,11.3,48,111,31:00,19.5,7.7,1986-03-03
.333,0.0,31,85,12:00,10.5,0.0,1986-01-21
.333,10.0,50,88,20:00,6.0,7.5,1986-03-07
.250,10.4,26,76,22:00,11.9,5.1,1986-01-11
.798,0.0,45,172,6:00,56.0,0.0,1986-02-22
.628,0.0,7,132,13:00,14.1,0.0,1985-11-15
.250,7.1,27,48,15:00,18.4,0.0,1986-01-13
