Tm,Rk,GS,G,BLK%,GmSc,TOV%,ORB%,MP
LAC,1,0,1,0.0,0.9,50.8,0.0,18:00
LAC,4,0,4,0.0,6.1,0.0,8.2,25:00
LAC,20,0,20,0.0,0.9,0.0,31.6,4:00
LAC,41,0,41,0.0,3.2,17.0,12.0,10:00
LAC,36,0,36,0.0,0.0,34.7,0.0,15:00
LAC,51,0,51,0.0,-2.8,0.0,0.0,4:00
LAC,39,0,39,0.0,2.7,0.0,0.0,15:00
LAC,37,0,37,0.0,2.9,34.7,0.0,9:00
LAC,17,0,17,0.0,1.9,0.0,6.3,20:00
LAC,9,0,9,0.0,2.3,0.0,0.0,6:00
LAC,14,0,14,11.6,0.7,0.0,20.9,5:00
LAC,21,0,21,0.0,-1.7,50.0,0.0,2:00
LAC,26,0,26,0.0,-1.4,50.0,36.4,4:00
LAC,30,0,30,3.0,4.7,0.0,0.0,20:00
LAC,47,0,47,0.0,-0.9,33.3,0.0,5:00
LAC,24,0,24,0.0,12.5,0.0,4.7,21:00
LAC,23,0,23,0.0,-4.7,38.1,0.0,14:00
LAC,22,0,22,0.0,2.5,0.0,16.7,6:00
LAC,18,0,18,0.0,1.7,0.0,0.0,5:00
LAC,19,0,19,0.0,-1.1,0.0,24.5,4:00
LAC,40,0,40,0.0,0.6,17.4,0.0,12:00
LAC,5,0,5,0.0,11.0,7.5,0.0,27:00
LAC,7,0,7,0.0,2.8,25.3,9.9,23:00
LAC,29,0,29,0.0,3.9,0.0,36.1,7:00
