G,Tm,BLK%,DRtg,TS%,ORB%,USG%,MP,eFG%
31,PHI,0.0,123,.333,0.0,24.6,6:00,.333
7,PHI,0.0,105,.571,6.7,21.9,13:00,.571
23,PHI,0.0,115,.532,24.0,17.5,5:00,.000
54,PHI,0.0,121,.000,0.0,16.1,3:00,.000
19,PHI,0.0,99, ,0.0,10.2,4:00, 
32,PHI,0.0,111,.000,22.2,13.8,6:00,.000
70,PHI,0.0,95,.554,0.0,36.0,9:00,.600
58,PHI,0.0,105,1.000,0.0,9.5,5:00,1.000
1,PHI,0.0,117,.000,8.9,13.8,15:00,.000
62,PHI,0.0,108,.500,0.0,19.4,28:00,.500
64,PHI,0.0,107,.781,0.0,23.1,13:00,.750
68,PHI,0.0,113,.250,0.0,17.4,13:00,.250
5,PHI,0.0,113,.410,0.0,16.7,13:00,.500
30,PHI,0.0,116,1.000,0.0,27.0,5:00,1.000
65,PHI,0.0,106,1.064,0.0,5.6,14:00,1.000
71,PHI,0.0,93,.602,0.0,16.4,17:00,.500
63,PHI,0.0,101,.000,0.0,9.3,5:00,.000
41,PHI,0.0,83,.174,0.0,28.2,6:00,.000
8,PHI,0.0,102,.210,2.1,10.9,43:00,.182
37,PHI,8.1,96,.625,0.0,25.1,7:00,.625
18,PHI,0.0,109,1.000,0.0,9.1,14:00,1.000
28,PHI,0.0,118,1.000,0.0,9.9,5:00,1.000
46,PHI,0.0,123,.000,0.0,16.4,6:00,.000
24,PHI,0.0,110,.000,0.0,22.6,4:00,.000
47,PHI,0.0,120,.000,0.0,10.5,13:00,.000
10,PHI,0.0,107,.205,6.7,18.1,14:00,.250
34,PHI,0.0,125,.731,0.0,38.3,14:00,.682
73,PHI,0.0,118,.589,3.6,22.7,25:00,.545
48,PHI,0.0,119, ,0.0,0.0,5:00, 
35,PHI,0.0,125,.333,0.0,15.7,9:00,.333
21,PHI,0.0,119,.900,0.0,23.2,9:00,.900
33,PHI,0.0,112,.414,0.0,16.6,33:00,.400
49,PHI,17.6,114,.174,31.6,38.2,4:00,.000
38,PHI,0.0,96,.347,0.0,27.4,5:00,.000
13,PHI,0.0,122,.400,16.8,18.5,13:00,.400
15,PHI,0.0,120,1.000,0.0,12.4,4:00,1.000
51,PHI,0.0,83, ,0.0,19.6,5:00, 
66,PHI,0.0,117,.000,0.0,11.7,8:00,.000
3,PHI,0.0,112,.000,0.0,14.9,6:00,.000
56,PHI,0.0,101,.258,14.3,30.0,8:00,.000
14,PHI,0.0,114,.000,0.0,27.8,3:00,.000
60,PHI,6.7,98,.000,0.0,15.2,9:00,.000
69,PHI,0.0,116, ,0.0,0.0,2:00, 
59,PHI,0.0,120,.500,0.0,24.7,9:00,.500
