MP,Date,USG%,ORB%
19:08,2010-12-10,4.9,0.0
23:21,2010-11-19,11.5,6.0
18:46,2010-11-15,7.5,14.2
19:45,2011-04-10,11.9,16.8
5:54,2011-02-23,7.2,17.7
10:38,2011-01-06,17.3,17.7
12:42,2010-12-25,10.9,9.7
9:25,2010-11-26,14.1,20.8
23:28,2011-03-27,8.0,0.0
22:52,2011-02-04,6.8,17.0
19:03,2011-04-11,9.2,0.0
11:04,2010-11-14,15.9,11.7
18:54,2011-03-13,17.7,11.5
27:15,2011-03-04,10.1,9.5
20:13,2011-03-07,11.5,0.0
20:48,2011-03-14,12.1,18.7
16:55,2010-12-27,2.8,12.6
27:03,2011-02-13,9.5,0.0
22:47,2011-04-06,10.6,8.4
19:47,2011-01-26,4.2,0.0
