oppTAv,AB,oppOPS
0.252,732,0.685
0.253,292,0.686
0.251,753,0.685
0.269,452,0.728
0.262,684,0.708
0.253,647,0.698
0.265,734,0.72
0.27,344,0.738
0.258,599,0.713
0.265,748,0.716
0.264,551,0.719
0.269,299,0.727
0.266,857,0.721
0.252,840,0.693
0.25,805,0.683
0.272,367,0.738
0.249,832,0.678
0.253,490,0.695
0.256,445,0.708
0.274,366,0.74
0.254,708,0.696
0.255,364,0.696
0.257,757,0.702
0.254,714,0.699
0.267,757,0.725
0.263,564,0.717
0.26,282,0.716
0.254,424,0.696
0.271,544,0.737
0.265,523,0.716
0.254,775,0.702
0.256,298,0.7
0.254,415,0.698
0.252,547,0.689
0.258,357,0.71
0.265,368,0.716
0.251,646,0.687
0.266,293,0.725
0.268,563,0.728
0.257,292,0.705
0.26,289,0.714
0.26,619,0.703
0.268,854,0.727
0.268,616,0.726
0.256,900,0.703
0.254,544,0.699
0.267,810,0.721
0.268,579,0.731
0.261,283,0.704
0.266,545,0.721
0.273,523,0.741
0.258,282,0.707
0.258,611,0.71
0.253,429,0.697
0.253,723,0.691
0.266,319,0.723
0.254,443,0.7
0.264,567,0.713
0.252,769,0.692
