Batter,Team,AB,H,AVG,2B,3B,HR,RBI,BB,K,SB,CS,SLG,OBP,OPS
James Loney,TB,26,9,0.346,1,0,3,4,1,4,1,0,0.731,0.37,1.101
J.J. Hardy,BAL,18,4,0.222,1,0,0,2,1,2,0,0,0.278,0.263,0.541
Dustin Pedroia,BOS,16,6,0.375,3,0,0,0,1,4,0,0,0.563,0.444,1.007
Evan Longoria,TB,16,4,0.25,0,0,3,6,2,4,0,0,0.813,0.333,1.146
Adam Jones,BAL,15,5,0.333,2,0,0,3,0,0,0,0,0.467,0.333,0.8
Mike Napoli,BOS,15,3,0.2,0,0,2,7,3,5,0,0,0.6,0.333,0.933
Prince Fielder,TEX,13,6,0.462,2,0,1,4,3,2,0,0,0.846,0.563,1.409
Chris Davis,BAL,13,4,0.308,2,0,1,2,0,3,0,0,0.692,0.308,1.0
Ryan Doumit, ,12,3,0.25,1,0,0,0,0,1,0,0,0.333,0.25,0.583
Matt Kemp,SD,12,3,0.25,0,0,0,1,2,5,0,0,0.25,0.357,0.607
Nick Markakis,ATL,12,3,0.25,0,0,0,1,1,0,0,0,0.25,0.308,0.558
Andre Ethier,LA,11,6,0.545,2,0,0,3,2,1,1,0,0.727,0.615,1.343
Justin Upton,SD,11,5,0.455,1,0,1,1,0,2,1,0,0.818,0.5,1.318
Ben Zobrist,KC,11,4,0.364,0,0,1,2,4,2,0,0,0.636,0.563,1.199
Omar Infante,KC,11,3,0.273,1,0,0,4,0,1,0,0,0.364,0.25,0.614
David Ortiz,BOS,11,3,0.273,0,0,2,2,3,1,0,0,0.818,0.429,1.247
Jamey Carroll, ,10,4,0.4,0,0,0,1,0,0,1,0,0.4,0.4,0.8
Tony Gwynn Jr.,WAS,10,4,0.4,1,0,0,0,2,1,0,0,0.5,0.5,1.0
Pablo Sandoval,BOS,10,4,0.4,0,1,1,2,3,2,0,1,0.9,0.538,1.438
Stephen Drew,NY-A,10,3,0.3,0,1,0,2,0,2,0,0,0.5,0.3,0.8
Aubrey Huff, ,10,3,0.3,0,1,0,1,1,0,0,0,0.5,0.364,0.864
Kelly Johnson,NY-N,10,3,0.3,0,0,1,1,3,1,0,0,0.6,0.462,1.062
Matt Joyce,ANA,10,3,0.3,1,0,0,0,2,2,0,0,0.4,0.417,0.817
Matt Wieters,BAL,10,3,0.3,0,0,1,4,0,4,0,0,0.6,0.3,0.9
Andrew McCutchen,PIT,10,2,0.2,0,0,0,2,0,2,1,0,0.2,0.2,0.4
Manny Machado,BAL,9,5,0.556,1,0,1,1,0,2,0,0,1.0,0.556,1.556
Pedro Alvarez,PIT,9,4,0.444,1,0,1,4,0,1,0,0,0.889,0.444,1.333
Wil Myers,SD,9,4,0.444,1,0,2,2,0,3,0,0,1.222,0.444,1.667
Juan Uribe,NY-N,9,4,0.444,0,0,2,5,2,0,0,0,1.111,0.5,1.611
Willie Bloomquist, ,9,3,0.333,0,0,0,0,0,2,0,0,0.333,0.333,0.667
Mark Reynolds,STL,9,3,0.333,0,0,1,2,1,4,0,0,0.667,0.4,1.067
Yoenis Cespedes,NY-N,9,2,0.222,0,1,1,3,0,1,0,0,0.778,0.222,1.0
Gerardo Parra,BAL,9,2,0.222,1,0,0,0,3,3,0,0,0.333,0.417,0.75
Andres Torres, ,9,2,0.222,0,0,0,0,3,3,0,0,0.222,0.417,0.639
Paul Goldschmidt,AZ,9,1,0.111,0,0,0,1,1,2,0,0,0.111,0.2,0.311
Desmond Jennings,TB,9,1,0.111,0,0,1,1,1,2,1,0,0.444,0.2,0.644
Xander Bogaerts,BOS,8,5,0.625,2,0,0,1,0,2,0,0,0.875,0.625,1.5
Skip Schumaker,CIN,8,5,0.625,0,0,0,0,2,0,0,0,0.625,0.7,1.325
Adrian Beltre,TEX,8,4,0.5,1,0,0,1,0,1,0,0,0.625,0.5,1.125
Nelson Cruz,SEA,8,4,0.5,0,0,1,3,0,2,0,0,0.875,0.5,1.375
Adrian Gonzalez,LA,8,3,0.375,0,0,0,1,0,2,0,0,0.375,0.375,0.75
Austin Jackson,SEA,8,3,0.375,0,0,0,1,0,2,0,0,0.375,0.375,0.75
Justin Sellers,CHI-A,8,3,0.375,1,0,0,3,0,2,0,0,0.5,0.375,0.875
Yunel Escobar,WAS,8,2,0.25,0,0,0,0,0,1,0,0,0.25,0.25,0.5
Elvis Andrus,TEX,8,1,0.125,0,0,0,0,0,3,0,0,0.125,0.125,0.25
Ryan Roberts,OAK,8,1,0.125,0,0,0,1,1,1,1,0,0.125,0.222,0.347
Luke Scott,TOR,8,1,0.125,1,0,0,2,0,3,0,0,0.25,0.111,0.361
Shane Victorino,ANA,8,1,0.125,1,0,0,0,1,1,0,0,0.25,0.222,0.472
Chris Young,NY-A,8,0,0.0,0,0,0,0,1,3,0,1,0.0,0.111,0.111
Torii Hunter,MIN,7,4,0.571,1,0,0,5,0,0,0,0,0.714,0.571,1.286
Freddy Sanchez, ,7,4,0.571,3,0,1,1,0,0,0,1,1.429,0.571,2.0
Erick Aybar,ANA,7,3,0.429,1,0,0,1,0,0,0,0,0.571,0.429,1.0
David DeJesus,ANA,7,3,0.429,1,0,0,0,0,1,0,0,0.571,0.429,1.0
Aaron Hill,AZ,7,3,0.429,2,0,0,0,0,0,0,1,0.714,0.429,1.143
Aaron Miles, ,7,3,0.429,1,0,0,1,1,0,0,0,0.571,0.5,1.071
Lyle Overbay, ,7,3,0.429,1,0,0,0,1,0,0,0,0.571,0.5,1.071
Jose Tabata,LA,7,3,0.429,1,0,0,0,0,2,1,0,0.571,0.429,1.0
Alex Avila,DET,7,2,0.286,0,0,0,0,0,2,0,0,0.286,0.286,0.571
Casey Blake, ,7,2,0.286,1,0,0,1,0,2,0,0,0.429,0.286,0.714
Ryan Braun,MIL,7,2,0.286,1,0,1,1,0,1,0,0,0.857,0.286,1.143
Josh Donaldson,TOR,7,2,0.286,1,0,0,0,1,1,0,0,0.429,0.375,0.804
A.J. Ellis,LA,7,2,0.286,0,0,0,0,0,3,0,0,0.286,0.444,0.73
Curtis Granderson,NY-N,7,2,0.286,0,0,0,0,0,2,0,0,0.286,0.286,0.571
Jason Kipnis,CLE,7,2,0.286,1,0,0,0,0,2,0,0,0.429,0.286,0.714
Russell Martin,TOR,7,2,0.286,0,0,0,1,1,1,0,0,0.286,0.375,0.661
Casey McGehee,MIA,7,2,0.286,1,0,0,0,0,2,0,0,0.429,0.286,0.714
Miguel Montero,CHI-N,7,2,0.286,0,0,1,3,0,2,0,0,0.714,0.286,1.0
Brandon Moss,STL,7,2,0.286,0,0,0,0,0,3,0,0,0.286,0.286,0.571
Daniel Nava,BOS,7,2,0.286,1,0,0,0,4,1,0,0,0.429,0.545,0.974
Jhonny Peralta,STL,7,2,0.286,1,0,0,1,0,2,0,0,0.429,0.286,0.714
Neil Walker,PIT,7,2,0.286,0,0,0,1,1,4,0,0,0.286,0.444,0.73
Lance Berkman, ,7,1,0.143,0,0,0,0,1,3,0,0,0.143,0.25,0.393
Jacoby Ellsbury,NY-A,7,1,0.143,0,0,0,0,0,1,0,0,0.143,0.143,0.286
Garrett Jones,NY-A,7,1,0.143,0,0,0,2,1,1,0,0,0.143,0.25,0.393
Will Middlebrooks,SD,7,1,0.143,1,0,0,0,0,3,0,0,0.286,0.25,0.536
Chris Stewart,PIT,7,1,0.143,0,0,0,0,0,1,0,0,0.143,0.143,0.286
Drew Stubbs,COL,7,1,0.143,0,0,0,0,1,3,0,0,0.143,0.333,0.476
Ichiro Suzuki,MIA,7,1,0.143,1,0,0,0,0,1,0,0,0.286,0.143,0.429
Miguel Cabrera,DET,7,0,0.0,0,0,0,0,0,4,0,0,0.0,0.0,0.0
Chase Headley,NY-A,7,0,0.0,0,0,0,1,0,3,0,0,0.0,0.0,0.0
David Murphy,ANA,7,0,0.0,0,0,0,0,2,1,0,0,0.0,0.222,0.222
Howie Kendrick,LA,6,4,0.667,0,0,0,1,0,0,0,0,0.667,0.667,1.333
Ronny Cedeno,AZ,6,3,0.5,1,0,0,1,1,1,0,0,0.667,0.571,1.238
Jed Lowrie,HOU,6,3,0.5,1,0,1,4,0,1,0,0,1.167,0.5,1.667
Jarrod Saltalamacchia,AZ,6,3,0.5,1,0,0,0,0,3,0,0,0.667,0.5,1.167
Rickie Weeks,SEA,6,3,0.5,0,1,0,2,1,1,0,0,0.833,0.571,1.405
Carlos Beltran,NY-A,6,2,0.333,1,0,0,2,1,0,0,0,0.5,0.429,0.929
Henry Blanco,AZ,6,2,0.333,0,0,0,0,1,0,0,0,0.333,0.429,0.762
Michael Bourn,CLE,6,2,0.333,0,0,0,0,1,1,0,0,0.333,0.429,0.762
Alcides Escobar,KC,6,2,0.333,0,0,0,1,0,1,0,0,0.333,0.286,0.619
Jonny Gomes,ATL,6,2,0.333,0,0,0,0,1,1,0,0,0.333,0.5,0.833
Victor Martinez,DET,6,2,0.333,0,0,0,0,0,0,0,0,0.333,0.333,0.667
A.J. Pierzynski,ATL,6,2,0.333,0,0,0,0,0,0,0,0,0.333,0.333,0.667
Albert Pujols,ANA,6,2,0.333,1,0,1,3,1,1,0,0,1.0,0.429,1.429
Edgar Renteria, ,6,2,0.333,0,0,0,0,0,0,0,0,0.333,0.333,0.667
Jose Reyes,COL,6,2,0.333,1,0,0,0,0,0,0,0,0.5,0.333,0.833
Juan Rivera, ,6,2,0.333,0,0,0,2,0,3,0,0,0.333,0.333,0.667
Nate Schierholtz, ,6,2,0.333,0,0,1,2,1,0,0,0,0.833,0.429,1.262
Asdrubal Cabrera,TB,6,1,0.167,0,0,0,0,2,3,0,0,0.167,0.375,0.542
