Batter,Team,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,K,AVG,OBP,SLG,OPS
Forrestt Allday,Low,2,0,2,0,0,0,0,0,0,1,0,1.0,1.0,1.0,2.0
Jake Romanski,Low,1,0,1,0,0,0,0,0,0,0,0,1.0,1.0,1.0,2.0
Williams Jerez,Low,2,1,1,1,0,0,0,0,0,0,1,0.5,0.5,1.0,1.5
Manuel Margot,Low,4,0,2,0,0,0,1,1,0,1,1,0.5,0.6,0.5,1.1
Jose Colorado,Low,3,1,1,1,0,0,1,0,0,0,1,0.333,0.333,0.667,1.0
Kevin Mager,Low,4,0,2,0,0,0,1,0,0,0,0,0.5,0.5,0.5,1.0
Nick Moore,Low,3,1,1,0,0,0,0,0,0,0,1,0.333,0.333,0.333,0.667
Carlos Asuaje,Low,5,0,1,0,0,0,0,1,0,0,1,0.2,0.2,0.2,0.4
Cleuluis Rondon,Low,3,0,0,0,0,0,0,0,0,1,1,0.0,0.25,0.0,0.25
Aaron King,Low,2,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0
David Sopilka,Low,1,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0
Deiner Lopez,Low,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Nathan Minnich,Low,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Miguel Rodriguez,Low,1,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0
Tzu-Wei Lin,Low,3,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0
Jantzen Witte,Low,2,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0
Reed Gragnani,Low,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Carson Blair,Low,0,0,0,0,0,0,0,0,0,1,0, ,1.0, , 
