Date,Opponent,Score,gs,min,off,def,reb,ast,to,a/to,stl,blk,pf,dq
Nov 1,La Verne,"W, 74-50",1,18,3,4,7,1,1,1.0,1,0,2,0
Nov 9,at LSU,"L, 77-63",1,21,4,2,6,0,4,0.0,1,2,4,0
Nov 12,at Illinois St.,"L, 100-72",1,28,6,7,13,0,3,0.0,3,4,4,0
Nov 17,The Master's College,"W, 80-60",1,26,6,6,12,0,2,0.0,0,3,1,0
Nov 21,San Diego,"W, 57-39",1,26,2,6,8,0,2,0.0,2,5,4,0
Nov 24,at Boise State,"L, 72-56",1,21,0,2,2,2,4,0.5,0,2,2,0
Nov 28,Wyoming,"L, 68-40",1,20,4,5,9,0,3,0.0,1,0,5,1
Dec 1,at Santa Clara,"W, 83-80",1,39,5,12,17,1,3,0.3,2,2,5,0
Dec 6,at San Diego State,"L, 84-70",1,27,3,3,6,0,2,0.0,0,0,5,0
Dec 15,San Diego Christian,"W, 87-60",1,28,5,7,12,2,1,2.0,1,3,1,0
Dec 18,at Cal,"L, 68-59",1,34,7,5,12,2,1,2.0,0,2,5,0
Dec 21,at Wyoming,"L, 56-40",1,31,3,7,10,0,2,0.0,0,0,1,0
Dec 29,at Cal State Fullerton,"L, 86-79",1,36,8,8,16,3,5,0.6,0,1,4,0
Jan 3,UC Irvine,"W, 74-71",1,35,3,7,10,2,1,2.0,1,5,2,0
Jan 5,Long Beach State,"L, 77-70",1,24,2,6,8,1,6,0.2,0,2,4,0
Jan 10,at Pacific,"L, 80-62",1,33,2,10,12,1,1,1.0,1,3,3,0
Jan 12,at UC Davis,"W, 66-59",1,32,5,6,11,0,3,0.0,2,4,1,0
Jan 19,Cal Poly,"W, 83-81",1,12,2,3,5,0,1,0.0,1,2,2,0
Jan 24,Cal State Northridge,"L, 75-69",-,-,-,-,-,-,-,-,-,-,-,-
Jan 26,Hawai'i,"L, 78-73",-,-,-,-,-,-,-,-,-,-,-,-
Jan 30,at Long Beach State,"L, 57-55",-,-,-,-,-,-,-,-,-,-,-,-
Feb 2,at UC Irvine,"L, 62-60",1,24,5,3,8,0,2,0.0,3,1,5,1
Feb 7,UC Davis,"L, 64-56",1,27,4,9,13,0,4,0.0,1,1,3,0
Feb 9,Pacific,"W, 66-53",1,8,4,3,7,0,1,0.0,0,0,1,0
Feb 16,at Cal Poly,"L, 67-49",1,33,4,13,17,0,2,0.0,1,4,2,0
Feb 20,at UC Riverside,"L, 54-45",1,35,8,4,12,2,4,0.5,2,1,4,0
Feb 23,Sacramento State,"L, 51-50",1,30,3,8,11,1,2,0.5,2,5,4,0
Feb 28,at Hawai'i,"L, 70-66",1,34,2,7,9,3,1,3.0,3,2,2,0
Mar 2,at Cal State Northridge,"W, 83-74",1,35,7,9,16,3,2,1.5,1,3,2,0
Mar 7,Cal State Fullerton,"W, 66-50",1,31,4,10,14,1,2,0.5,1,2,4,0
Mar 9,UC Riverside,"W, 56-46",1,34,4,10,14,0,0,-,0,5,5,1
Mar 14,vs. Pacific,"L, 71-68",1,29,2,8,10,0,2,0.0,0,0,5,1
