TOV%,eFG%,G,Opp,BLK%,MP,TS%,ORtg,Rk
50.0,.000,52,LAC,8.2,9:57,.000,0,52
0.0,.750,49,MIN,0.0,12:04,.717,156,49
34.0,.000,3,CLE,0.0,14:45,.258,36,3
33.3,1.000,42,GSW,0.0,7:42,1.000,118,42
20.5,1.000,46,HOU,9.7,8:21,1.031,150,46
0.0,.500,24,WAS,0.0,16:28,.500,123,24
0.0,.500,16,HOU,0.0,12:08,.500,115,16
0.0,1.000,30,NYK,0.0,6:21,.904,182,30
0.0,.667,21,UTA,0.0,17:15,.667,138,21
0.0,1.000,7,NOK,0.0,3:57,1.000,200,7
0.0,.500,1,IND,0.0,7:24,.500,131,1
 , ,9,ORL,10.1,6:58, ,203,9
0.0, ,34,ATL,0.0,13:43,1.136,240,34
30.7,.400,40,NYK,2.9,26:17,.592,88,40
0.0,.000,43,MIA,0.0,16:20,.174,42,43
34.7,.000,8,SAS,0.0,7:25,.266,55,8
20.5,.667,14,WAS,8.5,7:59,.644,117,14
37.5,.600,60,SAC,4.2,20:48,.600,99,60
10.2,.571,73,MIA,0.0,21:17,.685,141,73
11.8,.429,51,TOR,0.0,14:41,.470,93,51
0.0,.400,67,ATL,4.8,13:57,.518,107,67
7.0,.500,57,PHO,3.1,36:40,.488,108,57
0.0,.333,58,MEM,3.7,21:55,.410,94,58
 , ,71,WAS,0.0,4:13, , ,71
0.0,.667,23,DAL,0.0,21:32,.667,159,23
40.0,.667,12,DET,12.1,12:21,.667,85,12
0.0,.667,32,MIL,0.0,13:44,.769,175,32
0.0,.000,17,PHO,0.0,11:02,.000,18,17
0.0,.000,19,ORL,0.0,3:32,.000,64,19
0.0,.333,69,TOR,0.0,6:22,.333,69,69
0.0,.750,39,DEN,0.0,14:51,.750,155,39
32.3,1.000,2,MEM,5.8,12:49,.952,120,2
40.0,.667,22,CHI,0.0,10:29,.667,92,22
20.0,.000,4,BOS,0.0,12:10,.000,23,4
0.0,.000,37,LAL,0.0,9:22,.000,0,37
100.0, ,50,PHI,0.0,8:00, ,0,50
8.8,.500,66,NJN,0.0,36:32,.673,141,66
20.5,.333,53,SAC,6.7,15:51,.515,109,53
8.1,.429,62,MIL,0.0,25:14,.439,102,62
0.0,.500,63,CLE,2.5,29:03,.500,140,63
0.0,.250,41,CLE,0.0,18:08,.250,64,41
0.0,.500,48,NOK,9.0,7:35,.521,105,48
0.0,1.000,10,DAL,0.0,11:19,1.000,201,10
