ORB%,STL%,G,GmSc,Date
100.0,0.0,5,4.3,1989-11-21
31.6,6.0,25,9.2,1990-01-20
0.0,0.0,35,-0.2,1990-02-15
7.0,0.0,47,-2.2,1990-03-12
17.6,2.6,54,2.2,1990-03-26
11.9,0.0,65,0.4,1990-04-18
13.6,0.0,63,5.7,1990-04-14
0.0,0.0,4,0.3,1989-11-18
0.0,0.0,19,-1.1,1990-01-09
12.0,3.2,33,0.0,1990-02-07
42.1,0.0,16,1.3,1989-12-30
8.8,0.0,31,1.6,1990-02-02
0.0,4.6,26,-1.3,1990-01-25
12.6,1.6,62,10.5,1990-04-11
10.3,3.6,66,7.5,1990-04-21
0.0,0.0,7,-0.3,1989-11-26
25.0,0.0,9,-0.3,1989-12-05
0.0,0.0,8,2.0,1989-11-28
26.2,0.0,38,8.2,1990-02-21
21.3,0.0,41,2.4,1990-03-02
10.3,0.0,44,-1.8,1990-03-07
10.0,0.0,59,2.2,1990-04-06
12.3,1.5,34,7.1,1990-02-14
0.0,0.0,36,-0.5,1990-02-17
