Date,STL%,eFG%,Tm,DRB%,ORB%
1985-10-29,2.3,.429,GSW,4.7,0.0
1985-11-16,0.0, ,GSW,0.0,0.0
1986-01-15,3.9,.429,GSW,0.0,0.0
1985-10-31,6.3,.667,GSW,10.7,0.0
1986-04-01,0.0,1.000,GSW,5.9,0.0
1986-04-12,3.5,.400,GSW,12.7,6.6
1986-03-08,3.0,.750,GSW,12.8,0.0
1985-11-02,0.0,.500,GSW,0.0,0.0
1986-04-11,0.0,.625,GSW,0.0,9.8
1986-03-27,3.0,1.000,GSW,8.1,0.0
1986-03-25,0.0,.750,GSW,0.0,0.0
1985-10-27,0.0,.000,GSW,0.0,0.0
1986-03-20,0.0,.000,GSW,7.3,0.0
1985-11-14,0.0,.750,GSW,0.0,0.0
1986-01-02,3.5,.333,GSW,8.0,0.0
1986-01-21,5.2,.600,GSW,0.0,0.0
1986-03-16,4.1,.333,GSW,0.0,5.3
1985-12-02,3.0,1.000,GSW,5.8,0.0
1986-03-12,0.0,.667,GSW,0.0,0.0
1986-02-23,2.3, ,GSW,0.0,0.0
1986-04-02,2.6,.625,GSW,0.0,0.0
1986-01-22,0.0,.600,GSW,0.0,0.0
1986-01-30,11.1,.333,GSW,0.0,0.0
1986-01-19,0.0, ,GSW,7.0,0.0
1985-11-12,2.9,.000,GSW,0.0,0.0
1986-01-17,0.0,.800,GSW,0.0,0.0
1985-12-11,0.0,.500,GSW,0.0,0.0
1985-11-08,0.0,.667,GSW,0.0,0.0
1986-03-10,3.2,.000,GSW,6.8,0.0
1985-12-05,0.0,1.000,GSW,7.3,0.0
1986-03-29,0.0, ,GSW,7.6,0.0
1985-12-29,0.0, ,GSW,0.0,0.0
1986-01-11,0.0,.167,GSW,10.8,0.0
1985-12-07,0.0,.000,GSW,0.0,0.0
1986-01-24,2.7,.667,GSW,0.0,0.0
1986-01-13,0.0,.000,GSW,0.0,0.0
1986-02-13,0.0,.000,GSW,0.0,0.0
1985-11-10,0.0,1.000,GSW,0.0,0.0
1986-03-06,0.0,.000,GSW,0.0,0.0
1986-02-27,0.0,.500,GSW,7.1,0.0
1985-11-23,0.0,.500,GSW,0.0,0.0
1985-12-18,0.0, ,GSW,0.0,0.0
1986-03-23,0.0,.333,GSW,6.3,0.0
1986-01-10,2.3,.500,GSW,19.9,0.0
1985-11-30,0.0,.000,GSW,9.3,0.0
