Batter,Team,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,K,AVG,OBP,SLG,OPS
Tony Thomas,PawPor,168,21,40,11,5,3,28,6,0,10,46,0.238,0.286,0.417,0.702
Xander Bogaerts,PawPor,141,24,46,5,4,5,27,0,1,26,29,0.326,0.441,0.525,0.966
Mookie Betts,SalGre,152,24,43,11,3,5,25,11,1,26,19,0.283,0.391,0.493,0.884
Henry Ramos,Sal,155,22,38,8,3,4,16,7,3,19,37,0.245,0.328,0.413,0.741
Raymel Flores,GCL,57,6,12,3,3,0,4,1,1,6,22,0.211,0.281,0.368,0.65
Garin Cecchini,PorSal,153,29,53,11,2,3,16,9,5,31,30,0.346,0.466,0.503,0.969
Peter Hissey,Por,81,18,24,6,2,2,10,6,1,8,12,0.296,0.363,0.494,0.856
Drew Turocy,Gre,106,11,33,11,2,0,6,1,2,5,24,0.311,0.342,0.453,0.795
Keaton Briscoe,Gre,67,10,19,3,2,1,8,2,0,7,19,0.284,0.36,0.433,0.793
Blake Swihart,Sal,136,10,38,12,2,1,15,2,5,13,21,0.279,0.342,0.419,0.761
Kevin Heller,3 Teams,51,4,13,1,2,0,4,2,0,6,11,0.255,0.345,0.353,0.698
Aneury Tavarez,Gre,191,26,49,8,2,4,16,8,5,6,57,0.257,0.286,0.382,0.669
Heiker Meneses,PawPor,126,13,32,6,2,0,14,4,2,10,29,0.254,0.329,0.333,0.662
Jeremy Hazelbaker,Paw,157,25,38,4,2,4,19,12,4,10,49,0.242,0.286,0.369,0.655
Luis Alejandro Basabe,DSL,51,5,9,3,2,0,4,1,1,9,15,0.176,0.323,0.314,0.636
Matty Johnson,3 Teams,94,13,18,2,2,0,5,5,5,9,18,0.191,0.262,0.255,0.517
Franklin Guzman,DSL,87,8,18,1,2,0,4,4,2,3,15,0.207,0.247,0.264,0.512
Kevin Mager,GreLow,95,17,28,10,1,2,17,3,0,20,20,0.295,0.427,0.484,0.912
Kendrick Perkins,GreLow,84,13,26,11,1,2,11,3,3,7,24,0.31,0.37,0.536,0.905
Nathan Minnich,LowGCL,48,6,13,5,1,0,3,0,1,7,14,0.271,0.379,0.417,0.796
Aaron King,LowGCL,77,11,18,4,1,2,9,2,0,13,30,0.234,0.344,0.39,0.734
J.C. Linares,PawPor,136,19,35,12,1,2,16,0,0,10,33,0.257,0.32,0.404,0.724
Keury De La Cruz,Sal,175,17,50,11,1,2,26,10,6,7,37,0.286,0.312,0.394,0.706
Jonathan Diaz,Paw,116,18,31,6,1,0,13,5,2,16,21,0.267,0.353,0.336,0.69
Mike Meyers,LowGCL,28,8,7,1,1,0,3,1,1,4,9,0.25,0.333,0.357,0.69
