ORB%,TS%,eFG%,AST%,TRB%,USG%,DRB%
0.0,.750,.750,0.0,0.0,16.2,0.0
7.3,.333,.333,0.0,15.4,18.4,24.5
14.6,.500,.500,0.0,11.1,13.4,7.5
0.0, , ,0.0,0.0,11.2,0.0
16.7,.375,.375,0.0,15.0,27.3,13.6
0.0,.667,.667,26.1,15.0,22.7,30.8
13.2,.333,.333,0.0,12.6,29.7,12.1
0.0, , ,0.0,0.0,0.0,0.0
0.0,.872,.833,0.0,0.0,18.0,0.0
24.5,.000,.000,0.0,15.0,22.4,0.0
20.0,.694,.500,0.0,19.5,22.6,19.0
0.0,.000,.000,0.0,0.0,46.3,0.0
34.3,.500,.500,0.0,32.4,22.2,30.8
0.0,1.000,1.000,0.0,12.8,28.8,25.3
0.0,1.000,1.000,0.0,6.1,4.3,11.5
0.0, , ,0.0,0.0,0.0,0.0
0.0,.347,.000,0.0,9.5,26.2,20.9
0.0,1.000,1.000,39.3,0.0,18.9,0.0
8.0,.170,.000,26.7,7.6,20.1,7.3
12.0,.508,.429,7.8,13.6,19.5,15.8
0.0,.500,.500,0.0,9.0,12.2,16.7
