Opponent,sh,cs,hr,avg,k,Date,3b,po
Maryland Eastern Sho,2,1,0,0.301,3,"Mar 31, 2010",1,27
Massachusetts,0,1,2,0.306,14,"Apr 30, 2010",0,27
North Carolina,1,0,0,0.219,10,"Feb 20, 2010",0,24
GEORGETOWN,0,1,1,0.307,6,"Apr 14, 2010",1,27
Dayton,0,0,1,0.311,12,"Apr 10, 2010",0,24
North Carolina,5,1,0,0.212,6,"Feb 19, 2010",0,29
CHARLOTTE,1,0,1,0.31,7,"Apr 25, 2010",0,27
ST. BONAVENTURE,1,0,2,0.314,9,"Apr 03, 2010",1,27
DUQUESNE,0,0,4,0.3,7,"Mar 27, 2010",0,27
MD Baltimore County,1,0,2,0.314,1,"Apr 22, 2010",0,27
Massachusetts,2,1,0,0.303,5,"May 01, 2010",0,24
Georgetown,0,2,1,0.302,4,"Mar 21, 2010",0,26
USC Upstate,1,0,1,0.268,4,"Mar 06, 2010",1,27
Rhode Island,0,0,3,0.307,5,"May 21, 2010",0,27
COPPIN STATE,0,0,2,0.259,9,"Feb 26, 2010",0,27
Richmond,2,1,0,0.314,7,"Apr 18, 2010",0,27
TOWSON,1,2,1,0.309,8,"Apr 13, 2010",0,27
 ,45,32,67,0.304,364,Totals,8,1412
GEORGE MASON,0,1,1,0.312,10,"Apr 07, 2010",0,27
Richmond,2,0,2,0.308,5,"Apr 16, 2010",0,27
Dayton,3,0,1,0.31,7,"Apr 11, 2010",0,27
Massachusetts,0,0,2,0.305,9,"May 02, 2010",0,24
FORDHAM,0,0,5,0.307,6,"May 15, 2010",0,27
Dayton,1,1,0,0.313,6,"Apr 9, 2010",0,24
William & Mary,0,0,0,0.309,12,"Apr 28, 2010",0,30
Richmond,0,0,3,0.309,11,"Apr 17, 2010",0,24
FORDHAM,1,0,1,0.31,4,"May 16, 2010",2,27
CHARLOTTE,0,1,2,0.312,5,"Apr 23, 2010",0,27
FORDHAM,1,1,1,0.308,8,"May 14, 2010",0,27
Rhode Island,0,0,0,0.306,7,"May 20, 2010",0,24
Temple,1,0,1,0.309,6,"May 08, 2010",0,27
Virginia,0,0,0,0.225,6,"Feb 24, 2010",0,24
USC Upstate,2,0,1,0.29,6,"Mar 07, 2010",0,27
