Name,Pos,Salary,Per%,Mid%,Pnt%,Def Rtg,PG Eff%,SG Eff%,SF Eff%,PF Eff%,C Eff%
72-73 Austin Carr,SG,"$6,196,147",9,67,24,52,98,100,100,88,76
72-73 Lenny Wilkens,PG,"$6,538,955",17,52,31,56,100,100,90,70,60
72-73 John Johnson,SF,"$5,555,612",9,56,34,61,96,99,100,100,92
72-73 Dwight Davis,PF,"$3,735,895",11,55,34,49,70,83,100,100,100
72-73 Rick Roberson,C,"$4,090,636",0,41,58,54,60,70,91,100,100
72-73 Jim Cleamons,PG,"$2,344,369",18,47,35,60,100,100,96,74,60
72-73 Cornell Warner,C,"$2,341,897",7,48,46,49,60,70,88,100,100
72-73 Barry Clemens,SF,"$2,015,659",14,49,36,49,96,100,100,100,91
72-73 Bobby Smith,SG,"$1,946,646",11,64,25,59,100,100,100,88,75
72-73 Steve Patterson,C,"$936,476",6,42,52,35,63,70,91,100,100
72-73 Bob Rule,C,"$497,574",14,49,37,19,68,74,95,100,100
72-73 John Warren,SG,"$424,116",35,39,26,46,100,100,97,81,70
