SB,G,Player,H
0,11,D DeGeorge,7
2,88,J Bloxom,83
0,38,J Bour,22
0,8,J Smit,5
3,74,C Burnette,57
0,1,K Kiker,0
0,2,D Dominguez,1
25,132,D Wagner,123
3,53,G Rosa,38
8,63,M Machado,58
0,3,S Starr,1
16,88,F Soriano,65
7,113,N Ciolli,99
1,63,L Sierra,47
3,77,J Julius,41
1,31,J Aguilar,29
1,65,D Paisano,59
19,91,A Abreu,82
13,111,T Ferguson,84
6,87,K Schutz,65
1,71,T Adair,85
0,1,M Rayl,0
4,41,L Hoes,38
0,1,A Russell,0
10,61,N Van Stratten,62
1,21,S King,18
2,131,J Terdoslavich,138
4,94,J Bolden,94
0,11,G Folgia,6
14,67,A McClure,47
17,99,J Toole,85
0,8,S Caseres,3
18,100,C Testa,106
5,59,M Hilligoss,60
1,9,R Bermudez,6
3,115,S Chirino,111
7,56,R Rodriguez,64
0,92,T Cannon,76
8,99,J Lozada,80
0,1,T Hurley,0
0,1,P Guilmet,0
1,14,J Kang,7
1,26,M Wagner,23
0,10,R Rivas,5
0,8,A Ortiz,3
0,6,C Brownsten,4
0,1,C Bell,0
25,122,S Souza,89
0,5,J Mayo,2
5,130,A Abraham,115
7,127,C Frawley,100
3,85,J Ramirez,69
0,1,C Jones,0
0,1,E Cardenas,0
1,62,A Yount,40
4,5,A Frost,3
1,109,S Leon,93
0,22,A Donachie,15
4,91,D Butler,77
