Player,Team,Opponent,Score,H/AB,HR,R,RBI,BB,TB,SB
Kendrys Morales,SEA,@ TEX,9-2 W,3/5,2,2,6,0,9,0
Desmond Jennings,TB,@ HOU,8-0 W,3/5,1,2,4,0,6,1
Colby Rasmus,TOR,vs DET,6-7 L,2/4,1,2,4,0,6,0
Derek Norris,OAK,vs CHC,8-7 W,2/3,1,2,3,1,5,0
Justin Upton,ATL,vs MIA,11-3 W,3/4,0,3,1,1,5,0
Chris Johnson,ATL,vs MIA,11-3 W,3/4,0,2,2,0,5,0
Yasiel Puig,LAD,@ COL,8-0 W,3/5,1,2,1,0,7,0
Martin Prado,ARI,@ NYM,1-9 L,3/4,1,1,1,0,7,0
Alex Gordon,KC,vs CLE,5-6 L,2/4,1,1,4,0,5,0
Robinson Cano,NYY,@ MIN,7-3 W,2/4,1,1,3,0,5,0
Josh Donaldson,OAK,vs CHC,8-7 W,2/4,1,2,2,0,5,0
Torii Hunter,DET,@ TOR,7-6 W,4/5,0,1,1,0,4,1
Conor Gillaspie,CHW,vs BAL,5-2 W,2/3,1,2,1,1,5,0
Alberto Gonzalez,NYY,@ MIN,7-3 W,2/4,0,2,3,0,3,0
Anthony Recker,NYM,vs ARI,9-1 W,2/4,1,1,2,0,5,0
Logan Morrison,MIA,@ ATL,3-11 L,2/4,1,1,2,0,5,0
Brian McCann,ATL,vs MIA,11-3 W,3/5,0,1,2,0,4,0
Adrian Gonzalez,LAD,@ COL,8-0 W,2/5,1,1,2,0,5,0
Jesus Guzman,SD,@ BOS,1-4 L,2/4,1,1,1,0,6,0
Miguel Cabrera,DET,@ TOR,7-6 W,1/3,1,1,3,2,4,0
Andrelton Simmons,ATL,vs MIA,11-3 W,2/5,0,1,2,0,4,0
Alfonso Soriano,CHC,@ OAK,7-8 L,1/4,1,1,3,0,4,0
A.J. Ellis,LAD,@ COL,8-0 W,2/3,0,2,0,2,4,0
Raul Ibanez,SEA,@ TEX,9-2 W,1/3,1,2,1,2,4,0
Freddie Freeman,ATL,vs MIA,11-3 W,2/4,0,2,1,0,3,0
Jose Bautista,TOR,vs DET,6-7 L,2/2,0,2,1,2,2,0
Dioner Navarro,CHC,@ OAK,7-8 L,3/4,0,1,0,0,4,0
Brandon Phillips,CIN,vs SF,3-0 W,1/3,1,1,2,1,4,0
Omar Quintanilla,NYM,vs ARI,9-1 W,2/4,0,1,3,0,2,0
Adam Dunn,CHW,vs BAL,5-2 W,1/4,1,1,2,0,4,0
