GS,eFG%,AST%,DRtg,G,TS%,Opp,GmSc,MP
0,1.000,0.0,117,47,1.000,GSW,4.1,4:00
0,.400,11.1,106,71,.400,PHO,3.8,13:00
0,1.000,0.0,130,21,1.031,POR,8.4,9:00
0, ,0.0,108,52, ,LAL,0.0,5:00
0, ,0.0,109,59, ,SAS,0.7,6:00
1,1.000,0.0,117,26,1.000,DEN,5.7,10:00
0,.500,0.0,96,19,.500,LAC,-0.1,4:00
0,1.000,0.0,132,48,1.064,DAL,4.0,9:00
0, ,9.5,120,63, ,CHI,0.6,13:00
1,.750,12.9,113,6,.750,HOU,7.1,12:00
0,.000,0.0,122,3,.532,DAL,0.9,8:00
0, ,0.0,114,13, ,NYK,-1.5,16:00
1, ,6.4,115,29, ,PHI,1.5,17:00
1,.000,0.0,113,30,.000,POR,2.5,12:00
0,.000,0.0,138,12,.532,IND,1.3,8:00
0, ,0.0,133,45, ,POR,-1.0,4:00
0,1.000,0.0,109,54,1.000,GSW,3.2,12:00
1,.000,0.0,118,43,.000,UTA,-0.1,13:00
0,1.000,0.0,77,66,1.000,LAL,3.7,4:00
1,1.000,0.0,111,7,1.000,POR,1.9,10:00
1,.500,6.8,108,40,.347,SAC,3.0,34:00
0, ,0.0,113,55, ,SAC,-1.2,8:00
0, ,0.0,112,14, ,CLE,0.4,9:00
0, ,0.0,136,51, ,SAC,-1.0,2:00
0,.000,0.0,101,56,.000,NJN,-0.2,10:00
0,1.000,0.0,122,15,1.000,PHI,1.4,5:00
0,.000,27.4,113,57,.000,PHO,0.3,5:00
1, ,0.0,107,25, ,PHO,-1.2,10:00
0,.500,0.0,76,17,.500,CLE,3.0,4:00
0,.667,0.0,111,39,.667,LAL,3.6,11:00
1,.000,0.0,92,35,.377,UTA,4.8,12:00
1, ,0.0,101,9, ,WSB,0.3,4:00
0, ,0.0,87,53, ,UTA,0.9,4:00
0,1.000,0.0,113,67,1.000,POR,-0.8,10:00
1,.500,0.0,113,5,.500,DAL,3.5,14:00
0,1.000,0.0,119,49,1.000,MIL,1.9,5:00
0,.500,0.0,134,72,.500,DEN,1.3,6:00
1, ,0.0,108,28, ,BOS,0.6,9:00
0, ,0.0,101,16,.568,WSB,1.3,15:00
0, ,0.0,101,50, ,DET,0.3,2:00
0,.000,13.3,105,68,.000,HOU,-0.6,9:00
