Batter,Team,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,K,AVG,OBP,SLG,OPS
Shane Victorino,Paw,3,1,2,0,0,1,1,0,0,0,1,0.667,0.667,1.667,2.333
Mike Miller,Gre,36,8,14,6,0,0,2,2,1,4,3,0.389,0.476,0.556,1.032
Alex Hassan,PawGre,140,19,48,7,0,1,23,0,1,31,37,0.343,0.462,0.414,0.876
Garin Cecchini,PorSal,327,61,105,22,6,6,47,16,7,77,58,0.321,0.451,0.48,0.931
Mitch Maier,Paw,76,23,24,4,0,2,14,3,1,17,16,0.316,0.441,0.447,0.888
Mookie Betts,SalGre,352,81,119,31,3,12,56,31,2,62,46,0.338,0.436,0.545,0.982
Stefan Welch,Sal,214,38,66,16,0,8,38,2,2,36,54,0.308,0.421,0.495,0.916
Forrestt Allday,Low,84,11,24,2,1,0,10,5,1,16,14,0.286,0.412,0.333,0.745
Anthony Amaya,DSL,17,2,5,1,0,0,2,1,0,2,2,0.294,0.4,0.353,0.753
Jon Denney,GCL,48,6,10,3,0,0,2,1,0,12,21,0.208,0.397,0.271,0.668
Bryan Hudson,GCL,101,13,28,4,0,0,7,5,1,17,35,0.277,0.387,0.317,0.703
Stephen Drew,Por,10,1,3,1,0,1,3,0,0,2,0,0.3,0.385,0.7,1.085
Carson Blair,SalLow,104,20,28,8,2,4,12,1,0,19,29,0.269,0.384,0.5,0.884
Carlos Asuaje,Low,118,12,33,7,1,1,15,5,2,21,23,0.28,0.383,0.381,0.764
Xander Bogaerts,PawPor,320,56,96,14,4,12,54,6,2,39,70,0.3,0.382,0.481,0.863
Mark Hamilton,PawGCL,222,38,60,18,0,8,39,1,0,40,58,0.27,0.382,0.459,0.841
Javier Guerra,DSL,167,21,46,7,0,0,19,6,4,26,28,0.275,0.378,0.317,0.695
Quintin Berry,Paw,6,1,1,0,0,0,0,2,0,1,1,0.167,0.375,0.167,0.542
Isaias Lucena,DSL,73,11,17,4,1,0,12,3,1,15,15,0.233,0.374,0.315,0.689
Manuel Margot,Low,131,21,37,4,2,0,14,11,8,19,29,0.282,0.373,0.344,0.716
Drew Turocy,Gre,205,30,64,22,5,0,18,5,2,17,39,0.312,0.371,0.468,0.839
Luis Alexander Basabe,DSL,167,38,35,8,2,0,15,14,4,37,45,0.21,0.37,0.281,0.651
Jackie Bradley Jr.,Paw,219,42,61,18,1,10,27,6,4,27,55,0.279,0.369,0.507,0.876
Ricardo Andujar,DSL,91,13,22,5,0,0,12,4,4,16,15,0.242,0.364,0.297,0.66
Christian Vazquez,PawPor,243,28,66,13,1,2,29,3,3,33,32,0.272,0.363,0.358,0.721
