sa/s,e,pts,s,pct,ta,pts/s
0.32,5,61.5,77,0.247,97,0.8
0.43,16,99.5,72,0.321,137,1.4
0.22,4,39.5,113,0.242,33,0.3
0.06,30,164.0,85,0.335,284,1.9
0.33,101,278.0,127,0.168,755,2.2
0.0,64,154.0,106,0.173,452,1.5
0.45,28,74.0,114,-0.027,185,0.6
0.19,15,26.0,111,-0.175,63,0.2
0.32,4,37.5,95,0.097,31,0.4
0.28,47,136.5,121,0.183,295,1.1
0.48,162,372.5,122,0.145,973,3.1
0.19,119,313.5,99,0.19,827,3.2
0.44,18,82.0,110,0.102,118,0.7
0.37,50,169.0,86,0.208,400,2.0
0.06,44,179.5,81,0.332,289,2.2
0.14,24,58.0,128,0.081,172,0.5
0.15,40,75.0,119,0.004,224,0.6
0.07,74,201.0,119,0.201,503,1.7
0.16,5,25.5,141,-0.3,10,0.2
0.27,60,337.5,130,0.316,618,2.6
0.09,104,381.0,137,0.216,1129,2.8
0.38,9,57.5,108,0.104,67,0.5
0.32,104,346.0,124,0.245,636,2.8
0.21,140,167.5,120,-0.012,590,1.4
0.0,70,128.0,96,0.084,347,1.3
0.02,39,178.5,113,0.215,554,1.6
0.13,95,225.5,92,0.166,682,2.5
