RPG,Team,3PM,BPG,FGM,3PA,PPG
3.7,TU,1.2,0.3,2.4,3.5,7.1
1.9,TU,0.6,0.1,1.7,1.8,4.6
1.8,TU,1.1,0.1,3.3,3.4,9.2
0.0,TU,0.0,0.0,0.0,0.0,0.0
0.2,TU,0.1,0.0,0.3,0.4,0.6
0.9,TU,0.2,0.0,0.7,1.3,1.8
3.2,TU,1.5,0.2,3.8,4.3,10.4
2.6,TU,0.3,0.2,2.3,1.7,6.0
1.9,TU,0.8,0.1,2.3,2.9,7.3
5.2,TU,1.2,0.8,4.0,3.9,11.7
0.2,TU,0.0,0.0,0.1,0.1,0.2
3.4,TU,0.1,0.3,2.5,0.4,6.2
2.7,TU,1.1,0.1,2.1,3.4,6.4
1.2,TU,0.3,0.1,0.7,1.3,1.9
4.2,TU,0.0,0.9,1.4,0.0,3.4
1.1,TU,0.3,0.0,0.4,1.1,1.2
4.8,TU,0.0,0.9,1.9,0.1,5.4
4.5,TU,0.4,0.2,2.5,1.8,7.0
1.9,TU,1.9,0.1,2.8,4.7,10.5
0.3,TU,0.2,0.0,0.4,1.0,1.4
3.0,TU,0.0,0.5,1.4,0.1,3.6
1.8,TU,0.6,0.0,1.8,2.4,4.9
2.5,TU,0.4,0.2,2.5,1.8,7.3
2.3,TU,0.9,0.1,1.6,2.6,4.6
1.6,TU,0.5,0.0,1.3,2.0,3.6
3.8,TU,0.6,0.3,3.2,1.9,9.3
7.3,TU,0.0,1.2,2.9,0.1,6.9
2.3,TU,0.5,0.2,1.7,1.6,5.1
1.9,TU,0.6,0.2,1.6,2.5,4.7
7.9,TU,0.0,1.3,4.3,0.0,12.0
6.8,TU,0.0,1.9,2.6,0.0,7.1
2.2,TU,0.5,0.1,1.4,1.6,3.7
