#,Player,Status,Pos,Min,FGM-A,3PM-A,FTM-A,FIC,Off,Def,Reb,Ast,PF,STL,TO,BLK,PTS
42.0,Elton Brand,Starter,C,23:51,3-8,0-0,2-2,7.0,1.0,5.0,6.0,1.0,2.0,1.0,1.0,1.0,8.0
4.0,Darren Collison,Starter,PG,21:59,3-7,1-1,0-0,5.2,1.0,4.0,5.0,2.0,3.0,0.0,1.0,0.0,7.0
9.0,Jae Crowder,Starter,PF,34:15,10-19,1-6,0-0,17.5,0.0,9.0,9.0,3.0,2.0,2.0,0.0,0.0,21.0
30.0,Dahntay Jones,Starter,SF,28:03,1-7,0-3,3-3,4.1,0.0,2.0,2.0,3.0,0.0,2.0,1.0,0.0,5.0
32.0,O.J. Mayo,Starter,SG,26:01,4-9,1-2,0-1,1.4,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,9.0
3.0,Rodrigue Beaubois,Bench,PG,12:07,1-2,0-0,0-0,3.2,0.0,1.0,1.0,3.0,0.0,0.0,1.0,0.0,2.0
1.0,Jared Cunningham,Bench,SG,12:00,0-5,0-1,0-0,-3.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,Bernard James,Bench,PF,21:59,2-6,0-0,1-4,8.0,5.0,2.0,7.0,0.0,1.0,3.0,2.0,2.0,5.0
20.0,Dominique Jones,Bench,PG,21:32,3-11,0-2,0-0,2.2,1.0,4.0,5.0,4.0,1.0,0.0,3.0,0.0,6.0
13.0,Delonte West,Bench,SG,20:36,1-3,0-1,0-2,-0.5,0.0,0.0,0.0,1.0,1.0,2.0,3.0,1.0,2.0
34.0,Brandan Wright,Bench,PF,17:37,3-6,0-0,5-6,10.2,1.0,4.0,5.0,0.0,0.0,1.0,0.0,1.0,11.0
 ,Team, , , , , , , , , ,13.0, , , ,2.0, , 
 , , , ,240,31-83,3-16,11-18,54.8,9.0,31.0,53.0,18.0,11.0,12.0,16.0,5.0,76.0
 , , , , ,37.3%,18.8%,61.1%, , , , , , , , , , 
