GIDP,SH,SLG,POS,OBP,3B,R,AB
26,3,.461,RF,.340,2,44,395
13,8,.415,2B,.404,0,65,402
0,0,--,P,--,0,0,0
0,0,--,P,--,0,0,0
12,1,.504,1B,.422,0,34,244
7,8,.553,CF,.435,5,54,257
12,0,.669,CF,.461,3,96,387
16,3,.391,3B,.350,3,55,335
0,4,.350,OF,.299,1,16,120
7,6,.407,3B,.400,2,65,364
6,2,.462,3B,.400,1,42,236
0,0,--,P,--,0,0,0
8,10,.408,SS,.354,1,35,240
11,2,.478,1B,.391,0,44,291
3,0,.618,OF,.418,1,37,170
0,0,.000,P,.000,0,1,1
0,0,--,OF,--,0,0,0
0,0,--,P,--,0,0,0
1,0,.452,LF,.235,0,6,31
1,0,.288,2B,.333,0,5,73
6,1,.662,LF,.423,7,47,216
7,4,.330,2B,.319,0,27,188
4,10,.362,SS,.329,2,27,232
13,1,.641,C,.454,0,79,395
0,0,.239,LF,.283,0,8,46
13,4,.471,C,.412,0,54,367
5,0,.437,CF,.346,0,16,135
20,11,.377,CF,.349,1,62,419
5,3,.344,2B,.301,0,11,154
7,3,.401,2B,.331,1,19,162
15,0,.640,LF,.454,2,81,394
1,0,.309,C,.333,0,7,55
12,13,.352,SS,.324,6,46,358
5,1,.374,LF,.357,1,31,227
0,0,--,P,--,0,0,0
14,2,.576,3B,.398,4,88,399
7,4,.420,1B,.331,0,13,150
4,1,.364,DH,.322,0,14,132
4,0,.434,1B,.357,0,27,198
27,0,.486,DH,.368,2,56,393
5,4,.360,LF,.358,2,26,139
0,0,.000,P,.000,0,0,2
9,5,.525,2B,.362,2,69,381
16,3,.441,1B,.388,0,46,338
1,1,.302,3B,.197,0,5,63
0,1,.071,LF,.133,0,2,14
4,1,.396,SS,.309,0,6,53
1,2,.348,2B,.385,0,1,23
15,6,.368,CF,.310,2,37,380
6,5,.353,CF,.335,4,45,351
18,0,.520,DH,.400,0,66,394
11,7,.334,RF,.341,1,45,341
5,6,.485,2B,.444,2,47,196
0,0,.333,C,.333,0,0,3
17,0,.448,LF,.356,3,52,391
0,0,.000,CF,.000,0,0,2
6,5,.380,SS,.331,1,49,321
