TOV%,MP,DRtg,ORB%,STL%,GS,USG%
0.0,17:03,126,22.8,0.0,0,7.8
17.4,18:30,117,23.1,2.7,0,13.1
0.0,17:51,117,21.8,0.0,0,9.7
0.0,19:59,116,16.8,0.0,0,11.1
0.0,17:01,117,26.9,0.0,0,8.1
0.0,22:57,101,20.5,2.3,0,8.1
0.0,17:52,104,24.4,3.0,0,17.8
0.0,9:28,88,48.8,0.0,0,16.7
0.0,14:52,105,12.7,3.3,0,11.4
25.4,24:29,109,14.7,2.1,0,14.5
0.0,16:59,100,5.0,2.9,1,7.3
0.0,8:03,120,0.0,0.0,0,18.3
10.1,29:51,109,15.0,1.7,0,14.2
34.7,14:02,128,15.9,0.0,0,9.5
25.8,15:10,108,18.6,0.0,0,12.2
11.4,25:39,100,22.2,4.1,0,15.0
33.3,22:35,94,14.9,6.8,1,5.3
0.0,3:29,113,0.0,0.0,0,27.0
18.4,22:06,89,15.2,0.0,1,11.5
20.0,28:43,117,13.9,1.7,0,8.2
0.0,13:45,106,24.9,0.0,0,20.1
0.0,16:16,111,21.1,0.0,0,4.7
0.0,12:11,99,17.5,0.0,0,6.8
16.7,23:15,106,29.5,2.4,0,12.4
60.0,19:17,82,14.1,2.7,0,11.3
0.0,12:15,103,37.0,0.0,0,12.9
18.4,12:48,105,35.2,0.0,0,20.8
100.0,10:40,101,12.5,0.0,0,4.6
50.0,15:24,121,7.2,0.0,0,18.5
 ,13:55,121,8.4,0.0,0,0.0
