Age,WAA,Rdp,G,Rbat,Rpos,162WL%,PA
29,-1.3,-1,57,-11,-1,.492,155
29,0.1,-0,32,-7,8,.501,63
29,-0.0,0,20,-5,5,.500,36
28,-0.6,-0,67,-12,3,.496,199
27,0.0,0,2,0,0,.500,0
23,0.0,0,40,0,0,.500,0
32,0.0,0,49,0,0,.500,0
31,-1.9,0,139,-15,7,.488,618
28,0.7,1,121,-0,-4,.505,411
29,0.0,0,18,0,0,.500,0
23,-0.3,-0,31,-10,8,.498,63
24,-0.1,0,2,0,0,.499,9
27,-0.1,-0,20,-5,4,.499,32
25,0.0,0,10,0,0,.500,0
28,-0.6,0,47,-4,0,.497,104
23,-0.1,0,27,-2,1,.500,6
25,0.0,0,9,0,0,.500,0
24,0.2,1,62,-8,1,.501,169
24,-0.5,-1,18,-2,0,.497,52
26,-0.3,0,22,-2,1,.498,68
33,-0.7,2,119,-5,3,.496,454
26,0.3,0,14,1,3,.502,26
32,0.0,0,77,0,0,.500,0
32,-1.0,-1,62,-5,-3,.494,216
26,0.0,0,6,0,0,.500,0
