Batter,Team,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,K,AVG,OBP,SLG,OPS
Bryce Brentz,PawPor,140,17,40,8,1,3,55,2,1,19,45,0.286,0.362,0.421,0.783
Jeremy Hazelbaker,PawPor,125,11,29,8,1,3,45,2,2,10,43,0.232,0.293,0.384,0.677
Henry Ramos,Gre,144,14,38,8,1,2,54,6,3,15,41,0.264,0.333,0.375,0.708
Brandon Jacobs,Sal,132,19,35,9,0,1,42,8,3,19,40,0.265,0.363,0.356,0.719
Xander Bogaerts,PorSal,150,18,47,10,1,6,62,1,2,19,38,0.313,0.387,0.513,0.901
Garin Cecchini,Gre,145,28,38,11,2,1,52,9,1,27,36,0.262,0.379,0.386,0.765
Travis Shaw,PorSal,135,25,36,13,0,5,65,5,0,34,35,0.267,0.408,0.474,0.882
Keury De La Cruz,SalGre,147,18,42,8,2,7,66,9,0,11,35,0.286,0.34,0.51,0.85
Sean Coyle,Sal,138,19,36,7,0,4,49,8,1,9,33,0.261,0.318,0.399,0.717
Reynaldo Rodriguez,PawPor,114,16,27,12,1,7,39,0,1,15,32,0.237,0.323,0.544,0.867
Boss Moanaroa,Gre,107,15,27,9,0,1,43,0,1,31,32,0.252,0.401,0.364,0.766
Robert Del Rosario,DSL,108,14,26,4,1,1,34,11,1,12,32,0.241,0.309,0.324,0.633
Jordan Weems,Gre,111,11,22,4,0,0,28,2,0,13,32,0.198,0.282,0.234,0.516
Heiker Meneses,PorSal,105,17,27,2,2,1,38,5,4,7,31,0.257,0.316,0.343,0.659
Matthew Marquis,3 Teams,74,7,18,1,2,1,21,2,0,14,27,0.243,0.371,0.351,0.722
Cody Koback,Gre,102,13,28,3,1,1,31,9,0,6,27,0.275,0.33,0.353,0.683
Derrik Gibson,Por,102,10,18,2,2,0,26,2,0,14,27,0.176,0.277,0.235,0.513
Dreily Guerrero,GreLow,68,5,13,2,0,0,19,3,0,9,27,0.191,0.284,0.221,0.505
Michael Almanzar,Sal,129,13,35,10,0,2,41,1,5,11,25,0.271,0.329,0.395,0.724
David Renfroe,SalGre,135,17,37,9,0,2,58,3,0,13,25,0.274,0.331,0.385,0.716
Che-Hsuan Lin,Paw,127,7,24,6,0,0,27,3,1,9,25,0.189,0.239,0.236,0.475
Mauro Gomez,Paw,116,14,37,12,0,8,53,0,0,10,24,0.319,0.37,0.629,0.999
Lars Anderson,Paw,102,12,28,5,0,2,41,0,0,13,24,0.275,0.342,0.382,0.724
Christian Vazquez,PorSal,108,13,27,9,0,2,39,0,2,10,24,0.25,0.317,0.389,0.706
Blake Swihart,Gre,103,14,26,2,1,2,46,3,1,7,24,0.252,0.28,0.35,0.629
