Team,Season,Mat,Won,Lost,Draw,%,For,Aga,Diff,Tries,Conv,Pens,Drop
Leicester,2003/04,2,0,2,0,0.0,15,46,-31,0,0,5,0
Leicester,2006/07,2,1,1,0,50.0,24,20,4,0,0,8,0
Harlequins,2013/14,2,0,2,0,0.0,15,36,-21,0,0,5,0
London Irish,2014/15,2,0,2,0,0.0,21,34,-13,0,0,7,0
Sale Sharks,1999/00,2,0,2,0,0.0,16,39,-23,1,1,3,0
Rotherham,2000/01,2,0,2,0,0.0,19,74,-55,1,1,4,0
Bath Rugby,2002/03,2,0,2,0,0.0,13,51,-38,1,1,2,0
Gloucester,2002/03,2,2,0,0,100.0,34,22,12,1,1,7,2
Leicester,2002/03,2,1,1,0,50.0,28,28,0,1,1,7,0
London Irish,2002/03,2,1,1,0,50.0,34,24,10,1,1,9,0
Newcastle,2004/05,2,1,1,0,50.0,49,39,10,1,1,11,3
Wasps,2008/09,2,1,1,0,50.0,29,29,0,1,0,8,0
Worcester,2008/09,2,0,2,0,0.0,25,43,-18,1,1,6,0
Wasps,2009/10,2,1,1,0,50.0,29,29,0,1,0,7,1
Newcastle,2010/11,2,0,2,0,0.0,28,56,-28,1,1,7,0
Wasps,2010/11,2,0,2,0,0.0,13,76,-63,1,1,2,0
Bath Rugby,2011/12,2,0,2,0,0.0,19,48,-29,1,1,4,0
Newcastle,2011/12,2,0,2,0,0.0,29,76,-47,1,0,7,1
Saracens,2011/12,2,1,1,0,50.0,26,42,-16,1,0,7,0
Newcastle,2013/14,2,0,2,0,0.0,16,40,-24,1,1,3,0
