Date,Opponent,Score,w,l,sv,ip,h,r,er,era,bb,k,hr
Mar 1,at Merchant Marine,"L, 8-3",-,-,-,-,-,-,-,-,-,-,-
Mar 1,at Merchant Marine,"L, 9-3",-,-,-,-,-,-,-,-,-,-,-
Mar 8,vs. Salem St.,"W, 7-4",-,-,-,-,-,-,-,-,-,-,-
Mar 9,vs. Salve Regina,"L, 4-0",-,-,-,-,-,-,-,-,-,-,-
Mar 9,vs. Salve Regina,"L, 5-4",-,-,-,-,-,-,-,-,-,-,-
Mar 10,vs. Baruch,"L, 11-5",-,-,-,-,-,-,-,-,-,-,-
Mar 12,vs. Elms,"W, 11-5",-,-,-,-,-,-,-,-,-,-,-
Mar 14,vs. Defiance,"L, 9-7",-,-,-,-,-,-,-,-,-,-,-
Mar 14,vs. Defiance,"W, 10-7",-,-,-,-,-,-,-,-,-,-,-
Mar 15,vs. St. Lawrence,"W, 18-3",-,-,-,-,-,-,-,-,-,-,-
Mar 23,at MIT,"L, 3-2",-,-,-,-,-,-,-,-,-,-,-
Mar 23,at MIT,"L, 6-5",-,-,-,-,-,-,-,-,-,-,-
Mar 25,Babson,"L, 3-2",-,-,-,-,-,-,-,-,-,-,-
Mar 27,Albertus Magnus,"L, 12-3",-,-,-,-,-,-,-,-,-,-,-
Mar 27,Albertus Magnus,"L, 3-1",-,-,-,-,-,-,-,-,-,-,-
Mar 29,Emerson,"W, 12-3",-,-,-,-,-,-,-,-,-,-,-
Mar 29,Emerson,"W, 7-1",-,-,-,-,-,-,-,-,-,-,-
Apr 1,at Babson,"L, 3-2",-,-,-,-,-,-,-,-,-,-,-
Apr 2,Mass. Maritime,"W, 10-6",-,-,-,-,-,-,-,-,-,-,-
Apr 4,Springfield,"W, 8-6",-,-,-,-,-,-,-,-,-,-,-
Apr 5,at Springfield,"W, 7-3",-,-,-,-,-,-,-,-,-,-,-
Apr 5,at Springfield,"L, 3-2",-,-,-,-,-,-,-,-,-,-,-
Apr 7,Westfield St.,"L, 3-2",-,-,-,-,-,-,-,-,-,-,-
Apr 9,Wheaton (Mass.),"L, 25-5",0,0,0,0.0,-,-,-,0.00,-,-,-
Apr 11,at WPI,"W, 7-4",-,-,-,-,-,-,-,-,-,-,-
Apr 12,WPI,"L, 8-7",-,-,-,-,-,-,-,-,-,-,-
Apr 12,WPI,"W, 9-8",-,-,-,-,-,-,-,-,-,-,-
Apr 17,at Wheaton (Mass.),"L, 4-0",-,-,-,-,-,-,-,-,-,-,-
Apr 18,at Clark (Mass.),"L, 10-2",-,-,-,-,-,-,-,-,-,-,-
Apr 19,Clark (Mass.),"W, 6-5",-,-,-,-,-,-,-,-,-,-,-
Apr 19,Clark (Mass.),"W, 4-1",-,-,-,-,-,-,-,-,-,-,-
Apr 22,at Wesleyan (Conn.),"L, 3-0",-,-,-,-,-,-,-,-,-,-,-
Apr 23,at Mitchell,"L, 8-2",-,-,-,-,-,-,-,-,-,-,-
Apr 25,at Gordon,"L, 8-4",-,-,-,-,-,-,-,-,-,-,-
Apr 25,at Gordon,"L, 5-4",-,-,-,-,-,-,-,-,-,-,-
