TS%,GmSc,Date,TRB%,Age,G,DRtg
.568,0.2,2009-02-27,0.0,24-343,36,112
 ,0.3,2009-01-09,85.1,24-294,21,44
.750,6.9,2009-01-27,3.6,24-312,29,124
 ,0.0,2008-12-21,0.0,24-275,17,118
1.058,9.0,2008-11-26,6.9,24-250,8,94
 ,-1.4,2009-03-04,0.0,24-348,37,95
.681,8.8,2009-01-23,10.8,24-308,27,116
1.000,3.6,2009-01-29,20.1,24-314,30,99
 ,0.0,2009-03-25,0.0,25-004,42,117
 ,0.7,2009-01-13,33.8,24-298,22,107
 ,0.0,2009-04-13,0.0,25-023,49,123
.347,-0.4,2008-11-28,0.0,24-252,9,110
.000,-3.4,2008-12-06,0.0,24-260,12,98
 ,0.3,2008-12-30,25.6,24-284,18,115
1.000,-0.1,2009-03-21,0.0,25-000,41,107
.000,0.3,2009-03-29,19.2,25-008,44,91
.000,-0.4,2009-01-24,0.0,24-309,28,97
 ,0.0,2009-04-05,0.0,25-015,46,107
 ,0.0,2008-11-13,0.0,24-237,4,123
.000,0.6,2008-12-19,41.6,24-273,16,13
.515,4.5,2008-12-03,28.3,24-257,10,69
 ,0.0,2009-03-17,0.0,24-361,40,113
.000,-2.1,2009-04-08,0.0,25-018,47,109
.750,1.3,2008-11-25,8.4,24-249,7,111
