STL%,Tm,GS,TRB%,GmSc,BLK%,DRtg
0.0,HOU,0,20.0,0.3,0.0,95
0.0,HOU,0,14.2,0.5,7.9,99
9.9,HOU,0,11.7,4.6,0.0,83
0.0,HOU,0,18.6,9.8,14.8,81
0.0,HOU,0,65.8,0.9,0.0,99
0.0,HOU,0,9.4,1.5,0.0,130
3.0,HOU,0,0.0,1.1,0.0,121
0.0,HOU,0,0.0,1.7,0.0,112
0.0,HOU,0,15.0,3.6,0.0,108
0.0,HOU,0,28.3,2.2,0.0,104
0.0,HOU,0,14.5,5.2,0.0,92
0.0,HOU,0,7.2,1.6,0.0,98
0.0,HOU,0,16.2,-2.5,0.0,91
6.1,HOU,0,11.4,0.2,0.0,77
0.0,HOU,0,12.6,2.6,0.0,106
0.0,HOU,0,0.0,-1.8,0.0,108
0.0,HOU,0,74.8,1.6,0.0,78
0.0,HOU,0,21.3,3.9,0.0,108
