SB,CS,H,IBB,C-G#,Notes,Result,AB,SF,R
0,0,2,0,49,"2 home runs, 6 RBIs",W 8-4 vs CHN,4,0,2
0,0,4,0,489,4 hits,W 8-7 @PIT,5,0,1
1,0,3,0,903,1000th career hit,W 8-2 vs SDN,4,0,3
0,0,2,0,836,2 home runs,W 5-4 vs ATL,4,0,2
1,0,4,0,762,"4 runs scored, 4 hits",W 9-7 @PIT,4,0,4
0,0,2,0,1382,2 home runs,L 9-12 @DET,5,0,2
1,0,4,0,250,4 hits,W 11-9 @HOU,6,0,2
1,0,3,0,73,"2 home runs, 4 runs scored",W 11-5 vs SLN,3,0,4
0,0,1,0,1739,4 strikeouts,W 9-5 vs SFN,5,0,0
3,0,1,0,1570,3 stolen bases,W 11-4 @SEA,4,0,1
0,0,2,0,1081,2 home runs,L 2-3 @CLE,4,0,2
0,0,4,0,459,4 hits,W 7-3 vs SDN,4,0,3
0,0,0,0,755,4 strikeouts,L 2-5 vs NYN,4,0,0
0,0,2,0,569,0 Triples,L 2-4 vs NYN,4,0,2
1,0,1,0,1249,4 strikeouts,L 2-3 vs KCA,7,0,1
1,0,4,0,901,"4 hits, 500th career RBI",L 3-7 vs SDN,5,0,0
0,0,4,0,101,4 hits,W 4-3 vs CIN,7,0,2
1,0,4,0,912,4 hits,L 4-12 @CHN,5,0,0
3,0,2,0,1322,"4 runs scored, 3 stolen bases",W 10-6 @CHA,3,0,4
1,1,1,0,767,200th career stolen base,L 4-5 @NYN,2,0,2
0,0,1,0,166,4 strikeouts,L 2-3 @LAN,6,0,0
0,0,1,0,1158,4 walks,W 3-2 vs BAL,1,0,1
0,0,0,0,1393,4 strikeouts,L 2-6 vs CHA,4,0,0
0,0,2,0,199,2 home runs,W 7-6 @NYN,5,0,2
1,0,4,0,1110,4 hits,W 4-3 @MIL,5,0,2
3,0,3,0,749,"4 runs scored, 3 stolen bases",W 7-3 @ATL,4,0,4
0,0,1,0,1,"1st career game, 1st career hit, 1st career home run, 1st career RBI",W 9-0 vs LAN,3,0,1
0,0,4,0,481,4 hits,W 3-1 @LAN,5,0,1
0,0,3,0,1614,4 runs scored,W 8-4 vs NYA,5,0,4
0,0,2,0,838,5 RBIs,W 11-8 vs LAN,5,0,2
1,0,1,1,1000,1000th career game,W 8-4 vs HOU,3,0,2
0,0,0,0,615,4 strikeouts,L 6-7 @CHN,5,0,0
0,0,3,0,549,100th career home run,W 12-5 @CIN,5,0,2
