Game Date,Team,Opp,Result,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,HBP,IBB,SH,SF,GDP,C-G#,Notes
1956-04-17,CHA,CLE,W 2-1 vs CLE,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"1st career game, 1st career hit"
1956-05-08,CHA,BOS,L 3-4 @BOS,2,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,12,1st career RBI
1956-05-28,CHA,KC1,L 4-6 @KC1,3,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,29,1st career home run
1956-05-30,CHA,CLE,W 9-8 @CLE,4,1,1,0,0,0,2,1,0,0,0,0,0,0,0,0,32,1st career stolen base
1956-09-22,CHA,KC1,W 17-3 vs KC1,6,3,4,0,0,0,2,3,0,0,0,0,0,0,0,0,144,"4 hits, 3 stolen bases"
1957-06-15,CHA,WS1,L 1-9 vs WS1,4,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,201,4 hits
1957-07-24,CHA,NYA,W 7-2 @NYA,5,1,4,0,1,0,1,0,1,0,0,0,0,0,0,0,238,4 hits
1957-09-07,CHA,KC1,W 8-2 vs KC1,5,2,3,0,0,2,4,0,0,0,0,0,0,0,0,0,282,2 home runs
1958-06-29,CHA,WS1,W 12-11 vs WS1,3,1,2,0,0,0,0,1,0,4,0,0,2,0,0,0,364,4 walks
1958-07-27,CHA,BOS,L 3-7 vs BOS,5,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,392,4 hits
1958-08-06,CHA,KC1,W 4-2 @KC1,5,1,4,0,2,0,1,0,0,0,0,0,0,0,0,0,401,"1 Triples, 4 hits"
1959-04-22,CHA,KC1,W 20-6 @KC1,4,4,3,0,0,1,4,1,0,2,0,0,0,0,0,0,450,4 runs scored
1959-05-20,CHA,BAL,W 5-2 @BAL,5,2,4,0,0,0,0,0,0,0,1,0,0,0,0,0,475,4 hits
1959-06-17,CHA,NYA,L 3-7 @NYA,4,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,500,500th career game
1959-07-01,CHA,CLE,W 6-5 @CLE,2,2,2,0,1,0,2,2,0,2,0,0,0,0,0,0,512,100th career stolen base
1960-05-27,CHA,KC1,W 7-4 @KC1,4,4,4,0,2,0,0,0,0,0,0,0,0,0,0,0,626,"4 runs scored, 0 Triples, 4 hits"
1961-06-14,CHA,LAA,W 4-1 vs LAA,4,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,800,200th career stolen base
1961-06-28,CHA,DET,L 5-12 @DET,5,0,4,1,0,0,2,0,0,0,0,0,0,0,0,0,816,4 hits
1961-07-16,CHA,BOS,W 4-3 vs BOS,4,2,2,0,0,0,1,3,0,1,1,0,0,0,0,0,833,3 stolen bases
1961-08-05,CHA,WS2,W 8-3 vs WS2,5,2,4,1,0,1,2,1,0,0,0,0,0,0,0,0,851,4 hits
1961-08-06,CHA,WS2,W 3-2 vs WS2,5,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,853,4 hits
1961-08-13,CHA,KC1,W 9-3 vs KC1,4,4,3,1,0,0,0,2,0,1,0,0,0,0,0,0,859,4 runs scored
1962-06-23,CHA,KC1,W 6-1 vs KC1,5,1,5,0,0,0,0,0,1,0,0,0,0,0,0,0,969,5 hits
1962-07-04,CHA,BAL,L 3-7 vs BAL,4,2,3,1,0,1,1,0,0,0,0,0,0,0,0,0,980,1000th career hit
1962-07-06,CHA,CLE,L 3-5 @CLE,5,0,4,1,0,0,1,0,0,0,0,0,0,0,0,0,983,4 hits
1962-07-27,CHA,NYA,L 3-4 @NYA,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,1000th career game
