ULB Code,ULB Name,Total Seats,Declared Seats,BJP,INC,JD(S),BSP,NCP,CPI,CPI(M),KJP,BSRCP,Ind,Others
1.0,Anekal (TMC),23,23.0,9.0,6.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
3.0,Devanahalli (TMC),23,23.0,1.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
4.0,Vijapura (TMC),23,23.0,0.0,17.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
5.0,Hosakote (TMC),23,23.0,10.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
6.0,Nelamangala (TMC),23,23.0,1.0,6.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.0,Kanakapura (TMC),27,27.0,0.0,22.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
10.0,Magadi (TMC),23,23.0,0.0,14.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
12.0,Challakere (TMC),27,27.0,1.0,9.0,8.0,0.0,0.0,0.0,0.0,6.0,0.0,3.0,0.0
13.0,Hiriyur (TMC),27,27.0,0.0,8.0,5.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0.0
14.0,Hosadurga (TMC),23,23.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,9.0,0.0
19.0,Harapanahalli (TMC),27,27.0,10.0,7.0,1.0,0.0,0.0,0.0,0.0,1.0,6.0,2.0,0.0
25.0,Bangarapet (TMC),23,23.0,2.0,15.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
26.0,Mulabagil (TMC),27,27.0,1.0,4.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0
27.0,Malur (TMC),23,23.0,12.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
28.0,Srinivaspura (TMC),23,23.0,0.0,12.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31.0,Gowribidanur (TMC),23,23.0,5.0,12.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32.0,Shiddlaghatta (TMC),27,27.0,1.0,14.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
33.0,Bagepalli (TMC),23,23.0,0.0,6.0,2.0,0.0,0.0,0.0,6.0,3.0,0.0,6.0,0.0
38.0,Shikaripura (TMC),23,23.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,1.0,0.0
46.0,Kunigal (TMC),23,23.0,1.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0
47.0,Chikkanayakanahalli (TMC),23,23.0,0.0,3.0,18.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
48.0,Madhugiri (TMC),23,23.0,0.0,12.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
49.0,Pavagada (TMC),23,23.0,0.0,10.0,11.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
54.0,K.R. Nagar (TMC),23,23.0,0.0,12.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
55.0,Nanjanagud (TMC),27,27.0,3.0,10.0,9.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0
56.0,Hunasur (TMC),27,27.0,0.0,15.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
57.0,Bannur (TMC),23,23.0,1.0,17.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
63.0,Gundlupet (TMC),23,23.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0
67.0,Kadur (TMC),23,23.0,1.0,13.0,5.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0
68.0,Beerur (TMC),23,23.0,8.0,11.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
69.0,Tarikere (TMC),23,23.0,0.0,10.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,9.0,0.0
75.0,Puttur (TMC),27,27.0,12.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76.0,Mudabidare (TMC),23,23.0,5.0,14.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
77.0,Bantwala (TMC),23,23.0,5.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0
78.0,Ullala (TMC),27,27.0,7.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0
82.0,Kundapura (TMC),23,23.0,12.0,9.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
83.0,Karkala (TMC),23,23.0,11.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
86.0,Arasikere (TMC),27,27.0,0.0,11.0,11.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0
87.0,Holenarasipura (TMC),23,23.0,0.0,5.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
88.0,Sakaleshapura (TMC),23,23.0,2.0,6.0,11.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0
89.0,Belur (TMC),23,23.0,0.0,9.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
90.0,Channarayapattana (TMC),23,23.0,0.0,8.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
94.0,Maddur (TMC),23,23.0,0.0,4.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0
95.0,Malavalli (TMC),23,23.0,1.0,7.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
96.0,Srirangapattana (TMC),23,23.0,3.0,7.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,1.0
97.0,K.R. Pete (TMC),23,23.0,4.0,13.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
106.0,Ramdurga (TMC),23,23.0,8.0,13.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
107.0,Sankeshwara (TMC),23,23.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
