sb,gdp,ab,h,Opponent,r,ibb,k
53,5,1568,399, ,219,3,340
2,0,21,10,Nicholls State,9,0,3
1,0,26,8,WESTERN ILLINOIS,4,0,3
0,0,41,10,UAB,5,0,9
0,1,24,5,Tennessee,2,1,6
0,0,32,11,Auburn Tigers,5,0,6
2,0,27,7,GEORGIA,3,0,9
0,0,23,3,UCLA,1,0,7
0,0,23,9,Ole Miss,8,0,3
1,0,25,5,Ole Miss,3,0,6
0,0,25,3,LOUISVILLE,0,0,7
2,0,31,8,North Florida,8,0,5
0,0,28,7,NC STATE,7,0,6
0,0,34,11,Auburn Tigers,8,0,6
0,0,27,8,NC STATE,3,0,4
2,0,23,5,LIU,2,0,6
2,0,26,5,Auburn Tigers,1,0,1
1,0,23,7,UMKC,4,0,3
0,0,22,3,GEORGIA,4,0,11
