Rk,TRB%,ORB%,DRB%,GmSc,Tm,TS%
24,11.3,10.1,12.7,11.8,SEA,.600
59,6.3,0.0,13.3,0.5,SEA,.568
58,12.9,0.0,24.5,0.7,SEA,.200
56,9.8,0.0,20.8,7.2,SEA,.820
26,10.1,0.0,18.0,6.8,SEA,.633
11,8.9,8.9,8.9,3.1,SEA,.190
66,4.9,0.0,9.7,7.8,SEA,.773
20,27.0,22.9,29.8,0.9,SEA,.000
27,3.5,0.0,8.6,6.3,SEA,.605
35,13.1,13.0,13.3,5.2,SEA,.515
4,18.4,23.8,11.7,7.1,SEA,.375
68,10.6,11.8,8.8,-0.2,SEA,.400
42,16.3,0.0,29.6,4.1,SEA,.400
55,0.0,0.0,0.0,0.6,SEA,.333
69,16.5,7.8,22.7,9.3,SEA,.833
48,6.8,0.0,13.6,1.6,SEA,.436
51,10.8,4.9,18.0,5.3,SEA,.500
38,9.0,0.0,21.8,-2.0,SEA,.129
43,12.6,9.4,15.2,3.0,SEA,1.000
50,12.3,5.7,20.0,0.7,SEA,.250
52,14.6,17.1,12.0,4.2,SEA,.296
63,16.3,19.0,13.3,6.6,SEA,.581
62,6.1,0.0,11.0,-0.3,SEA,.500
30,24.0,9.7,37.9,3.1,SEA,.340
6,17.7,13.5,20.9,12.9,SEA,.667
70,14.1,0.0,34.3,-1.6,SEA,.000
32,9.6,10.6,8.7,12.1,SEA,.799
61,30.8,0.0,54.5,0.3,SEA, 
37,14.5,0.0,33.7,4.5,SEA,1.078
15,8.3,0.0,18.3,1.8,SEA,.500
9,10.7,5.0,17.4,3.8,SEA,.436
46,12.1,12.1,12.1,0.2,SEA,.500
64,13.2,7.7,20.5,-0.3,SEA,.333
53,18.7,13.5,23.1,12.4,SEA,.581
23,14.8,6.2,22.9,6.0,SEA,.595
