Western Connecticut,ab,r,h,rbi,2b,3b,hr,bb,sb,cs,hp,sh,sf,so,ibb,kl,gdp,po,a,e
S. McNeil ss,2,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
C. Wade ss,2,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0
D. Amarante rf,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,1,0,0
K. Savo rf,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
D. Baccaro dh,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
DiGiovanni dh,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
Z. Dandrea 2b,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0
T. Nelson 2b,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M. Perper 1b,2,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,3,1,0
Schlittenhrt 1b,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0
Koschmieder cf,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
M. Kane cf,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0
J. Gordon 3b,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
T. Coppola c,2,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,9,1,1
M. Yates lf,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
J. Curtis lf,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S. Bainer p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
T. Giuliano p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M. Baccaro p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N. Pustorino p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S. Pavia p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
V. Orsini p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Totals,29,2,6,2,1,1,0,6,2,0,0,0,0,10,0,2,0,23,6,2
