R,AB,2B,Player,3B,G,HR
25,158,7,K Orr,0,48,3
12,58,1,A Guzman,1,20,2
16,92,1,C Parra,0,41,3
3,13,0,N Morgan,0,4,1
4,8,0,R Fernandez,0,3,0
0,2,0,P Andersen,0,1,0
0,8,0,R Redden,0,10,0
7,32,5,R Gorecki,0,10,0
5,74,2,J Ceballos,0,29,0
0,2,0,J Jay,0,1,0
13,105,9,D Winn,2,29,2
4,29,0,L Rivera,1,7,0
1,8,0,B Suttle,0,3,0
15,113,5,O Rodriguez,0,32,2
9,98,4,J Villegas,2,32,0
8,61,2,J Wideman,0,21,0
2,22,1,B Monk,0,8,0
12,75,1,C Maddox,0,25,3
30,179,8,N Ray,2,52,1
21,196,6,H Parrott,0,52,2
25,160,7,E Lara,4,49,8
1,12,1,C Haerther,1,4,0
39,201,13,J Becker,1,51,1
22,120,4,D Ingram,0,39,0
10,81,3,R Shimabukuro,0,34,3
8,52,1,S Martinez,1,19,0
3,28,1,N Papasan,0,9,0
3,56,1,D Rohlfing,0,22,0
35,217,18,E Polanco,0,54,5
10,71,1,G Manzanillo,0,26,0
1,4,0,W Polo,1,1,0
8,84,1,B Hiraldo,1,30,1
29,171,5,G Toribio,0,53,0
20,125,3,E Beltre,3,34,5
6,61,1,R Henry,0,21,0
11,85,3,T Hamaoka,0,41,0
21,114,6,J Bastardo,3,37,3
24,224,7,F Freeman,0,59,6
8,75,3,R Gil,0,25,2
14,118,3,F Parejo,0,39,0
41,179,8,E Carrera,3,45,1
22,176,7,E Eiland,1,51,1
17,156,7,B Nicolas,0,40,2
14,90,4,M Willard,0,26,0
22,139,2,J Beresford,0,45,0
16,139,9,S Welch,0,36,0
1,7,0,C Maybin,0,2,0
19,200,10,T Mattair,1,54,3
13,102,5,J Morales,0,31,0
2,8,0,E Chavez,0,2,0
17,106,3,W Lamont,0,32,1
12,78,1,B Harrigan,0,28,0
8,28,1,J Hage,1,7,2
7,53,9,L Arzeno,0,24,1
21,83,6,J Nilsson,0,26,2
10,96,6,L De La Cruz,2,39,0
8,104,5,J Sucre,0,40,0
3,35,3,J Tucker,0,9,0
6,64,0,J Garcia,0,22,0
36,191,9,C Lester,0,51,0
2,20,0,C Kingrey,0,9,0
19,128,5,B Hubbert,0,35,3
24,127,6,Y Garcia,0,38,8
17,151,4,J Guzman,1,44,2
6,79,1,L Aguayo,0,25,0
2,45,1,L Taylor,0,17,0
19,165,6,K Ahrens,0,48,3
8,32,5,T Cruz,0,7,0
3,15,2,G Lombard,0,5,0
4,109,2,K Miles,1,43,0
4,12,1,M Perez,0,4,1
2,17,0,R Roberson,0,7,0
13,135,6,R Vasquez,0,40,1
4,6,1,M Thayer,0,2,0
2,28,0,J Bert,0,12,0
22,128,6,M Burgess,3,36,8
18,106,6,B Biela,3,34,0
12,127,4,L Rincon,0,34,4
16,134,2,D McDonald,0,42,2
4,29,0,J Martin,0,12,0
11,116,8,C Huang,0,34,0
6,21,0,A Rizzo,0,6,1
7,25,5,P Hoover,0,7,0
33,181,14,J Rojas,0,52,4
6,39,2,W Ibarra,0,16,0
6,37,3,J Martin,0,12,1
5,55,2,P Gilardo,0,20,1
0,10,1,J Martinez,0,3,0
3,16,3,V Mendez,0,5,1
22,109,2,L Arlet,2,30,5
20,127,10,R Alcombrack,0,38,7
11,136,6,M McDade,0,39,1
13,120,4,R Tejada,3,35,0
29,176,7,K Sanchez,0,48,3
1,27,4,J Heyward,0,8,1
10,102,6,L Bernardo,0,32,0
9,64,2,R Arias,0,26,0
6,58,1,R Gress,0,25,1
0,0,0,C Gilliam,0,1,0
2,15,1,M Alou,0,5,1
7,30,2,D Vaughn,0,12,0
10,81,4,A Bonevacia,0,21,1
18,102,1,J Spiers,0,39,0
8,52,5,R Pena,1,17,1
1,3,0,K Rochelle,0,4,0
17,70,4,B Buck,1,32,0
3,35,2,K Feiner,0,10,0
23,173,13,O Tejeda,1,45,1
21,190,17,L Sumoza,4,53,3
18,99,2,V Alvarez,0,36,0
25,113,13,D Blocker,0,34,2
19,109,4,A Schmiesing,0,35,0
17,154,6,R Moreta,0,43,0
17,143,5,M Sierra,1,43,5
0,5,0,P Kelly,0,2,0
20,129,5,J Reed,4,32,1
8,18,1,A Schoenberger,0,6,0
46,191,6,B Revere,10,50,0
4,22,1,R Tolan,0,6,0
13,107,6,J Montero,0,33,3
1,11,0,S Robinson,0,4,0
2,19,0,R Espinoza,0,7,0
6,80,3,D Lehrman,1,24,1
17,131,9,O Morales,0,39,8
3,26,1,S Thomas,0,10,0
0,1,0,T Grote,0,1,0
0,0,0,R Gonzalez,0,1,0
26,171,8,T Brown,0,51,7
25,177,10,K Castro,3,49,1
2,2,1,A Romine,0,1,0
4,41,0,J Centeno,0,12,0
7,75,4,E Conde,1,27,1
29,176,12,J Chavez,2,50,6
33,202,10,J Richardson,2,54,1
0,5,1,S Choo,0,2,0
17,88,7,L Poole,1,36,0
13,126,4,J Bowen,1,40,4
1,16,0,D Ryan,0,6,0
27,212,8,R Lucas,2,52,2
10,48,1,B Clevlen,0,14,2
3,17,1,W Vazquez,2,5,0
7,68,4,J Tarnow,0,22,0
20,104,10,R White,0,37,1
7,30,0,M Bouchard,1,11,1
2,20,2,B Powell,0,5,1
10,49,0,G Erickson,0,18,0
1,2,0,N Jackson,0,1,0
0,7,2,F Encarnacion,0,4,0
0,22,0,J Paquette,0,10,0
27,177,6,A De Castro,1,50,1
26,163,7,R Hernandez,1,51,3
2,9,1,C Ebarb,0,3,0
15,49,0,C Bradley,0,20,0
10,108,9,K Noel,1,36,1
6,50,2,E Vargas,0,24,0
3,25,0,L Castillo,0,10,0
4,8,1,K Peter,0,3,0
4,42,2,P Maat,0,19,0
9,55,2,R Nolan,0,17,0
12,103,5,E Gonzalez,0,26,0
14,162,4,A Oliveras,3,47,0
35,217,15,S Sime,0,56,5
18,121,6,A Morales,3,38,2
5,22,0,D Mailman,0,6,1
12,80,6,A Vargas,2,25,2
1,28,1,J Egan,0,8,0
10,80,3,R Sanchez,0,24,1
11,88,2,R Martinez,0,27,0
22,122,7,T Hagan,2,37,2
3,26,3,P Cech,0,12,0
0,10,1,A Diaz,0,4,0
9,56,1,C House,1,23,1
2,7,1,J Newman,0,2,0
0,4,0,L Bond,0,1,0
1,7,1,M Mora,0,2,0
4,102,3,C Maddox,0,35,0
17,113,4,C Rosero,0,35,4
4,23,3,J Stanley,0,8,2
33,159,8,I Velasquez,0,47,0
17,115,5,M McBratney,2,44,1
2,12,2,P Dalton,0,4,1
15,109,8,J Munoz,1,34,1
11,162,5,J Gilmore,1,43,1
1,42,1,D Elorriaga-Matra,0,17,0
0,2,0,J Gomez,0,1,0
1,26,1,R Prall,0,12,0
8,109,3,T Warren,0,36,1
0,0,0,J Phillabaum,0,1,0
14,115,4,J Peley,2,31,1
14,111,6,R Tomas,1,32,2
10,57,7,M MacDonald,0,22,0
8,89,3,R Hidalgo,0,31,0
2,29,1,M Alcantara,0,11,0
4,13,0,P Kozma,0,4,0
3,30,1,R Tropiano,0,14,0
18,102,0,C Blackwood,0,35,0
12,132,3,C Mendez,0,40,2
30,127,6,J Fitzpatrick,1,42,9
19,95,11,J Del Campo,1,27,1
4,33,0,M Mayer,0,15,0
7,64,1,D Dixon,1,24,0
28,166,7,P Cuello,2,47,6
13,178,5,B Fuenmayor,2,48,1
6,66,3,J Cabrera,0,27,0
22,165,8,G Zavala,3,49,6
1,14,0,B Finegan,0,5,0
0,3,0,A Gil,0,1,0
16,123,6,D Norris,2,37,4
7,35,1,R Dent,2,10,1
25,190,11,Z Almonte,2,50,3
38,181,15,A Lambo,1,54,5
13,70,4,J Collins,0,22,7
2,24,0,H Alvarez,0,12,0
1,17,1,S Condotta,0,6,0
