Name,Country,sex,tour,sl,tr,ju,yob,class,round,div,date,place,site id
 , , , , , , , , , , , , , 
FRIESE Mark,USA,M,11M999A,44.0,0.0,0.0,1969.0,L,1.0,M3,08/13/2011,30.0,USAM0156
 , , , , , , , , , , , , , 
FRIESE Mark,USA,M,11M110B,38.5,0.0,0.0,1969.0,L,1.0,M3,07/31/2011,18.0,USAM0669
 , , , , , , , , , , , , , 
FRIESE Mark,USA,M,11M999A,0.0,1730.0,0.0,1969.0,L,1.0,M3,08/13/2011,6.0,USAM0156
 , , , , , , , , , , , , , 
FRIESE Mark,USA,M,11M110B,0.0,1460.0,0.0,1969.0,L,1.0,M3,07/31/2011,7.0,USAM0669
 , , , , , , , , , , , , , 
FRIESE Mark,USA,M,11M999A,0.0,0.0,32.9,1969.0,L,1.0,M3,08/13/2011,8.0,USAM0156
 , , , , , , , , , , , , , 
FRIESE Mark,USA,M,11M110B,0.0,0.0,28.6,1969.0,L,1.0,M3,07/31/2011,6.0,USAM0669
