Age,eFG%,ORtg,USG%,TOV%,Tm
27-146,.667,160,12.4,0.0,NJN
27-153,.000,61,9.4,0.0,NJN
27-189,.500,115,12.2,0.0,NJN
27-194,1.000,152,4.4,34.7,NJN
27-120,.500,114,22.9,0.0,NJN
27-233,1.000,152,8.2,34.7,NJN
27-215,.500,108,11.2,20.0,NJN
27-263, , ,0.0, ,NJN
27-187, ,43,5.8,100.0,NJN
27-236,.000,38,5.9,0.0,NJN
27-105,1.000,112,6.5,50.0,NJN
27-095, , ,0.0, ,NJN
27-200,.400,77,12.9,28.6,NJN
27-119,.000,48,7.8,0.0,NJN
27-257,.000,122,2.4,0.0,NJN
27-218, ,209,0.0, ,NJN
27-138,1.000,211,7.6,0.0,NJN
27-127,.000,11,13.0,25.0,NJN
27-162, , ,0.0, ,NJN
27-108,.444,113,20.9,0.0,NJN
