ORB%,ORtg,AST%,STL%,GmSc,eFG%
0.0,102,0.0,1.7,4.9,.500
18.0,143,0.0,6.9,3.2,.000
26.7,122,7.5,0.0,9.2,.571
10.0,104,0.0,0.0,4.7,.429
16.3,103,8.2,0.0,5.3,.400
88.9,46,0.0,0.0,0.2,.000
0.0,0,0.0,0.0,0.6,.000
0.0,17,8.2,0.0,-1.5,.000
10.9,152,6.8,0.0,6.4,.500
0.0,109,0.0,2.5,5.0,.750
36.1,77,30.5,0.0,0.6,.000
0.0,0,0.0,0.0,-2.6,.000
7.6,136,0.0,0.0,2.2,.000
0.0,200,0.0,14.0,2.7,1.000
15.4,100,18.8,0.0,4.5,.667
7.5,76,6.5,0.0,2.5,.333
24.6,105,0.0,0.0,0.9,.333
0.0,0,0.0,0.0,-2.2,.000
7.4,57,0.0,0.0,-0.7,.286
0.0,62,13.3,0.0,0.1,.500
7.1,90,10.8,2.8,6.8,.222
21.3,118,7.0,3.2,5.2,.333
0.0,103,8.2,2.8,5.6,.500
22.1,77,0.0,0.0,-0.2,.000
12.6,98,0.0,0.0,4.1,.200
15.0,96,0.0,0.0,2.3,.500
3.2,89,0.0,0.0,3.9,.357
