Sr. No,Name,Age,Team,Mats,Inns,N.O.,Runs,HS,AVG,100,50
181,Fareeduddin,31 years,Quetta Bears,4,4,0,66.0,45.0,16.50,0,0
182,Arsalan Arshad Bajwa,21 years,Lahore Eagles,2,2,0,8.0,5.0,4.00,0,0
183,Abdul Rauf,27 years,Faisalabad Wolves,2,2,0,33.0,31.0,16.50,0,0
184,Hafiz Majeed Jahangir,35 years, ,4,3,0,41.0,35.0,13.67,0,0
185,Adnan Mahmood,23 years,Rawalpindi Rams,1,1,0,6.0,6.0,6.00,0,0
186,Faisal Mubashir,29 years,Bahawalpur Stags,2,2,0,32.0,23.0,16.00,0,0
187,Fawad Alam,30 years,Karachi Dolphins,5,3,0,41.0,24.0,13.67,0,0
188,Usman Liaqat,23 years,Multan Tigers,1,1,0,28.0,28.0,28.00,0,0
189,Lal Kumar,26 years,Hyderabad Hawks,3,3,0,53.0,36.0,17.67,0,0
190,Mohammad Abbas,25 years, ,1,0,0, , ,--,0,0
191,Jamaluddin,30 years,Peshawar Panthers,5,4,0,36.0,16.0,9.00,0,0
192,Yasir Aziz,25 years,Sialkot Stallions,7,6,0,148.0,66.0,24.67,0,2
193,Babar Hussain,31 years,Karachi Dolphins,1,1,0,15.0,15.0,15.00,0,0
194,Samiullah Khan,33 years,Faisalabad Wolves,5,3,0,12.0,12.0,4.00,0,0
195,Saad Altaf,32 years,Rawalpindi Rams,1,1,0,1.0,1.0,1.00,0,0
196,Mohammad Awais,23 years,Hyderabad Hawks,1,1,0,9.0,9.0,9.00,0,0
197,Babar Naeem,33 years,Rawalpindi Rams,5,5,0,191.0,92.0,38.20,0,1
198,Javedullah,35 years, ,2,1,0,3.0,3.0,3.00,0,0
199,Babar Khan,28 years,Abbottabad Falcons,1,1,0,3.0,3.0,3.00,0,0
200,Imran Khalid,33 years,Faisalabad Wolves,6,6,0,99.0,42.0,16.50,0,0
