ORtg,MP,DRB%,Tm,TRB%
177,24:00,18.9,GSW,10.4
153,18:00,19.0,GSW,21.1
173,21:00,26.6,GSW,22.3
0,8:00,0.0,GSW,0.0
118,25:00,12.0,GSW,9.0
165,32:00,27.3,GSW,30.3
152,27:00,23.5,GSW,13.8
111,11:00,17.1,GSW,22.5
133,28:00,23.8,GSW,16.7
69,16:00,38.5,GSW,33.3
144,29:00,6.5,GSW,6.5
117,19:00,17.2,GSW,22.0
108,22:00,5.2,GSW,6.4
149,22:00,10.9,GSW,16.4
152,20:00,9.2,GSW,10.8
188,29:00,14.4,GSW,8.1
88,24:00,19.6,GSW,14.1
91,22:00,26.0,GSW,14.7
20,18:00,6.8,GSW,8.5
139,15:00,17.8,GSW,20.0
80,24:00,19.6,GSW,12.9
116,24:00,43.9,GSW,27.2
71,15:00,0.0,GSW,0.0
89,19:00,11.5,GSW,9.8
97,18:00,11.3,GSW,7.8
151,22:00,14.2,GSW,13.6
45,20:00,27.9,GSW,13.3
149,34:00,11.8,GSW,14.4
95,35:00,5.5,GSW,10.9
106,19:00,15.2,GSW,8.3
127,12:00,28.6,GSW,14.6
179,33:00,19.8,GSW,15.2
125,25:00,0.0,GSW,5.9
82,23:00,13.0,GSW,13.2
120,26:00,24.3,GSW,15.6
139,24:00,25.9,GSW,24.2
159,27:00,10.7,GSW,7.3
101,37:00,22.6,GSW,19.5
70,25:00,4.5,GSW,6.3
51,19:00,14.9,GSW,8.1
138,24:00,14.0,GSW,11.2
