GIDP,Player,BB,SB,CS,HR,AB,OBP,OPS
1,G Beckham,5,0,1,3,58,.365,.865
9,C Lee,19,10,9,2,332,.282,.607
2,J Priday,8,0,0,1,77,.315,.665
7,J Mahoney,24,2,0,7,352,.275,.624
2,J Abruzzo,13,1,0,5,203,.347,.795
0,J Reddick,5,2,1,0,53,.397,.887
2,J Lucroy,30,8,1,10,239,.391,.901
3,T Holiday,13,9,2,2,172,.291,.588
14,F Pena,25,0,0,6,397,.308,.688
3,J Castillo,2,0,0,0,66,.408,.863
1,R Corona,8,7,1,4,116,.273,.635
5,R Fronk,74,18,11,17,429,.398,.890
4,B Pruitt,8,0,0,0,59,.373,.661
10,J Nowicki,46,14,4,19,492,.345,.835
7,B Pellegrini,36,13,1,21,310,.331,.835
4,C Culberson,18,6,6,3,282,.290,.609
2,B Whiting,37,33,12,2,226,.377,.718
10,A Coe,15,6,7,7,392,.292,.677
4,B Seabury,11,3,2,1,170,.228,.464
5,D Christensen,23,12,3,11,335,.288,.682
2,C Lester,5,3,1,0,27,.219,.367
0,C Beck,0,0,0,0,0,--,--
10,A Krum,55,12,7,8,459,.356,.753
6,J Simmons,22,25,10,5,354,.277,.602
0,J Pacella,0,0,0,0,0,--,--
4,S Morales,50,18,2,6,401,.311,.651
3,A De La Rosa,5,1,1,4,118,.291,.681
16,Y Navarro,29,3,2,7,325,.341,.753
0,Z Penprase,10,2,1,0,98,.306,.601
4,M Willard,6,1,1,1,103,.241,.484
1,H Demmink,14,2,3,1,136,.312,.606
0,B Kawal,0,0,0,0,12,.250,.583
11,E Farris,24,32,10,3,454,.332,.709
4,S McCraw,21,0,1,0,128,.367,.703
2,J Infante,2,0,0,0,56,.155,.316
7,D Pickens,28,1,1,1,149,.356,.651
7,K Bolt,15,4,1,5,316,.321,.688
6,D Garcia,21,3,0,7,279,.275,.594
0,D Cox,5,0,0,0,15,.400,.600
1,E Alfonzo,1,0,0,1,16,.222,.660
1,C Anderson,11,0,0,0,77,.318,.617
8,M Thompson,37,19,4,5,416,.321,.655
0,W Flores,0,0,0,0,5,.400,.800
8,A Villalona,18,1,2,17,464,.312,.747
1,C Jackson,6,6,2,1,86,.309,.657
17,C Corrado,24,43,5,3,505,.315,.663
6,D Clark,9,3,2,1,158,.292,.621
3,P Figueroa,8,4,1,0,86,.367,.728
3,E Sarmiento,5,0,0,0,63,.246,.453
2,B Lapin,12,1,1,6,191,.264,.636
6,B Schultz,9,2,0,1,90,.330,.675
10,R Adams,36,12,5,11,448,.367,.829
5,J Smith,32,0,0,1,209,.340,.632
4,T Warren,23,6,0,2,231,.321,.654
5,B Petersen,38,15,6,19,296,.381,.921
5,M Taylor,31,10,3,10,249,.441,.995
18,M Arambarris,12,2,0,8,330,.250,.574
0,J Wolf,2,1,1,0,4,.857,2.107
5,J Williams,15,0,0,2,156,.275,.538
3,A Davis,31,7,4,3,194,.307,.606
0,S Welch,2,0,0,1,19,.364,.837
0,J Dominguez,11,6,4,1,140,.275,.546
3,C Lin,43,33,7,5,362,.342,.701
5,J Hehr,23,4,2,3,366,.291,.630
6,B Johnson,19,3,1,4,243,.271,.567
7,M Fleisher,24,0,2,14,307,.356,.890
2,J Henson,3,0,0,1,32,.351,.726
2,R Lucas,11,1,3,2,119,.252,.563
2,S Brown,22,15,6,10,340,.277,.633
8,C Johnson,40,8,3,26,468,.307,.786
2,J Ceballos,1,0,0,1,20,.227,.627
2,L Nieves,1,0,1,0,39,.200,.405
1,C Rodriguez,12,1,2,3,60,.373,.823
8,R Pena,25,1,3,2,290,.312,.670
3,L Sierra,4,4,1,2,92,.216,.488
12,T Henson,25,20,3,11,502,.310,.703
4,D Mollenhauer,24,19,2,2,348,.338,.760
9,C Guzman,20,14,3,8,294,.314,.719
0,J Melton,3,1,0,0,34,.316,.669
6,M Tucker,29,6,6,3,255,.368,.776
8,A Romine,25,3,0,10,407,.344,.781
0,L Fischer,0,0,0,0,11,.000,.000
4,C Miles,35,28,8,1,443,.296,.585
6,J Rogers,16,1,0,3,165,.297,.618
2,G Paiml,5,2,0,0,123,.238,.499
3,T Reagan,20,0,2,2,191,.296,.574
2,D Cash,4,5,0,1,62,.303,.706
0,Y Silva,16,2,1,2,54,.394,.783
0,C Weems,1,0,0,0,7,.250,.393
4,B Lasater,10,0,0,7,118,.306,.738
2,C Gindl,63,14,5,13,508,.388,.862
4,J Sanchez,6,1,0,1,102,.231,.477
1,J Ciriaco,13,7,3,5,138,.340,.767
0,J Munoz,2,2,0,0,82,.241,.473
2,R Martinez,25,1,1,5,135,.413,.864
2,J Mayer,3,0,0,0,23,.154,.197
2,K Miller,8,1,2,7,128,.285,.730
3,K Clark,54,22,6,17,397,.348,.801
5,M Rizzotti,65,1,1,10,365,.380,.810
12,O Martinez,13,5,5,6,304,.331,.742
1,S Shults,1,0,0,3,49,.220,.628
7,S Sime,11,10,2,4,261,.244,.546
4,R Widlansky,2,0,0,0,45,.255,.589
2,T d'Arnaud,5,0,0,2,64,.357,.826
5,J Lagares,8,3,4,2,181,.285,.622
0,P Gilardo,6,0,0,0,29,.316,.488
5,A Martinez,38,3,1,11,423,.316,.720
1,B Hubbert,14,3,1,3,98,.316,.673
10,S Wilson,46,4,5,19,485,.350,.833
10,W Schaeffer,20,6,2,3,287,.283,.604
8,M Jones,35,2,0,7,331,.380,.833
2,N Mahin,9,2,2,0,66,.273,.470
0,D Duggan,8,4,0,0,85,.344,.697
7,L Exposito,12,1,1,11,191,.328,.836
7,M Cusick,40,8,1,9,351,.356,.818
0,L Arzeno,1,0,1,0,14,.400,.757
3,J Stanley,28,3,0,17,285,.353,.872
4,D Mitchell,20,9,6,11,453,.294,.698
8,R Curry,38,6,2,10,459,.326,.720
4,A Seuss,13,0,2,10,286,.339,.828
0,J Nutt,1,0,0,0,12,.385,.801
5,N Giarraputo,14,2,0,0,198,.301,.604
6,B Rike,62,13,7,15,445,.346,.732
0,Y Castro,0,0,0,0,0,--,--
6,C Craig,33,24,7,5,361,.347,.737
3,A Cambero,2,4,1,0,56,.224,.421
0,A Ricks,1,0,0,0,1,.500,.500
3,M Parker,15,2,0,3,212,.252,.554
11,B Suttle,45,2,1,11,377,.348,.804
0,N McCurdy,0,0,0,0,0,--,--
0,J Polanco,0,0,0,0,1,.000,.000
0,B Stouffer,6,1,0,0,50,.322,.542
1,C Odenreider,3,1,0,1,33,.162,.314
0,R Henriquez,0,0,1,0,33,.273,.667
1,A Mead,8,6,3,2,63,.257,.527
1,T Lawhorn,6,0,0,2,82,.295,.661
14,Z Wheeler,61,13,11,13,503,.346,.751
0,C Martinez,0,0,0,0,0,--,--
4,D Berres,42,6,5,1,249,.354,.635
9,F Freeman,46,5,5,18,491,.378,.899
6,W Vazquez,17,0,1,1,186,.293,.610
1,B Bond,13,6,3,1,150,.401,.795
5,M Inouye,14,4,3,6,203,.332,.756
10,C Lundahl,5,1,1,4,254,.263,.622
1,P Silveren,3,0,0,0,45,.313,.646
6,E Cabrera,51,73,16,6,479,.361,.760
8,D Mailman,50,15,7,8,426,.328,.697
1,T Maccani,6,0,0,0,60,.313,.580
2,N Moresi,4,1,1,2,85,.258,.635
2,B Miller,4,0,2,1,95,.220,.483
3,T Weeden,22,1,0,8,187,.319,.736
4,J Heyward,49,15,3,11,449,.388,.871
0,J Brennan,10,1,1,0,53,.338,.546
6,J Mercer,12,4,3,4,192,.300,.648
4,R Pena,33,14,6,11,426,.328,.751
3,R Anetsberger,27,2,3,3,257,.357,.719
7,M Loyola,56,45,17,5,471,.361,.728
0,N Damas,0,0,0,1,17,.118,.412
10,M Hague,20,1,0,6,215,.384,.854
2,U Snijders,20,0,1,4,135,.303,.651
0,B Aguailar,5,1,0,0,55,.246,.428
5,D Williams,32,4,4,6,338,.321,.688
1,J Alonso,5,0,0,3,62,.275,.662
3,T Hickman,49,1,0,15,338,.338,.767
2,O Guillen,7,0,2,0,44,.294,.476
3,J Rodriguez,13,4,0,1,272,.280,.581
4,G Bass,4,0,1,0,132,.228,.448
0,M Cooney,3,0,0,0,41,.222,.393
0,A White,62,32,11,4,455,.312,.602
6,J Jacobs,23,4,1,8,235,.305,.697
4,C Nash,22,2,1,5,270,.293,.641
1,J Greene,0,1,0,0,28,.267,.624
8,J Gallagher,27,10,3,14,483,.308,.744
3,S Englund,14,1,1,2,117,.261,.526
2,J Solano,6,1,1,1,55,.302,.611
11,S King,22,4,4,6,335,.336,.742
3,M Cline,38,15,2,3,282,.365,.713
7,K Simon,30,14,5,3,343,.310,.636
0,W Macia,0,0,0,0,1,.000,.000
10,M McCormick,31,2,1,13,375,.276,.641
2,J Tatford,14,0,1,2,105,.382,.792
0,M Vass,4,0,0,1,22,.231,.458
6,S Williams,4,0,0,0,144,.307,.640
7,J Snyder,68,7,1,7,504,.371,.777
1,L Sumoza,2,0,0,0,19,.286,.602
4,A Walker,9,0,0,7,219,.284,.668
1,A McQueary,9,0,1,0,67,.289,.513
8,T Neal,48,3,4,15,428,.359,.803
1,R Gress,2,1,0,0,50,.132,.272
4,I Paxton,6,0,0,3,89,.316,.732
5,T Hagan,28,2,0,7,312,.338,.739
5,M Cavagnaro,21,2,0,2,266,.300,.631
1,F Plasencia,7,2,1,2,85,.337,.831
1,M Klimas,8,3,1,0,97,.302,.591
9,A McClune,36,10,11,4,425,.274,.556
3,M Davis,12,5,1,8,175,.294,.728
2,D Lyons,47,17,7,5,277,.404,.819
6,K Sanchez,38,12,8,12,414,.323,.733
2,L Estill,7,2,0,0,76,.265,.515
3,S Miranda,23,2,7,2,216,.383,.758
4,S Dhaenens,17,2,0,0,144,.268,.477
6,T Pahuta,33,1,0,17,405,.327,.786
0,A Gomes,0,0,0,0,3,.667,1.667
3,E Fryer,43,15,3,10,385,.407,.914
0,L Day,1,0,0,0,15,.211,.344
4,J Naughton,27,1,1,2,276,.336,.694
1,W Rufino,8,0,0,5,112,.328,.774
2,A Reza,4,0,0,3,51,.441,1.107
