Date,BLK%,GmSc,AST%,GS,Rk
2004-03-05,0.0,-1.2,0.0,0,35
2004-03-26,0.0,3.3,35.1,0,45
2004-04-09,0.0,3.2,0.0,0,53
2004-01-27,0.0,-2.9,0.0,0,24
2004-02-11,0.0,2.0,64.0,0,28
2004-03-31,0.0,-2.0,0.0,0,48
2004-02-20,0.0,0.6,0.0,0,30
2004-04-14,0.0,3.3,0.0,0,56
2004-03-19,0.0,0.6,0.0,0,42
2003-12-31,0.0,-1.7,0.0,0,15
2004-01-29,0.0,0.3,0.0,0,25
2004-04-06,0.0,5.2,12.8,0,51
2003-11-04,0.0,-1.9,0.0,0,3
2004-02-18,0.0,-0.4,0.0,0,29
2004-02-06,0.0,-1.1,15.4,0,27
2004-03-16,0.0,-0.7,0.0,0,40
2004-02-02,0.0,0.7,61.5,0,26
2004-03-07,0.0,2.3,9.3,0,36
2004-01-09,0.0,-1.8,0.0,0,18
2003-11-01,0.0,10.6,12.7,0,2
2003-11-12,0.0,-0.1,0.0,0,7
2003-11-06,0.0,1.7,0.0,0,4
2004-01-06,0.0,0.7,68.6,0,17
2003-11-25,0.0,0.0,0.0,0,12
2004-03-18,0.0,-1.4,0.0,0,41
2004-03-23,3.5,1.3,0.0,0,44
2003-10-31,0.0,-0.5,0.0,0,1
2004-03-02,0.0,3.1,0.0,0,33
2004-03-10,0.0,-2.5,0.0,0,37
2004-03-29,0.0,0.8,0.0,0,47
2004-04-11,0.0,1.7,0.0,0,54
2004-04-12,0.0,10.2,0.0,0,55
2004-04-08,0.0,2.2,11.8,0,52
