USG%,STL%,AST%,Age,ORB%,G,DRtg,Rk
10.8,0.0,10.9,30-196,19.4,47,101,47
9.9,0.0,16.4,30-075,0.0,10,77,10
15.7,0.0,0.0,30-177,0.0,39,131,39
10.4,0.0,0.0,30-185,0.0,42,101,42
10.8,0.0,4.9,30-135,0.0,29,121,29
41.1,0.0,0.0,30-096,0.0,17,111,17
17.1,0.0,9.7,30-150,9.5,36,91,36
0.0,0.0,0.0,30-038,0.0,2,113,2
11.5,0.0,0.0,30-143,0.0,32,108,32
82.1,0.0,0.0,30-124,0.0,25,119,25
5.4,0.0,0.0,30-145,0.0,33,119,33
0.0,0.0,0.0,30-114,54.5,24,114,24
4.8,0.0,0.0,30-198,0.0,48,109,48
8.1,0.0,0.0,30-180,0.0,40,84,40
13.8,0.0,0.0,30-148,4.8,35,124,35
14.2,0.0,0.0,30-081,0.0,12,128,12
0.0,0.0,0.0,30-070,0.0,9,76,9
8.8,0.0,9.2,30-087,3.6,13,104,13
0.0,0.0,0.0,30-063,0.0,8,113,8
19.1,4.1,0.0,30-037,0.0,1,123,1
11.6,0.0,0.0,30-147,0.0,34,101,34
11.1,0.0,0.0,30-186,13.4,43,90,43
19.4,3.7,0.0,30-040,7.6,3,95,3
12.1,0.0,0.0,30-194,0.0,46,113,46
0.0,0.0,0.0,30-045,0.0,4,52,4
16.0,0.0,0.0,30-101,0.0,19,90,19
0.0,0.0,0.0,30-199,0.0,49,119,49
