Date,Match,Result,Appearance,MINS,GF,GA,SOG,SV,PKA,PKG,PKS
7/26/2015,PHI @ DC,L 2-3,Unused Sub,0,0,0,0,0,0,0,0
7/18/2015,PHI @ TOR,L 1-2,Unused Sub,0,0,0,0,0,0,0,0
7/11/2015,POR @ PHI,W 0-3,Unused Sub,0,0,0,0,0,0,0,0
6/27/2015,MTL @ PHI,T 2-2,Unused Sub,0,0,0,0,0,0,0,0
6/24/2015,SEA @ PHI,W 0-1,Unused Sub,0,0,0,0,0,0,0,0
6/20/2015,PHI @ LA,L 1-5,Unused Sub,0,0,0,0,0,0,0,0
6/6/2015,NYC @ PHI,L 2-1,Unused Sub,0,0,0,0,0,0,0,0
6/3/2015,CLB @ PHI,W 0-3,Unused Sub,0,0,0,0,0,0,0,0
5/30/2015,PHI @ DC,L 1-2,Unused Sub,0,0,0,0,0,0,0,0
5/24/2015,PHI @ NYR,W 2-0,Unused Sub,0,0,0,0,0,0,0,0
5/17/2015,DC @ PHI,W 0-1,Unused Sub,0,0,0,0,0,0,0,0
5/9/2015,PHI @ VAN,L 0-3,Unused Sub,0,0,0,0,0,0,0,0
5/2/2015,TOR @ PHI,L 1-0,Unused Sub,0,0,0,0,0,0,0,0
4/25/2015,PHI @ CLB,L 1-4,Unused Sub,0,0,0,0,0,0,0,0
4/19/2015,NE @ PHI,L 2-1,Unused Sub,0,0,0,0,0,0,0,0
4/16/2015,PHI @ NYC,T 1-1,Unused Sub,0,0,0,0,0,0,0,0
4/11/2015,NYC @ PHI,W 1-2,Unused Sub,0,0,0,0,0,0,0,0
4/5/2015,PHI @ KC,L 2-3,Started,90,0,3,6,2,0,0,0
3/29/2015,PHI @ CHI,L 0-1,Started,90,0,1,3,2,0,0,0
3/21/2015,DAL @ PHI,L 2-0,Started,90,0,2,4,2,0,0,0
3/14/2015,PHI @ RSL,T 3-3,Started,90,0,3,7,4,1,1,0
3/7/2015,COL @ PHI,T 0-0,Started,90,0,0,0,0,0,0,0
10/26/2014,PHI @ CLB,L 1-2,Unused Sub,0,0,0,0,0,0,0,0
10/18/2014,KC @ PHI,W 1-2,Unused Sub,0,0,0,0,0,0,0,0
10/11/2014,CLB @ PHI,L 3-2,Unused Sub,0,0,0,0,0,0,0,0
10/2/2014,CHI @ PHI,T 1-1,Started,90,0,1,2,1,0,0,0
9/27/2014,PHI @ DC,L 0-1,Started,90,0,1,7,4,0,0,0
9/20/2014,HOU @ PHI,T 0-0,Started,90,0,0,0,0,0,0,0
9/13/2014,NY @ PHI,T 2-2,Unused Sub,0,0,0,0,0,0,0,0
9/6/2014,PHI @ TOR,W 2-0,Unused Sub,0,0,0,0,0,0,0,0
9/3/2014,TOR @ PHI,W 0-1,Unused Sub,0,0,0,0,0,0,0,0
8/24/2014,SJ @ PHI,W 2-4,Started,90,0,2,4,2,0,0,0
8/15/2014,PHI @ HOU,L 0-2,Unused Sub,0,0,0,0,0,0,0,0
8/9/2014,MTL @ PHI,W 1-2,Unused Sub,0,0,0,0,0,0,0,0
8/1/2014,PHI @ KC,T 1-1,Unused Sub,0,0,0,0,0,0,0,0
